ocel_id;ocel_time
to_bay_cr13;2023-06-01 07:10:53
to_bay_cr12;2023-06-01 07:12:45
to_bay_cr11;2023-06-01 07:13:33
to_bay_cr14;2023-06-01 07:26:31
to_bay_cr29;2023-06-01 07:57:19
to_bay_cr42;2023-06-01 16:02:26
to_bay_cr9;2023-06-05 07:35:29
to_bay_cr10;2023-06-05 07:38:32
to_bay_cr8;2023-06-05 07:39:54
to_bay_cr7;2023-06-05 07:48:05
to_bay_cr47;2023-06-06 10:30:13
to_bay_cr5;2023-06-08 07:06:27
to_bay_cr6;2023-06-08 07:07:04
to_bay_cr69;2023-06-12 07:22:11
to_bay_cr66;2023-06-12 07:22:27
to_bay_cr68;2023-06-12 07:29:10
to_bay_cr39;2023-06-12 07:31:53
to_bay_cr36;2023-06-12 07:34:35
to_bay_cr37;2023-06-12 07:40:22
to_bay_cr67;2023-06-12 07:45:04
to_bay_cr35;2023-06-12 07:50:17
to_bay_cr38;2023-06-12 07:59:30
to_bay_cr54;2023-06-15 07:08:20
to_bay_cr53;2023-06-15 07:08:51
to_bay_cr40;2023-06-15 07:11:24
to_bay_cr17;2023-06-15 07:27:54
to_bay_cr19;2023-06-15 07:35:28
to_bay_cr15;2023-06-15 07:42:55
to_bay_cr87;2023-06-15 07:44:22
to_bay_cr16;2023-06-15 07:54:21
to_bay_cr51;2023-06-15 07:55:31
to_bay_cr77;2023-06-15 09:05:04
to_bay_cr52;2023-06-15 09:06:11
to_bay_cr85;2023-06-15 09:06:18
to_bay_cr18;2023-06-15 09:09:50
to_bay_cr41;2023-06-15 09:16:03
to_bay_cr84;2023-06-19 07:48:02
to_bay_cr100;2023-06-19 07:53:12
to_bay_cr86;2023-06-19 08:56:02
to_bay_cr4;2023-06-19 09:02:36
to_bay_cr92;2023-06-19 09:09:24
to_bay_cr2;2023-06-19 09:10:50
to_bay_cr102;2023-06-19 09:19:43
to_bay_cr26;2023-06-19 09:27:03
to_bay_cr30;2023-06-19 09:34:57
to_bay_cr27;2023-06-19 09:37:40
to_bay_cr3;2023-06-19 09:44:14
to_bay_cr101;2023-06-19 09:44:39
to_bay_cr28;2023-06-19 09:47:33
to_bay_cr106;2023-06-19 09:55:49
to_bay_cr93;2023-06-19 11:01:58
to_bay_cr1;2023-06-19 12:00:49
to_bay_cr103;2023-06-19 14:03:22
to_bay_cr20;2023-06-19 14:06:31
to_bay_cr21;2023-06-19 14:09:23
to_bay_cr94;2023-06-19 14:11:28
to_bay_cr70;2023-06-22 07:31:59
to_bay_cr73;2023-06-22 07:33:00
to_bay_cr25;2023-06-22 07:33:41
to_bay_cr104;2023-06-22 07:41:51
to_bay_cr76;2023-06-22 07:44:44
to_bay_cr23;2023-06-22 07:52:35
to_bay_cr74;2023-06-22 09:01:01
to_bay_cr22;2023-06-22 09:07:36
to_bay_cr44;2023-06-22 09:10:58
to_bay_cr79;2023-06-22 09:18:00
to_bay_cr105;2023-06-22 09:23:46
to_bay_cr43;2023-06-22 09:27:24
to_bay_cr60;2023-06-22 09:32:04
to_bay_cr45;2023-06-22 09:34:56
to_bay_cr72;2023-06-22 09:37:22
to_bay_cr59;2023-06-22 09:42:25
to_bay_cr78;2023-06-22 09:43:17
to_bay_cr75;2023-06-22 09:46:15
to_bay_cr71;2023-06-22 09:50:20
to_bay_cr24;2023-06-22 09:52:13
to_bay_cr82;2023-06-26 13:31:18
to_bay_cr108;2023-06-26 13:32:15
to_bay_cr32;2023-06-26 13:33:54
to_bay_cr31;2023-06-26 13:34:04
to_bay_cr61;2023-06-26 13:40:50
to_bay_cr132;2023-06-26 13:43:38
to_bay_cr110;2023-06-26 13:48:45
to_bay_cr107;2023-06-26 13:54:11
to_bay_cr115;2023-06-26 13:54:36
to_bay_cr64;2023-06-26 15:00:54
to_bay_cr55;2023-06-26 15:04:08
to_bay_cr63;2023-06-26 15:07:48
to_bay_cr65;2023-06-26 15:14:03
to_bay_cr34;2023-06-26 15:16:32
to_bay_cr114;2023-06-26 15:17:49
to_bay_cr81;2023-06-26 15:21:03
to_bay_cr33;2023-06-26 15:21:48
to_bay_cr109;2023-06-26 15:25:24
to_bay_cr83;2023-06-26 15:29:23
to_bay_cr62;2023-06-26 15:36:29
to_bay_cr56;2023-06-26 15:39:23
to_bay_cr80;2023-06-26 15:40:40
to_bay_cr50;2023-06-29 07:27:21
to_bay_cr153;2023-06-29 07:28:04
to_bay_cr58;2023-06-29 07:29:58
to_bay_cr48;2023-06-29 07:49:23
to_bay_cr129;2023-06-29 07:56:20
to_bay_cr120;2023-06-29 08:58:20
to_bay_cr89;2023-06-29 09:09:37
to_bay_cr88;2023-06-29 09:14:09
to_bay_cr91;2023-06-29 09:19:05
to_bay_cr131;2023-06-29 09:22:20
to_bay_cr112;2023-06-29 09:28:27
to_bay_cr46;2023-06-29 09:31:56
to_bay_cr90;2023-06-29 09:35:09
to_bay_cr113;2023-06-29 09:35:12
to_bay_cr49;2023-06-29 09:36:42
to_bay_cr138;2023-06-29 09:40:29
to_bay_cr57;2023-06-29 09:44:50
to_bay_cr130;2023-06-29 09:48:50
to_bay_cr139;2023-06-29 09:51:02
to_bay_cr119;2023-06-29 09:53:41
to_bay_cr111;2023-06-29 09:59:52
to_bay_cr162;2023-06-29 11:28:10
to_bay_cr158;2023-06-29 11:49:23
to_bay_cr165;2023-07-03 07:15:13
to_bay_cr169;2023-07-05 15:29:53
to_bay_cr166;2023-07-05 15:31:29
to_bay_cr163;2023-07-05 15:34:50
to_bay_cr170;2023-07-05 15:43:02
to_bay_cr137;2023-07-05 15:43:14
to_bay_cr117;2023-07-05 15:44:57
to_bay_cr167;2023-07-05 15:57:33
to_bay_cr116;2023-07-05 15:59:06
to_bay_cr188;2023-07-05 18:22:05
to_bay_cr128;2023-07-06 07:16:40
to_bay_cr141;2023-07-06 07:43:27
to_bay_cr140;2023-07-06 09:04:03
to_bay_cr118;2023-07-06 09:05:21
to_bay_cr161;2023-07-06 09:24:38
to_bay_cr171;2023-07-06 09:26:46
to_bay_cr172;2023-07-06 09:39:12
to_bay_cr127;2023-07-06 09:41:53
to_bay_cr168;2023-07-06 09:45:01
to_bay_cr155;2023-07-06 09:48:30
to_bay_cr152;2023-07-06 09:50:04
to_bay_cr154;2023-07-06 09:55:51
to_bay_cr164;2023-07-06 11:03:00
to_bay_cr142;2023-07-10 07:08:36
to_bay_cr95;2023-07-10 07:12:09
to_bay_cr148;2023-07-10 07:16:53
to_bay_cr157;2023-07-10 07:20:05
to_bay_cr160;2023-07-10 07:24:17
to_bay_cr144;2023-07-10 07:34:25
to_bay_cr125;2023-07-10 07:35:28
to_bay_cr126;2023-07-10 07:45:36
to_bay_cr146;2023-07-10 07:58:40
to_bay_cr124;2023-07-10 09:04:58
to_bay_cr147;2023-07-10 09:16:47
to_bay_cr97;2023-07-10 09:23:47
to_bay_cr98;2023-07-10 09:31:10
to_bay_cr151;2023-07-10 09:38:41
to_bay_cr196;2023-07-10 09:41:24
to_bay_cr156;2023-07-10 09:48:30
to_bay_cr99;2023-07-10 09:50:33
to_bay_cr159;2023-07-10 09:56:16
to_bay_cr149;2023-07-10 11:01:04
to_bay_cr150;2023-07-10 11:06:04
to_bay_cr145;2023-07-10 11:07:51
to_bay_cr96;2023-07-10 11:11:59
to_bay_cr143;2023-07-10 17:05:09
to_bay_cr173;2023-07-13 07:31:50
to_bay_cr200;2023-07-13 07:37:14
to_bay_cr174;2023-07-13 07:37:51
to_bay_cr176;2023-07-13 07:40:15
to_bay_cr175;2023-07-13 07:51:57
to_bay_cr199;2023-07-13 08:49:36
to_bay_cr210;2023-07-17 07:31:18
to_bay_cr121;2023-07-17 07:37:04
to_bay_cr122;2023-07-17 07:40:21
to_bay_cr187;2023-07-17 07:51:51
to_bay_cr189;2023-07-17 08:59:14
to_bay_cr123;2023-07-17 09:10:16
to_bay_cr202;2023-07-20 07:08:08
to_bay_cr201;2023-07-20 07:12:19
to_bay_cr194;2023-07-20 07:13:09
to_bay_cr134;2023-07-20 07:33:14
to_bay_cr190;2023-07-20 07:34:06
to_bay_cr191;2023-07-20 08:49:35
to_bay_cr136;2023-07-20 09:55:20
to_bay_cr192;2023-07-20 10:07:52
to_bay_cr206;2023-07-20 10:09:03
to_bay_cr193;2023-07-20 10:11:52
to_bay_cr195;2023-07-20 10:16:04
to_bay_cr208;2023-07-20 10:16:21
to_bay_cr135;2023-07-20 10:24:16
to_bay_cr207;2023-07-20 10:27:39
to_bay_cr209;2023-07-20 10:31:23
to_bay_cr203;2023-07-20 10:34:20
to_bay_cr133;2023-07-20 10:35:26
to_bay_cr240;2023-07-20 15:50:58
to_bay_cr230;2023-07-24 07:40:39
to_bay_cr235;2023-07-24 07:40:41
to_bay_cr213;2023-07-24 07:50:23
to_bay_cr224;2023-07-24 07:52:49
to_bay_cr181;2023-07-24 08:56:05
to_bay_cr184;2023-07-24 09:55:37
to_bay_cr211;2023-07-24 10:58:04
to_bay_cr234;2023-07-24 11:54:42
to_bay_cr177;2023-07-24 14:04:45
to_bay_cr185;2023-07-24 14:07:07
to_bay_cr228;2023-07-24 14:10:11
to_bay_cr223;2023-07-24 14:18:24
to_bay_cr237;2023-07-24 14:30:39
to_bay_cr236;2023-07-24 14:40:16
to_bay_cr238;2023-07-24 14:41:33
to_bay_cr212;2023-07-24 14:42:02
to_bay_cr183;2023-07-24 14:47:20
to_bay_cr178;2023-07-24 14:59:06
to_bay_cr186;2023-07-24 15:57:26
to_bay_cr182;2023-07-24 18:17:58
to_bay_cr180;2023-07-25 07:26:03
to_bay_cr179;2023-07-25 07:54:59
to_bay_cr229;2023-07-25 09:09:21
to_bay_cr204;2023-07-26 17:35:36
to_bay_cr217;2023-07-26 17:38:17
to_bay_cr218;2023-07-26 17:46:05
to_bay_cr231;2023-07-26 17:49:34
to_bay_cr197;2023-07-26 19:23:41
to_bay_cr256;2023-07-27 07:12:38
to_bay_cr205;2023-07-27 07:15:13
to_bay_cr253;2023-07-27 07:25:16
to_bay_cr198;2023-07-27 07:32:11
to_bay_cr216;2023-07-27 07:46:57
to_bay_cr226;2023-07-27 08:58:21
to_bay_cr225;2023-07-27 09:56:08
to_bay_cr219;2023-07-27 11:03:59
to_bay_cr227;2023-07-27 11:10:56
to_bay_cr232;2023-07-27 11:15:16
to_bay_cr233;2023-07-27 11:16:29
to_bay_cr248;2023-07-31 08:02:49
to_bay_cr249;2023-07-31 08:04:16
to_bay_cr272;2023-07-31 08:10:53
to_bay_cr214;2023-07-31 08:34:13
to_bay_cr215;2023-07-31 08:42:22
to_bay_cr273;2023-07-31 08:52:38
to_bay_cr271;2023-07-31 11:05:40
to_bay_cr270;2023-07-31 18:43:32
to_bay_cr268;2023-08-01 15:49:01
to_bay_cr239;2023-08-03 07:18:38
to_bay_cr241;2023-08-03 07:23:15
to_bay_cr294;2023-08-03 07:25:07
to_bay_cr295;2023-08-03 08:56:34
to_bay_cr288;2023-08-03 11:32:43
to_bay_cr296;2023-08-04 08:05:57
to_bay_cr304;2023-08-04 10:53:28
to_bay_cr258;2023-08-07 07:27:43
to_bay_cr220;2023-08-07 07:34:01
to_bay_cr264;2023-08-07 07:34:29
to_bay_cr263;2023-08-07 07:55:09
to_bay_cr293;2023-08-07 09:03:51
to_bay_cr255;2023-08-07 09:22:10
to_bay_cr221;2023-08-07 09:35:30
to_bay_cr242;2023-08-07 09:36:17
to_bay_cr306;2023-08-07 09:39:13
to_bay_cr257;2023-08-07 09:42:34
to_bay_cr222;2023-08-07 09:52:59
to_bay_cr243;2023-08-07 09:56:25
to_bay_cr265;2023-08-07 09:56:36
to_bay_cr260;2023-08-07 11:07:00
to_bay_cr262;2023-08-07 11:23:38
to_bay_cr261;2023-08-09 09:21:30
to_bay_cr254;2023-08-09 13:28:10
to_bay_cr289;2023-08-09 13:41:19
to_bay_cr298;2023-08-09 13:49:12
to_bay_cr281;2023-08-09 14:57:20
to_bay_cr246;2023-08-09 14:58:46
to_bay_cr280;2023-08-09 15:05:25
to_bay_cr251;2023-08-09 15:14:56
to_bay_cr290;2023-08-09 15:34:35
to_bay_cr300;2023-08-09 15:39:31
to_bay_cr247;2023-08-09 15:53:08
to_bay_cr279;2023-08-09 15:57:36
to_bay_cr301;2023-08-09 15:58:13
to_bay_cr299;2023-08-09 15:58:47
to_bay_cr291;2023-08-09 18:14:08
to_bay_cr278;2023-08-09 18:57:09
to_bay_cr245;2023-08-10 07:54:31
to_bay_cr250;2023-08-10 09:17:02
to_bay_cr297;2023-08-10 09:20:21
to_bay_cr244;2023-08-10 09:23:32
to_bay_cr282;2023-08-10 09:27:28
to_bay_cr292;2023-08-10 09:30:36
to_bay_cr322;2023-08-10 10:57:33
to_bay_cr307;2023-08-11 10:29:26
to_bay_cr319;2023-08-14 07:50:57
to_bay_cr284;2023-08-14 08:07:21
to_bay_cr275;2023-08-14 08:50:06
to_bay_cr318;2023-08-14 08:51:49
to_bay_cr252;2023-08-14 09:48:23
to_bay_cr277;2023-08-14 09:49:07
to_bay_cr274;2023-08-14 09:54:55
to_bay_cr321;2023-08-14 11:00:33
to_bay_cr320;2023-08-14 12:00:46
to_bay_cr283;2023-08-14 13:11:54
to_bay_cr276;2023-08-14 13:32:09
to_bay_cr287;2023-08-14 13:52:56
to_bay_cr286;2023-08-14 13:53:38
to_bay_cr266;2023-08-14 14:54:30
to_bay_cr317;2023-08-14 14:56:51
to_bay_cr285;2023-08-14 16:55:32
to_bay_cr338;2023-08-14 18:55:15
to_bay_cr336;2023-08-15 15:43:17
to_bay_cr334;2023-08-15 15:53:38
to_bay_cr337;2023-08-16 11:21:32
to_bay_cr316;2023-08-16 13:30:38
to_bay_cr314;2023-08-16 13:32:41
to_bay_cr315;2023-08-16 13:39:30
to_bay_cr269;2023-08-16 13:52:49
to_bay_cr352;2023-08-16 15:23:41
to_bay_cr267;2023-08-17 10:26:39
to_bay_cr335;2023-08-17 10:38:09
to_bay_cr361;2023-08-17 15:50:33
to_bay_cr312;2023-08-21 07:36:36
to_bay_cr310;2023-08-21 07:39:30
to_bay_cr302;2023-08-21 07:46:46
to_bay_cr308;2023-08-21 08:44:05
to_bay_cr309;2023-08-21 10:01:21
to_bay_cr313;2023-08-21 11:04:02
to_bay_cr311;2023-08-21 11:14:37
to_bay_cr303;2023-08-21 11:33:28
to_bay_cr259;2023-08-22 11:49:27
to_bay_cr355;2023-08-24 08:31:11
to_bay_cr330;2023-08-24 08:35:38
to_bay_cr371;2023-08-24 08:49:22
to_bay_cr358;2023-08-24 08:52:33
to_bay_cr378;2023-08-24 09:59:16
to_bay_cr356;2023-08-24 10:04:14
to_bay_cr360;2023-08-24 10:18:42
to_bay_cr354;2023-08-24 10:19:03
to_bay_cr305;2023-08-24 10:21:35
to_bay_cr332;2023-08-24 10:22:27
to_bay_cr367;2023-08-24 10:36:03
to_bay_cr329;2023-08-24 10:41:52
to_bay_cr331;2023-08-24 10:50:05
to_bay_cr333;2023-08-24 10:57:06
to_bay_cr357;2023-08-24 13:06:53
to_bay_cr359;2023-08-24 13:10:43
to_bay_cr366;2023-08-24 16:27:28
to_bay_cr385;2023-08-25 07:42:46
to_bay_cr386;2023-08-25 13:53:57
to_bay_cr353;2023-08-28 08:01:28
to_bay_cr377;2023-08-28 08:06:02
to_bay_cr375;2023-08-28 08:09:10
to_bay_cr373;2023-08-28 10:34:26
to_bay_cr394;2023-08-28 11:32:15
to_bay_cr376;2023-08-28 12:05:37
to_bay_cr392;2023-08-29 14:58:57
to_bay_cr395;2023-08-29 15:07:56
to_bay_cr374;2023-08-30 18:42:54
to_bay_cr345;2023-08-31 07:21:58
to_bay_cr342;2023-08-31 07:49:18
to_bay_cr398;2023-08-31 08:57:03
to_bay_cr372;2023-08-31 09:59:21
to_bay_cr399;2023-08-31 10:06:13
to_bay_cr343;2023-08-31 10:15:40
to_bay_cr339;2023-08-31 10:20:48
to_bay_cr323;2023-08-31 10:35:37
to_bay_cr348;2023-08-31 10:41:08
to_bay_cr346;2023-08-31 10:41:33
to_bay_cr344;2023-08-31 10:49:59
to_bay_cr370;2023-08-31 10:56:57
to_bay_cr368;2023-08-31 12:03:39
to_bay_cr347;2023-08-31 14:09:40
to_bay_cr393;2023-08-31 14:09:43
to_bay_cr324;2023-08-31 14:17:15
to_bay_cr351;2023-08-31 14:19:47
to_bay_cr340;2023-08-31 14:29:27
to_bay_cr341;2023-08-31 14:32:26
to_bay_cr369;2023-08-31 14:34:06
to_bay_cr401;2023-08-31 14:38:55
to_bay_cr349;2023-08-31 14:39:14
to_bay_cr350;2023-08-31 14:48:53
to_bay_cr400;2023-08-31 15:39:05
to_bay_cr328;2023-09-04 07:51:17
to_bay_cr364;2023-09-04 07:56:55
to_bay_cr326;2023-09-04 10:01:22
to_bay_cr363;2023-09-04 10:04:05
to_bay_cr327;2023-09-04 10:05:42
to_bay_cr362;2023-09-04 10:14:06
to_bay_cr365;2023-09-04 10:18:59
to_bay_cr325;2023-09-04 10:25:56
to_bay_cr444;2023-09-04 14:48:14
to_bay_cr448;2023-09-05 07:13:08
to_bay_cr438;2023-09-06 09:46:59
to_bay_cr379;2023-09-06 16:03:24
to_bay_cr457;2023-09-06 16:04:12
to_bay_cr388;2023-09-06 16:10:49
to_bay_cr390;2023-09-06 16:11:55
to_bay_cr468;2023-09-06 16:12:41
to_bay_cr456;2023-09-06 16:15:54
to_bay_cr381;2023-09-06 16:18:46
to_bay_cr380;2023-09-06 16:20:53
to_bay_cr383;2023-09-06 16:26:45
to_bay_cr382;2023-09-06 16:31:35
to_bay_cr458;2023-09-06 16:41:32
to_bay_cr391;2023-09-06 16:49:58
to_bay_cr387;2023-09-06 16:50:24
to_bay_cr467;2023-09-06 16:52:44
to_bay_cr459;2023-09-06 16:56:41
to_bay_cr384;2023-09-06 18:04:43
to_bay_cr389;2023-09-06 18:55:52
to_bay_cr465;2023-09-07 07:56:05
to_bay_cr460;2023-09-07 07:59:55
to_bay_cr462;2023-09-07 09:01:34
to_bay_cr464;2023-09-07 10:01:44
to_bay_cr441;2023-09-11 07:28:01
to_bay_cr430;2023-09-11 07:29:57
to_bay_cr433;2023-09-11 07:30:36
to_bay_cr432;2023-09-11 07:31:56
to_bay_cr431;2023-09-11 07:45:25
to_bay_cr413;2023-09-11 07:54:56
to_bay_cr410;2023-09-11 07:59:30
to_bay_cr396;2023-09-11 08:56:20
to_bay_cr426;2023-09-11 09:58:13
to_bay_cr412;2023-09-11 10:06:56
to_bay_cr440;2023-09-11 10:11:00
to_bay_cr475;2023-09-11 10:17:51
to_bay_cr443;2023-09-11 10:28:34
to_bay_cr397;2023-09-11 10:28:42
to_bay_cr427;2023-09-11 10:33:47
to_bay_cr434;2023-09-11 10:36:55
to_bay_cr429;2023-09-11 10:38:31
to_bay_cr478;2023-09-11 10:42:36
to_bay_cr411;2023-09-11 10:44:31
to_bay_cr428;2023-09-11 10:44:57
to_bay_cr442;2023-09-11 10:50:59
to_bay_cr446;2023-09-11 10:54:01
to_bay_cr494;2023-09-13 17:29:33
to_bay_cr477;2023-09-13 17:30:52
to_bay_cr492;2023-09-13 17:36:17
to_bay_cr479;2023-09-13 17:42:46
to_bay_cr480;2023-09-13 17:59:02
to_bay_cr406;2023-09-14 07:57:24
to_bay_cr417;2023-09-14 08:01:52
to_bay_cr409;2023-09-14 09:02:19
to_bay_cr403;2023-09-14 09:02:43
to_bay_cr453;2023-09-14 09:11:14
to_bay_cr416;2023-09-14 09:17:52
to_bay_cr402;2023-09-14 09:19:54
to_bay_cr454;2023-09-14 09:22:00
to_bay_cr408;2023-09-14 09:30:04
to_bay_cr415;2023-09-14 09:32:21
to_bay_cr407;2023-09-14 09:36:56
to_bay_cr405;2023-09-14 09:41:20
to_bay_cr414;2023-09-14 09:44:11
to_bay_cr496;2023-09-14 09:47:32
to_bay_cr455;2023-09-14 09:49:22
to_bay_cr487;2023-09-14 09:50:12
to_bay_cr404;2023-09-14 09:53:13
to_bay_cr481;2023-09-18 07:10:30
to_bay_cr463;2023-09-18 07:13:19
to_bay_cr447;2023-09-18 07:16:26
to_bay_cr484;2023-09-18 07:24:14
to_bay_cr482;2023-09-18 07:34:10
to_bay_cr435;2023-09-18 07:49:08
to_bay_cr516;2023-09-18 07:56:40
to_bay_cr436;2023-09-18 07:57:50
to_bay_cr497;2023-09-18 10:01:38
to_bay_cr483;2023-09-18 10:02:57
to_bay_cr499;2023-09-18 10:05:18
to_bay_cr461;2023-09-18 10:07:21
to_bay_cr439;2023-09-18 10:16:41
to_bay_cr449;2023-09-18 10:19:52
to_bay_cr437;2023-09-18 10:22:55
to_bay_cr450;2023-09-18 10:28:07
to_bay_cr498;2023-09-18 11:46:13
to_bay_cr506;2023-09-21 07:14:46
to_bay_cr510;2023-09-21 07:14:53
to_bay_cr473;2023-09-21 07:16:19
to_bay_cr526;2023-09-21 07:28:23
to_bay_cr531;2023-09-21 07:40:13
to_bay_cr509;2023-09-21 07:52:22
to_bay_cr491;2023-09-21 07:54:35
to_bay_cr493;2023-09-21 08:58:00
to_bay_cr534;2023-09-21 11:00:49
to_bay_cr470;2023-09-21 13:03:07
to_bay_cr539;2023-09-21 13:06:56
to_bay_cr508;2023-09-21 13:11:43
to_bay_cr507;2023-09-21 13:17:37
to_bay_cr469;2023-09-21 13:18:39
to_bay_cr490;2023-09-21 13:23:58
to_bay_cr471;2023-09-21 13:24:05
to_bay_cr445;2023-09-21 13:36:19
to_bay_cr523;2023-09-21 13:40:47
to_bay_cr472;2023-09-21 13:42:13
to_bay_cr514;2023-09-25 07:15:06
to_bay_cr519;2023-09-25 07:15:53
to_bay_cr425;2023-09-25 07:19:54
to_bay_cr420;2023-09-25 07:24:39
to_bay_cr418;2023-09-25 07:37:08
to_bay_cr513;2023-09-25 07:54:07
to_bay_cr419;2023-09-25 09:01:25
