ocel_id;ocel_time
create_td1;2023-05-24 09:14:42
create_td2;2023-05-26 11:09:52
create_td3;2023-05-29 14:58:02
create_td4;2023-05-29 17:51:31
create_td5;2023-05-30 08:06:00
create_td6;2023-05-30 11:14:53
create_td7;2023-05-30 18:19:21
create_td8;2023-05-31 10:06:56
create_td9;2023-05-31 12:10:54
create_td10;2023-05-31 15:34:10
create_td11;2023-05-31 15:34:30
create_td12;2023-06-01 15:29:06
create_td13;2023-06-02 09:54:32
create_td14;2023-06-05 11:03:26
create_td15;2023-06-05 15:56:25
create_td16;2023-06-06 10:40:43
create_td17;2023-06-06 16:31:39
create_td18;2023-06-06 17:14:26
create_td19;2023-06-07 15:17:35
create_td20;2023-06-08 11:08:22
create_td21;2023-06-08 14:45:02
create_td22;2023-06-12 11:10:53
create_td23;2023-06-12 17:01:36
create_td24;2023-06-13 10:00:54
create_td25;2023-06-13 16:22:21
create_td26;2023-06-13 17:07:32
create_td27;2023-06-13 17:47:02
create_td28;2023-06-14 10:40:24
create_td29;2023-06-14 12:44:24
create_td30;2023-06-15 07:44:57
create_td31;2023-06-15 11:29:57
create_td32;2023-06-15 15:34:44
create_td33;2023-06-16 15:21:51
create_td34;2023-06-16 17:09:00
create_td35;2023-06-19 15:55:30
create_td36;2023-06-21 10:58:26
create_td37;2023-06-21 11:44:03
create_td38;2023-06-22 08:28:19
create_td39;2023-06-22 12:18:47
create_td40;2023-06-22 16:18:27
create_td41;2023-06-26 11:02:22
create_td42;2023-06-26 12:37:21
create_td43;2023-06-26 17:51:26
create_td44;2023-06-27 13:27:50
create_td45;2023-06-27 15:35:48
create_td46;2023-06-28 08:54:38
create_td47;2023-06-28 12:22:16
create_td48;2023-06-28 13:37:12
create_td49;2023-06-29 10:10:02
create_td50;2023-06-29 14:06:30
create_td51;2023-06-30 15:48:14
create_td52;2023-07-03 10:27:30
create_td53;2023-07-03 16:08:22
create_td54;2023-07-04 14:26:04
create_td55;2023-07-05 16:20:26
create_td56;2023-07-05 17:00:54
create_td57;2023-07-07 09:10:15
create_td58;2023-07-10 11:33:55
create_td59;2023-07-11 10:49:52
create_td60;2023-07-11 14:25:52
create_td61;2023-07-12 14:34:46
create_td62;2023-07-12 15:42:13
create_td63;2023-07-13 10:59:48
create_td64;2023-07-13 14:17:30
create_td65;2023-07-13 15:11:59
create_td66;2023-07-13 15:23:04
create_td67;2023-07-13 15:56:35
create_td68;2023-07-14 10:34:55
