ocel_id;ocel_time
drive_term_cr5;2023-05-30 15:09:00
drive_term_cr10;2023-05-30 15:59:12
drive_term_cr13;2023-05-30 17:02:52
drive_term_cr14;2023-05-30 17:05:26
drive_term_cr7;2023-05-30 17:16:25
drive_term_cr8;2023-05-30 17:18:00
drive_term_cr9;2023-05-30 17:36:21
drive_term_cr11;2023-05-31 10:02:16
drive_term_cr12;2023-05-31 11:35:23
drive_term_cr29;2023-06-01 07:43:04
drive_term_cr37;2023-06-01 11:08:57
drive_term_cr42;2023-06-01 14:57:43
drive_term_cr6;2023-06-02 08:34:42
drive_term_cr36;2023-06-02 10:16:35
drive_term_cr1;2023-06-02 10:17:35
drive_term_cr43;2023-06-02 16:19:26
drive_term_cr30;2023-06-05 10:59:14
drive_term_cr45;2023-06-05 11:51:23
drive_term_cr35;2023-06-05 12:18:16
drive_term_cr31;2023-06-05 12:29:02
drive_term_cr27;2023-06-05 12:34:10
drive_term_cr3;2023-06-05 12:36:34
drive_term_cr17;2023-06-06 07:43:53
drive_term_cr2;2023-06-06 07:56:29
drive_term_cr18;2023-06-06 08:54:13
drive_term_cr38;2023-06-06 09:41:54
drive_term_cr16;2023-06-06 09:51:15
drive_term_cr4;2023-06-06 09:55:23
drive_term_cr47;2023-06-06 10:20:40
drive_term_cr26;2023-06-06 10:30:19
drive_term_cr39;2023-06-06 10:50:52
drive_term_cr15;2023-06-06 10:59:36
drive_term_cr23;2023-06-06 11:09:36
drive_term_cr41;2023-06-06 14:53:40
drive_term_cr20;2023-06-07 10:28:04
drive_term_cr34;2023-06-07 10:53:58
drive_term_cr48;2023-06-07 11:40:06
drive_term_cr19;2023-06-07 11:47:06
drive_term_cr65;2023-06-07 11:48:15
drive_term_cr21;2023-06-07 13:34:57
drive_term_cr68;2023-06-08 08:54:35
drive_term_cr53;2023-06-08 10:41:50
drive_term_cr67;2023-06-08 11:43:19
drive_term_cr66;2023-06-08 12:10:30
drive_term_cr69;2023-06-08 15:39:59
drive_term_cr54;2023-06-09 10:25:58
drive_term_cr51;2023-06-09 14:21:43
drive_term_cr22;2023-06-09 14:44:32
drive_term_cr75;2023-06-09 14:51:00
drive_term_cr49;2023-06-09 14:58:46
drive_term_cr25;2023-06-09 15:37:13
drive_term_cr74;2023-06-09 16:00:44
drive_term_cr61;2023-06-09 18:02:10
drive_term_cr44;2023-06-12 09:40:52
drive_term_cr24;2023-06-12 09:41:25
drive_term_cr60;2023-06-12 09:47:58
drive_term_cr58;2023-06-12 10:43:17
drive_term_cr52;2023-06-12 11:01:25
drive_term_cr72;2023-06-12 11:09:34
drive_term_cr70;2023-06-12 15:23:52
drive_term_cr32;2023-06-12 15:25:14
drive_term_cr56;2023-06-12 15:30:49
drive_term_cr33;2023-06-12 15:35:37
drive_term_cr40;2023-06-12 15:56:35
drive_term_cr28;2023-06-12 17:31:28
drive_term_cr55;2023-06-12 18:34:09
drive_term_cr59;2023-06-13 08:32:28
drive_term_cr77;2023-06-13 09:28:29
drive_term_cr73;2023-06-13 11:33:37
drive_term_cr76;2023-06-13 15:37:47
drive_term_cr85;2023-06-14 08:24:27
drive_term_cr86;2023-06-14 09:12:31
drive_term_cr81;2023-06-14 13:23:38
drive_term_cr87;2023-06-14 14:18:13
drive_term_cr84;2023-06-14 14:47:18
drive_term_cr103;2023-06-15 07:43:28
drive_term_cr83;2023-06-15 11:49:20
drive_term_cr102;2023-06-15 13:19:22
drive_term_cr100;2023-06-15 14:10:09
drive_term_cr71;2023-06-15 14:19:28
drive_term_cr94;2023-06-15 14:22:02
drive_term_cr90;2023-06-15 14:39:30
drive_term_cr92;2023-06-15 14:52:29
drive_term_cr93;2023-06-15 15:51:41
drive_term_cr63;2023-06-16 09:53:26
drive_term_cr105;2023-06-16 10:40:34
drive_term_cr110;2023-06-16 13:42:00
drive_term_cr57;2023-06-16 13:48:50
drive_term_cr101;2023-06-16 14:13:54
drive_term_cr78;2023-06-16 14:28:48
drive_term_cr96;2023-06-16 15:07:25
drive_term_cr106;2023-06-16 16:35:06
drive_term_cr111;2023-06-16 16:44:37
drive_term_cr79;2023-06-16 18:16:26
drive_term_cr107;2023-06-19 13:31:37
drive_term_cr62;2023-06-19 13:47:31
drive_term_cr104;2023-06-19 14:49:16
drive_term_cr80;2023-06-19 15:05:58
drive_term_cr91;2023-06-19 15:20:03
drive_term_cr109;2023-06-19 15:35:13
drive_term_cr88;2023-06-19 17:06:24
drive_term_cr82;2023-06-19 17:08:47
drive_term_cr114;2023-06-20 09:54:52
drive_term_cr108;2023-06-20 10:58:18
drive_term_cr115;2023-06-20 11:31:04
drive_term_cr116;2023-06-20 15:49:22
drive_term_cr118;2023-06-21 10:41:46
drive_term_cr113;2023-06-21 11:23:25
drive_term_cr120;2023-06-21 11:25:23
drive_term_cr112;2023-06-21 15:01:21
drive_term_cr97;2023-06-21 17:37:58
drive_term_cr50;2023-06-22 09:27:59
drive_term_cr124;2023-06-22 10:09:29
drive_term_cr95;2023-06-22 11:15:24
drive_term_cr98;2023-06-23 07:54:35
drive_term_cr132;2023-06-23 11:07:08
drive_term_cr129;2023-06-23 11:49:44
drive_term_cr89;2023-06-23 12:16:58
drive_term_cr46;2023-06-23 15:12:34
drive_term_cr119;2023-06-26 09:56:40
drive_term_cr64;2023-06-26 11:05:15
