ocel_id;ocel_time
load_veh_cr13;2023-06-01 07:22:33
load_veh_cr11;2023-06-01 07:23:41
load_veh_cr12;2023-06-01 07:33:55
load_veh_cr14;2023-06-01 07:45:07
load_veh_cr29;2023-06-01 09:04:01
load_veh_cr42;2023-06-01 16:10:17
load_veh_cr9;2023-06-05 07:38:43
load_veh_cr10;2023-06-05 07:51:29
load_veh_cr7;2023-06-05 07:59:22
load_veh_cr8;2023-06-05 09:14:10
load_veh_cr47;2023-06-06 10:32:29
load_veh_cr5;2023-06-08 07:09:20
load_veh_cr6;2023-06-08 07:17:27
load_veh_cr69;2023-06-12 07:24:17
load_veh_cr66;2023-06-12 07:28:54
load_veh_cr68;2023-06-12 07:35:16
load_veh_cr36;2023-06-12 07:40:08
load_veh_cr39;2023-06-12 07:46:20
load_veh_cr67;2023-06-12 07:52:16
load_veh_cr35;2023-06-12 08:57:17
load_veh_cr37;2023-06-12 10:03:06
load_veh_cr38;2023-06-12 10:05:53
load_veh_cr54;2023-06-15 07:20:21
load_veh_cr53;2023-06-15 07:33:13
load_veh_cr17;2023-06-15 07:35:26
load_veh_cr40;2023-06-15 07:38:00
load_veh_cr19;2023-06-15 07:49:50
load_veh_cr15;2023-06-15 07:51:42
load_veh_cr87;2023-06-15 07:58:53
load_veh_cr51;2023-06-15 09:02:04
load_veh_cr16;2023-06-15 09:04:52
load_veh_cr77;2023-06-15 09:05:43
load_veh_cr52;2023-06-15 09:12:08
load_veh_cr18;2023-06-15 09:17:51
load_veh_cr85;2023-06-15 09:21:52
load_veh_cr41;2023-06-15 09:23:57
load_veh_cr84;2023-06-19 07:58:31
load_veh_cr100;2023-06-19 09:07:18
load_veh_cr86;2023-06-19 09:08:27
load_veh_cr4;2023-06-19 09:16:54
load_veh_cr92;2023-06-19 09:25:20
load_veh_cr102;2023-06-19 09:33:00
load_veh_cr2;2023-06-19 09:34:47
load_veh_cr26;2023-06-19 09:41:42
load_veh_cr27;2023-06-19 09:42:30
load_veh_cr30;2023-06-19 09:45:00
load_veh_cr3;2023-06-19 09:51:49
load_veh_cr28;2023-06-19 09:58:18
load_veh_cr106;2023-06-19 10:58:22
load_veh_cr101;2023-06-19 11:59:55
load_veh_cr93;2023-06-19 14:03:34
load_veh_cr103;2023-06-19 14:06:05
load_veh_cr1;2023-06-19 14:06:57
load_veh_cr20;2023-06-19 14:12:39
load_veh_cr94;2023-06-19 14:15:52
load_veh_cr21;2023-06-19 14:16:42
load_veh_cr70;2023-06-22 07:37:04
load_veh_cr25;2023-06-22 07:42:17
load_veh_cr73;2023-06-22 07:45:12
load_veh_cr76;2023-06-22 07:56:15
load_veh_cr104;2023-06-22 09:05:28
load_veh_cr23;2023-06-22 09:09:38
load_veh_cr22;2023-06-22 09:16:57
load_veh_cr44;2023-06-22 09:20:12
load_veh_cr79;2023-06-22 09:26:10
load_veh_cr105;2023-06-22 09:27:34
load_veh_cr43;2023-06-22 09:31:20
load_veh_cr74;2023-06-22 09:35:20
load_veh_cr60;2023-06-22 09:37:34
load_veh_cr72;2023-06-22 09:40:48
load_veh_cr45;2023-06-22 09:44:00
load_veh_cr78;2023-06-22 09:45:45
load_veh_cr59;2023-06-22 09:49:09
load_veh_cr75;2023-06-22 09:55:35
load_veh_cr24;2023-06-22 09:58:14
load_veh_cr71;2023-06-22 10:59:18
load_veh_cr82;2023-06-26 13:32:32
load_veh_cr108;2023-06-26 13:37:13
load_veh_cr31;2023-06-26 13:39:53
load_veh_cr32;2023-06-26 13:47:04
