ocel_id;ocel_time
load_truck_hu5;2023-05-30 11:23:33
load_truck_hu6;2023-05-30 11:25:24
load_truck_hu1;2023-05-30 11:28:15
load_truck_hu4;2023-05-30 11:29:39
load_truck_hu2;2023-05-30 11:35:14
load_truck_hu9;2023-05-30 11:41:18
load_truck_hu24;2023-05-30 11:41:25
load_truck_hu20;2023-05-30 11:44:51
load_truck_hu23;2023-05-30 11:47:55
load_truck_hu19;2023-05-30 11:51:34
load_truck_hu11;2023-05-30 11:53:06
load_truck_hu3;2023-05-30 13:57:39
load_truck_hu15;2023-05-30 14:07:17
load_truck_hu17;2023-05-30 14:07:58
load_truck_hu8;2023-05-30 15:01:16
load_truck_hu13;2023-05-30 15:07:49
load_truck_hu14;2023-05-30 15:12:24
load_truck_hu10;2023-05-30 15:12:40
load_truck_hu26;2023-05-30 15:13:57
load_truck_hu18;2023-05-30 15:16:07
load_truck_hu25;2023-05-30 15:16:41
load_truck_hu22;2023-05-30 15:22:25
load_truck_hu12;2023-05-30 15:26:06
load_truck_hu32;2023-05-30 15:39:05
load_truck_hu33;2023-05-30 15:39:22
load_truck_hu30;2023-05-30 15:39:37
load_truck_hu29;2023-05-30 15:40:44
load_truck_hu16;2023-05-30 15:43:25
load_truck_hu7;2023-05-30 15:43:57
load_truck_hu28;2023-05-30 15:45:55
load_truck_hu27;2023-05-30 15:50:07
load_truck_hu31;2023-05-30 15:52:05
load_truck_hu21;2023-05-30 15:52:16
load_truck_hu35;2023-05-30 17:23:03
load_truck_hu36;2023-05-30 17:34:30
load_truck_hu39;2023-05-30 17:46:45
load_truck_hu43;2023-05-30 18:32:34
load_truck_hu34;2023-05-31 07:17:28
load_truck_hu42;2023-05-31 07:33:10
load_truck_hu40;2023-05-31 07:36:53
load_truck_hu45;2023-05-31 07:41:00
load_truck_hu38;2023-05-31 07:42:51
load_truck_hu41;2023-05-31 07:45:03
load_truck_hu44;2023-05-31 07:53:33
load_truck_hu37;2023-05-31 08:55:57
load_truck_hu48;2023-05-31 16:49:01
load_truck_hu50;2023-05-31 16:53:28
load_truck_hu51;2023-05-31 16:54:42
load_truck_hu47;2023-05-31 16:56:13
load_truck_hu46;2023-05-31 16:58:12
load_truck_hu49;2023-05-31 18:00:19
load_truck_hu52;2023-06-01 09:28:20
load_truck_hu53;2023-06-01 09:30:03
load_truck_hu55;2023-06-01 09:33:49
load_truck_hu56;2023-06-01 09:34:46
load_truck_hu57;2023-06-01 09:35:47
load_truck_hu54;2023-06-01 09:39:36
