ocel_id;ocel_time
order_crs_td1;2023-05-24 14:52:00
order_crs_td2;2023-05-26 13:59:12
order_crs_td5;2023-05-30 09:51:12
order_crs_td3;2023-05-30 11:21:16
order_crs_td4;2023-05-30 15:19:18
order_crs_td6;2023-05-31 09:10:01
order_crs_td7;2023-05-31 13:42:36
order_crs_td8;2023-05-31 16:24:10
order_crs_td9;2023-05-31 17:40:00
order_crs_td10;2023-06-01 08:24:50
order_crs_td11;2023-06-01 12:25:58
order_crs_td12;2023-06-02 12:02:08
order_crs_td13;2023-06-05 09:18:46
order_crs_td14;2023-06-05 13:39:34
order_crs_td15;2023-06-06 10:17:47
order_crs_td16;2023-06-06 16:24:22
order_crs_td18;2023-06-07 11:07:19
order_crs_td17;2023-06-07 14:34:43
order_crs_td19;2023-06-07 17:28:36
order_crs_td20;2023-06-08 13:41:17
order_crs_td21;2023-06-09 10:28:02
order_crs_td22;2023-06-12 17:35:12
order_crs_td23;2023-06-13 09:58:44
order_crs_td24;2023-06-13 15:43:47
order_crs_td25;2023-06-14 09:16:14
order_crs_td27;2023-06-14 10:54:26
order_crs_td26;2023-06-14 14:42:36
order_crs_td28;2023-06-14 14:53:52
order_crs_td29;2023-06-14 16:56:34
order_crs_td30;2023-06-15 10:27:04
order_crs_td31;2023-06-15 16:49:22
order_crs_td32;2023-06-16 12:27:57
order_crs_td33;2023-06-16 15:48:42
order_crs_td34;2023-06-19 15:44:12
order_crs_td35;2023-06-20 11:06:23
order_crs_td36;2023-06-21 14:41:12
order_crs_td37;2023-06-21 17:50:14
order_crs_td38;2023-06-22 11:36:29
order_crs_td39;2023-06-22 14:48:53
order_crs_td40;2023-06-23 09:27:14
order_crs_td41;2023-06-26 14:46:46
order_crs_td42;2023-06-26 16:23:11
order_crs_td43;2023-06-27 12:30:56
order_crs_td44;2023-06-27 16:22:19
order_crs_td45;2023-06-28 09:39:20
order_crs_td46;2023-06-28 15:16:31
order_crs_td48;2023-06-28 18:34:12
order_crs_td47;2023-06-28 18:54:30
order_crs_td49;2023-06-29 13:25:30
order_crs_td50;2023-06-29 16:33:25
order_crs_td51;2023-07-03 10:25:05
