ocel_id;ocel_time
pick_cr5;2023-05-30 11:03:35
pick_cr7;2023-05-30 11:21:16
pick_cr8;2023-05-30 11:21:16
pick_cr9;2023-05-30 11:21:16
pick_cr10;2023-05-30 13:18:24
pick_cr14;2023-05-30 15:19:18
pick_cr13;2023-05-30 15:19:18
pick_cr12;2023-05-30 15:59:12
pick_cr11;2023-05-30 17:02:52
pick_cr29;2023-05-31 16:24:10
pick_cr37;2023-06-01 09:08:31
pick_cr42;2023-06-01 12:25:58
pick_cr1;2023-06-01 19:11:37
pick_cr36;2023-06-01 22:35:34
pick_cr6;2023-06-02 01:10:46
pick_cr43;2023-06-02 13:38:34
pick_cr27;2023-06-02 22:26:43
pick_cr30;2023-06-02 23:20:58
pick_cr45;2023-06-03 00:20:08
pick_cr3;2023-06-03 03:38:58
pick_cr35;2023-06-03 09:09:05
pick_cr31;2023-06-03 12:15:01
pick_cr17;2023-06-05 10:59:14
pick_cr4;2023-06-05 11:51:23
pick_cr18;2023-06-05 12:18:16
pick_cr38;2023-06-05 12:29:02
pick_cr2;2023-06-05 12:34:10
pick_cr47;2023-06-05 12:36:34
pick_cr16;2023-06-06 07:43:53
pick_cr23;2023-06-06 07:56:29
pick_cr26;2023-06-06 08:54:13
pick_cr15;2023-06-06 09:41:54
pick_cr39;2023-06-06 10:13:42
pick_cr41;2023-06-06 13:09:18
pick_cr20;2023-06-06 20:49:14
pick_cr34;2023-06-07 01:46:25
pick_cr19;2023-06-07 08:08:34
pick_cr21;2023-06-07 09:56:45
pick_cr48;2023-06-07 09:58:50
pick_cr65;2023-06-07 11:07:19
pick_cr68;2023-06-07 17:44:56
pick_cr53;2023-06-07 19:08:30
pick_cr66;2023-06-08 10:13:23
pick_cr67;2023-06-08 11:03:39
pick_cr69;2023-06-08 15:01:54
pick_cr54;2023-06-08 20:45:32
pick_cr49;2023-06-08 23:26:26
pick_cr22;2023-06-09 01:40:56
pick_cr25;2023-06-09 03:09:14
pick_cr51;2023-06-09 06:53:10
pick_cr75;2023-06-09 10:28:02
pick_cr74;2023-06-09 10:28:02
pick_cr61;2023-06-09 14:21:43
pick_cr24;2023-06-09 17:11:59
pick_cr72;2023-06-09 20:04:05
pick_cr52;2023-06-09 21:59:30
pick_cr44;2023-06-10 03:23:05
pick_cr58;2023-06-10 04:00:27
pick_cr60;2023-06-10 06:51:26
pick_cr32;2023-06-12 09:40:52
pick_cr70;2023-06-12 09:41:25
pick_cr28;2023-06-12 09:47:58
