ocel_id;ocel_time
stock_cr5;2023-05-30 15:12:08
stock_cr13;2023-05-30 17:12:26
stock_cr14;2023-05-30 17:25:58
stock_cr7;2023-05-30 17:27:08
stock_cr8;2023-05-30 17:33:18
stock_cr10;2023-05-30 18:09:46
stock_cr9;2023-05-30 18:53:59
stock_cr11;2023-05-31 10:06:21
stock_cr12;2023-05-31 11:39:15
stock_cr37;2023-06-01 11:13:59
stock_cr6;2023-06-02 08:49:58
stock_cr1;2023-06-02 10:21:45
stock_cr36;2023-06-02 10:27:13
stock_cr43;2023-06-02 16:22:53
stock_cr45;2023-06-05 11:58:06
stock_cr30;2023-06-05 13:01:29
stock_cr35;2023-06-05 13:26:01
stock_cr31;2023-06-05 13:33:42
stock_cr27;2023-06-05 13:44:04
stock_cr3;2023-06-05 13:44:11
stock_cr17;2023-06-06 07:48:34
stock_cr2;2023-06-06 09:06:33
stock_cr38;2023-06-06 09:45:00
stock_cr16;2023-06-06 09:58:34
stock_cr18;2023-06-06 09:58:38
stock_cr4;2023-06-06 09:58:43
stock_cr26;2023-06-06 10:35:11
stock_cr39;2023-06-06 10:56:12
stock_cr23;2023-06-06 11:14:12
stock_cr15;2023-06-06 13:08:25
stock_cr41;2023-06-06 14:55:34
stock_cr20;2023-06-07 10:33:58
stock_cr48;2023-06-07 11:43:59
stock_cr65;2023-06-07 11:50:55
stock_cr19;2023-06-07 11:52:57
stock_cr34;2023-06-07 11:56:45
stock_cr21;2023-06-07 13:37:13
stock_cr68;2023-06-08 09:56:16
stock_cr53;2023-06-08 10:47:21
stock_cr67;2023-06-08 11:49:24
stock_cr66;2023-06-08 13:12:21
stock_cr69;2023-06-08 15:47:21
stock_cr54;2023-06-09 10:34:20
stock_cr51;2023-06-09 14:28:53
stock_cr22;2023-06-09 14:48:58
stock_cr25;2023-06-09 15:40:25
stock_cr75;2023-06-09 15:57:46
stock_cr74;2023-06-09 16:11:21
stock_cr49;2023-06-09 17:01:06
stock_cr61;2023-06-12 07:31:51
stock_cr24;2023-06-12 09:47:15
stock_cr44;2023-06-12 09:48:17
stock_cr60;2023-06-12 09:50:12
stock_cr58;2023-06-12 10:49:39
stock_cr52;2023-06-12 11:10:02
stock_cr72;2023-06-12 11:11:41
stock_cr70;2023-06-12 15:31:29
stock_cr32;2023-06-12 15:32:06
stock_cr56;2023-06-12 15:34:23
stock_cr33;2023-06-12 15:39:45
stock_cr40;2023-06-12 16:58:01
stock_cr28;2023-06-12 17:44:59
stock_cr55;2023-06-12 18:53:55
stock_cr59;2023-06-13 08:38:17
stock_cr77;2023-06-13 09:37:30
stock_cr73;2023-06-13 11:40:31
stock_cr76;2023-06-13 15:41:23
stock_cr85;2023-06-14 08:40:18
stock_cr86;2023-06-14 09:19:56
stock_cr81;2023-06-14 13:30:27
stock_cr87;2023-06-14 14:24:12
stock_cr84;2023-06-14 14:51:51
stock_cr103;2023-06-15 07:51:38
stock_cr83;2023-06-15 11:54:34
stock_cr102;2023-06-15 13:27:39
stock_cr100;2023-06-15 14:15:13
stock_cr71;2023-06-15 14:24:42
stock_cr94;2023-06-15 14:26:41
stock_cr90;2023-06-15 14:44:01
stock_cr92;2023-06-15 14:54:14
stock_cr93;2023-06-15 15:54:36
stock_cr63;2023-06-16 09:56:37
stock_cr105;2023-06-16 10:49:16
stock_cr110;2023-06-16 13:49:49
stock_cr57;2023-06-16 13:56:22
stock_cr101;2023-06-16 14:16:41
stock_cr78;2023-06-16 14:31:53
stock_cr96;2023-06-16 15:18:09
stock_cr106;2023-06-16 16:41:36
stock_cr111;2023-06-16 16:53:49
stock_cr79;2023-06-19 07:53:20
stock_cr107;2023-06-19 14:08:27
stock_cr62;2023-06-19 14:13:30
stock_cr104;2023-06-19 14:57:31
stock_cr80;2023-06-19 15:10:59
stock_cr91;2023-06-19 15:25:53
stock_cr109;2023-06-19 15:41:58
stock_cr88;2023-06-19 17:16:12
stock_cr82;2023-06-19 17:25:14
stock_cr114;2023-06-20 09:59:03
stock_cr115;2023-06-20 11:37:23
stock_cr108;2023-06-20 13:06:09
stock_cr116;2023-06-20 15:54:19
stock_cr118;2023-06-21 10:48:14
stock_cr113;2023-06-21 11:25:23
stock_cr120;2023-06-21 11:29:41
stock_cr112;2023-06-21 15:03:36
stock_cr97;2023-06-21 17:59:22
stock_cr50;2023-06-22 09:41:38
