ocel_id;ocel_time
reg_co1;2023-05-22 13:54:42
reg_co2;2023-05-22 20:33:30
reg_co3;2023-05-23 14:14:57
reg_co4;2023-05-23 20:34:15
reg_co5;2023-05-24 14:16:04
reg_co6;2023-05-24 20:37:36
reg_co7;2023-05-25 14:21:06
reg_co8;2023-05-25 20:52:42
reg_co9;2023-05-26 17:01:20
reg_co10;2023-05-29 11:50:58
reg_co11;2023-05-29 18:06:38
reg_co12;2023-05-30 12:07:58
reg_co13;2023-05-30 17:40:38
reg_co14;2023-05-31 12:15:58
reg_co15;2023-05-31 17:56:38
reg_co16;2023-06-01 12:47:58
reg_co17;2023-06-01 19:00:38
reg_co18;2023-06-02 14:49:13
reg_co19;2023-06-05 11:06:22
reg_co20;2023-06-05 16:37:26
reg_co21;2023-06-06 11:09:34
reg_co22;2023-06-06 16:43:50
reg_co23;2023-06-07 11:22:22
reg_co24;2023-06-07 17:09:26
reg_co25;2023-06-08 11:13:34
reg_co26;2023-06-08 16:51:50
reg_co27;2023-06-09 12:36:53
reg_co28;2023-06-12 09:05:55
reg_co29;2023-06-12 14:36:32
reg_co30;2023-06-13 08:39:00
reg_co31;2023-06-13 14:53:12
reg_co32;2023-06-14 09:29:00
reg_co33;2023-06-14 15:22:42
reg_co34;2023-06-15 09:40:06
reg_co35;2023-06-15 15:44:54
reg_co36;2023-06-16 10:54:19
reg_co37;2023-06-16 19:32:29
reg_co38;2023-06-19 13:56:33
reg_co39;2023-06-19 20:39:03
reg_co40;2023-06-20 14:23:16
reg_co41;2023-06-20 20:59:12
reg_co42;2023-06-21 14:53:30
reg_co43;2023-06-22 09:29:54
reg_co44;2023-06-22 15:24:30
reg_co45;2023-06-23 10:04:47
reg_co46;2023-06-23 17:53:25
reg_co47;2023-06-26 13:19:30
reg_co48;2023-06-26 19:03:42
reg_co49;2023-06-27 13:00:15
reg_co50;2023-06-27 18:25:12
reg_co51;2023-06-28 12:45:06
reg_co52;2023-06-28 18:54:54
reg_co53;2023-06-29 13:44:30
reg_co54;2023-06-29 20:02:54
reg_co55;2023-06-30 15:35:58
reg_co56;2023-07-03 11:25:50
reg_co57;2023-07-03 17:16:22
reg_co58;2023-07-04 11:27:26
reg_co59;2023-07-04 17:19:34
reg_co60;2023-07-05 11:33:50
reg_co61;2023-07-05 17:32:22
reg_co62;2023-07-06 11:59:26
reg_co63;2023-07-06 18:23:34
reg_co64;2023-07-07 14:19:39
reg_co65;2023-07-10 10:16:06
reg_co66;2023-07-10 15:56:54
reg_co67;2023-07-11 10:48:30
reg_co68;2023-07-11 17:01:42
reg_co69;2023-07-12 10:58:06
reg_co70;2023-07-12 17:20:54
reg_co71;2023-07-13 11:36:30
reg_co72;2023-07-13 17:37:42
reg_co73;2023-07-14 13:28:16
reg_co74;2023-07-17 09:48:45
reg_co75;2023-07-17 16:02:12
reg_co76;2023-07-18 09:59:06
reg_co77;2023-07-18 16:22:54
reg_co78;2023-07-19 10:40:30
reg_co79;2023-07-19 16:45:42
reg_co80;2023-07-20 11:26:06
reg_co81;2023-07-20 17:16:54
reg_co82;2023-07-21 12:37:45
reg_co83;2023-07-24 09:08:00
reg_co84;2023-07-24 14:40:42
reg_co85;2023-07-25 08:51:30
reg_co86;2023-07-25 15:11:57
reg_co87;2023-07-26 09:18:36
reg_co88;2023-07-26 15:01:54
reg_co89;2023-07-27 08:55:06
reg_co90;2023-07-27 15:17:21
reg_co91;2023-07-28 09:47:25
reg_co92;2023-07-28 18:18:41
reg_co93;2023-07-31 13:02:28
reg_co94;2023-07-31 18:29:38
reg_co95;2023-08-01 12:53:58
reg_co96;2023-08-01 19:12:38
reg_co97;2023-08-02 13:13:39
reg_co98;2023-08-02 18:52:00
reg_co99;2023-08-03 13:38:42
reg_co100;2023-08-03 19:45:30
reg_co101;2023-08-04 16:06:08
reg_co102;2023-08-07 11:17:07
reg_co103;2023-08-07 16:58:56
reg_co104;2023-08-08 11:52:34
reg_co105;2023-08-08 18:09:50
reg_co106;2023-08-09 12:14:22
reg_co107;2023-08-09 17:53:26
reg_co108;2023-08-10 12:41:34
reg_co109;2023-08-10 18:47:50
reg_co110;2023-08-11 15:18:35
reg_co111;2023-08-14 10:56:17
reg_co112;2023-08-14 17:17:16
reg_co113;2023-08-15 11:29:14
reg_co114;2023-08-15 17:23:10
reg_co115;2023-08-16 11:41:02
reg_co116;2023-08-16 17:46:46
reg_co117;2023-08-17 12:28:14
reg_co118;2023-08-17 18:21:10
reg_co119;2023-08-18 14:13:50
reg_co120;2023-08-21 10:06:13
reg_co121;2023-08-21 15:37:08
reg_co122;2023-08-22 10:08:58
reg_co123;2023-08-22 15:42:38
reg_co124;2023-08-23 10:19:58
reg_co125;2023-08-23 16:04:38
reg_co126;2023-08-24 10:03:58
reg_co127;2023-08-24 15:32:38
