ocel_id;ocel_time
resch_cr_cr268;2023-08-01 15:58:49
resch_cr_cr293;2023-08-07 09:34:01
resch_cr_cr261;2023-08-09 09:25:49
resch_cr_cr297;2023-08-10 09:25:49
resch_cr_cr307;2023-08-11 10:36:24
resch_cr_cr252;2023-08-14 10:59:04
resch_cr_cr336;2023-08-15 15:50:39
resch_cr_cr334;2023-08-15 15:55:27
resch_cr_cr337;2023-08-16 11:22:48
resch_cr_cr267;2023-08-17 10:36:34
resch_cr_cr335;2023-08-17 10:46:15
resch_cr_cr259;2023-08-22 13:54:04
resch_cr_cr386;2023-08-25 14:59:55
resch_cr_cr376;2023-08-28 13:20:51
resch_cr_cr392;2023-08-29 16:06:45
resch_cr_cr395;2023-08-29 16:23:36
resch_cr_cr374;2023-08-31 07:44:04
resch_cr_cr393;2023-08-31 14:24:21
resch_cr_cr438;2023-09-06 09:47:45
resch_cr_cr1060;2024-01-16 14:51:25
resch_cr_cr1683;2024-06-04 15:07:17
resch_cr_cr2001;2024-08-20 11:58:10
resch_cr_cr2000;2024-08-20 15:56:13
resch_cr_cr1950;2024-08-21 15:59:31
resch_cr_cr1978;2024-08-22 15:31:30
resch_cr_cr2022;2024-08-23 15:15:28
resch_cr_cr1965;2024-08-27 17:49:34
