ocel_id;ocel_time
weigh_cr5;2023-05-30 15:11:28
weigh_cr10;2023-05-30 16:59:34
weigh_cr13;2023-05-30 17:09:25
weigh_cr14;2023-05-30 17:15:01
weigh_cr7;2023-05-30 17:18:29
weigh_cr8;2023-05-30 17:25:58
weigh_cr9;2023-05-30 17:47:41
weigh_cr11;2023-05-31 10:04:31
weigh_cr12;2023-05-31 11:38:20
weigh_cr29;2023-06-01 07:48:37
weigh_cr37;2023-06-01 11:11:58
weigh_cr42;2023-06-01 14:58:30
weigh_cr6;2023-06-02 08:38:03
weigh_cr1;2023-06-02 10:19:24
weigh_cr36;2023-06-02 10:23:17
weigh_cr43;2023-06-02 16:20:22
weigh_cr45;2023-06-05 11:57:12
weigh_cr30;2023-06-05 12:00:37
weigh_cr35;2023-06-05 13:22:00
weigh_cr31;2023-06-05 13:31:02
weigh_cr27;2023-06-05 13:37:28
weigh_cr3;2023-06-05 13:41:06
weigh_cr17;2023-06-06 07:47:07
weigh_cr2;2023-06-06 09:02:01
weigh_cr38;2023-06-06 09:42:25
weigh_cr18;2023-06-06 09:55:46
weigh_cr16;2023-06-06 09:56:40
weigh_cr4;2023-06-06 09:57:52
weigh_cr47;2023-06-06 10:24:21
weigh_cr26;2023-06-06 10:34:17
weigh_cr39;2023-06-06 10:54:26
weigh_cr23;2023-06-06 11:10:46
weigh_cr15;2023-06-06 12:02:14
weigh_cr41;2023-06-06 14:54:20
weigh_cr20;2023-06-07 10:32:45
weigh_cr34;2023-06-07 10:56:38
weigh_cr48;2023-06-07 11:42:55
weigh_cr65;2023-06-07 11:50:24
weigh_cr19;2023-06-07 11:51:01
weigh_cr21;2023-06-07 13:35:56
weigh_cr68;2023-06-08 08:55:42
weigh_cr53;2023-06-08 10:43:40
weigh_cr67;2023-06-08 11:47:03
weigh_cr66;2023-06-08 13:11:43
weigh_cr69;2023-06-08 15:45:16
weigh_cr54;2023-06-09 10:30:29
weigh_cr51;2023-06-09 14:27:58
weigh_cr22;2023-06-09 14:45:53
weigh_cr75;2023-06-09 14:56:45
weigh_cr25;2023-06-09 15:39:08
weigh_cr49;2023-06-09 15:59:09
weigh_cr74;2023-06-09 16:07:06
weigh_cr61;2023-06-09 18:27:21
weigh_cr24;2023-06-12 09:43:00
weigh_cr44;2023-06-12 09:47:15
weigh_cr60;2023-06-12 09:49:31
weigh_cr58;2023-06-12 10:46:58
weigh_cr52;2023-06-12 11:07:06
weigh_cr72;2023-06-12 11:10:17
weigh_cr70;2023-06-12 15:28:17
weigh_cr32;2023-06-12 15:28:40
weigh_cr56;2023-06-12 15:33:15
weigh_cr33;2023-06-12 15:38:46
weigh_cr40;2023-06-12 16:56:55
weigh_cr28;2023-06-12 17:35:35
weigh_cr55;2023-06-12 18:41:29
weigh_cr59;2023-06-13 08:33:50
weigh_cr77;2023-06-13 09:32:34
weigh_cr73;2023-06-13 11:37:02
weigh_cr76;2023-06-13 15:39:38
weigh_cr85;2023-06-14 08:35:29
weigh_cr86;2023-06-14 09:16:47
weigh_cr81;2023-06-14 13:24:28
weigh_cr87;2023-06-14 14:20:36
weigh_cr84;2023-06-14 14:48:48
weigh_cr103;2023-06-15 07:49:50
weigh_cr83;2023-06-15 11:53:58
weigh_cr102;2023-06-15 13:26:26
weigh_cr100;2023-06-15 14:14:05
weigh_cr71;2023-06-15 14:22:19
weigh_cr94;2023-06-15 14:22:39
weigh_cr90;2023-06-15 14:41:46
weigh_cr92;2023-06-15 14:53:29
weigh_cr93;2023-06-15 15:52:38
weigh_cr63;2023-06-16 09:54:17
weigh_cr105;2023-06-16 10:43:09
weigh_cr110;2023-06-16 13:48:48
weigh_cr57;2023-06-16 13:53:48
weigh_cr101;2023-06-16 14:15:57
weigh_cr78;2023-06-16 14:31:14
weigh_cr96;2023-06-16 15:13:47
weigh_cr106;2023-06-16 16:40:17
weigh_cr111;2023-06-16 16:49:21
weigh_cr79;2023-06-16 18:47:55
weigh_cr107;2023-06-19 14:06:05
weigh_cr62;2023-06-19 14:12:39
weigh_cr104;2023-06-19 14:55:25
weigh_cr80;2023-06-19 15:10:11
weigh_cr91;2023-06-19 15:23:24
weigh_cr109;2023-06-19 15:37:41
weigh_cr88;2023-06-19 17:11:58
weigh_cr82;2023-06-19 17:15:00
weigh_cr114;2023-06-20 09:56:52
weigh_cr115;2023-06-20 11:34:18
weigh_cr108;2023-06-20 12:02:07
weigh_cr116;2023-06-20 15:53:34
weigh_cr118;2023-06-21 10:46:17
weigh_cr113;2023-06-21 11:24:18
weigh_cr120;2023-06-21 11:29:03
weigh_cr112;2023-06-21 15:02:41
weigh_cr97;2023-06-21 17:54:56
weigh_cr50;2023-06-22 09:40:48
weigh_cr124;2023-06-22 10:14:35
weigh_cr95;2023-06-22 11:17:40
weigh_cr98;2023-06-23 09:03:47
weigh_cr132;2023-06-23 11:07:48
weigh_cr129;2023-06-23 11:51:38
weigh_cr89;2023-06-23 13:20:12
weigh_cr46;2023-06-23 15:19:50
weigh_cr119;2023-06-26 09:57:21
weigh_cr64;2023-06-26 11:06:48
weigh_cr117;2023-06-26 11:23:08
weigh_cr131;2023-06-26 11:27:39
weigh_cr141;2023-06-27 09:17:02
weigh_cr138;2023-06-27 11:49:49
weigh_cr130;2023-06-27 13:11:23
weigh_cr139;2023-06-27 13:44:33
weigh_cr148;2023-06-27 18:38:45
weigh_cr137;2023-06-28 10:42:53
weigh_cr128;2023-06-28 14:26:24
weigh_cr153;2023-06-28 16:59:29
weigh_cr162;2023-06-29 11:21:09
weigh_cr125;2023-06-29 11:37:23
weigh_cr154;2023-06-29 11:38:12
weigh_cr158;2023-06-29 11:45:38
weigh_cr150;2023-06-29 11:51:00
weigh_cr126;2023-06-29 11:52:03
weigh_cr161;2023-06-29 15:44:06
weigh_cr165;2023-06-29 16:58:15
weigh_cr142;2023-06-29 17:26:19
weigh_cr163;2023-06-29 17:38:15
weigh_cr121;2023-06-29 17:48:40
weigh_cr169;2023-06-30 09:36:41
weigh_cr168;2023-06-30 10:03:31
weigh_cr170;2023-06-30 10:42:42
weigh_cr152;2023-06-30 11:30:30
weigh_cr140;2023-06-30 13:57:04
weigh_cr166;2023-06-30 16:11:36
weigh_cr151;2023-07-03 09:54:42
weigh_cr145;2023-07-03 15:48:41
weigh_cr164;2023-07-03 16:40:48
weigh_cr144;2023-07-03 16:57:09
weigh_cr136;2023-07-03 17:20:11
weigh_cr171;2023-07-03 18:43:21
weigh_cr146;2023-07-03 19:29:19
weigh_cr155;2023-07-04 09:39:13
weigh_cr147;2023-07-04 10:24:42
weigh_cr133;2023-07-04 11:17:05
weigh_cr127;2023-07-04 14:24:37
weigh_cr157;2023-07-04 14:42:16
weigh_cr149;2023-07-04 14:42:56
weigh_cr172;2023-07-04 14:58:17
weigh_cr156;2023-07-05 07:48:29
weigh_cr177;2023-07-05 07:55:16
weigh_cr167;2023-07-05 09:00:05
weigh_cr160;2023-07-05 09:55:33
weigh_cr123;2023-07-05 10:13:20
weigh_cr99;2023-07-05 15:19:15
weigh_cr175;2023-07-05 16:58:05
weigh_cr188;2023-07-05 16:59:27
weigh_cr184;2023-07-06 09:11:29
weigh_cr174;2023-07-06 09:16:12
weigh_cr189;2023-07-06 09:31:10
weigh_cr159;2023-07-06 11:06:25
weigh_cr187;2023-07-06 11:07:28
weigh_cr176;2023-07-06 11:27:47
weigh_cr183;2023-07-06 13:49:12
weigh_cr135;2023-07-07 11:26:01
weigh_cr196;2023-07-07 16:48:54
weigh_cr173;2023-07-10 07:16:57
weigh_cr194;2023-07-10 11:04:41
weigh_cr182;2023-07-10 15:38:08
weigh_cr143;2023-07-10 15:58:25
weigh_cr186;2023-07-10 15:59:04
weigh_cr180;2023-07-10 16:57:58
weigh_cr122;2023-07-10 17:49:46
weigh_cr195;2023-07-11 08:31:17
weigh_cr199;2023-07-11 10:35:38
weigh_cr197;2023-07-11 10:58:50
weigh_cr191;2023-07-11 13:19:52
weigh_cr200;2023-07-11 13:20:40
weigh_cr179;2023-07-11 13:59:16
weigh_cr193;2023-07-11 15:01:08
weigh_cr202;2023-07-12 11:22:19
weigh_cr204;2023-07-12 11:58:36
weigh_cr185;2023-07-13 10:45:26
weigh_cr205;2023-07-13 13:50:24
weigh_cr198;2023-07-14 14:24:01
weigh_cr201;2023-07-14 14:46:58
weigh_cr190;2023-07-14 16:13:16
weigh_cr223;2023-07-14 16:39:02
weigh_cr210;2023-07-14 16:45:33
weigh_cr219;2023-07-14 17:05:17
weigh_cr227;2023-07-17 09:01:26
weigh_cr212;2023-07-17 13:49:17
weigh_cr209;2023-07-17 13:49:31
weigh_cr206;2023-07-17 15:37:19
weigh_cr208;2023-07-17 16:00:13
weigh_cr192;2023-07-18 07:09:48
weigh_cr181;2023-07-18 08:20:49
weigh_cr230;2023-07-18 09:43:31
weigh_cr134;2023-07-18 11:28:25
weigh_cr231;2023-07-18 11:56:37
weigh_cr203;2023-07-18 13:25:12
weigh_cr207;2023-07-18 13:29:47
weigh_cr218;2023-07-18 13:39:11
weigh_cr233;2023-07-18 13:39:48
weigh_cr178;2023-07-18 14:22:01
weigh_cr217;2023-07-19 07:35:43
weigh_cr213;2023-07-19 08:13:00
weigh_cr215;2023-07-19 08:53:28
weigh_cr229;2023-07-19 09:11:28
weigh_cr225;2023-07-19 09:59:37
weigh_cr238;2023-07-19 10:25:11
weigh_cr237;2023-07-19 14:12:53
weigh_cr216;2023-07-19 14:27:50
weigh_cr228;2023-07-19 14:49:50
weigh_cr234;2023-07-19 14:54:31
weigh_cr214;2023-07-19 16:28:46
weigh_cr224;2023-07-19 17:19:09
weigh_cr211;2023-07-20 14:08:44
weigh_cr240;2023-07-20 15:49:32
weigh_cr241;2023-07-20 16:27:09
weigh_cr235;2023-07-21 09:52:59
weigh_cr236;2023-07-21 11:15:55
weigh_cr222;2023-07-24 16:56:29
weigh_cr226;2023-07-24 18:13:27
weigh_cr220;2023-07-25 07:56:32
weigh_cr232;2023-07-25 07:58:51
weigh_cr221;2023-07-25 08:57:09
weigh_cr253;2023-07-25 14:20:38
weigh_cr248;2023-07-25 14:57:18
weigh_cr244;2023-07-26 13:16:02
weigh_cr239;2023-07-26 13:33:17
weigh_cr242;2023-07-26 16:00:51
weigh_cr255;2023-07-26 17:07:11
weigh_cr256;2023-07-26 19:00:07
weigh_cr257;2023-07-27 11:02:40
weigh_cr254;2023-07-27 11:06:43
weigh_cr249;2023-07-27 15:14:09
weigh_cr243;2023-07-28 09:57:25
weigh_cr272;2023-07-28 10:52:31
weigh_cr273;2023-07-28 10:59:38
weigh_cr271;2023-07-31 09:56:47
weigh_cr275;2023-07-31 13:53:18
weigh_cr277;2023-07-31 15:01:40
weigh_cr270;2023-07-31 17:37:31
weigh_cr262;2023-07-31 17:58:59
weigh_cr281;2023-07-31 18:52:18
weigh_cr269;2023-07-31 19:53:17
weigh_cr264;2023-08-01 08:29:36
weigh_cr250;2023-08-01 09:16:16
weigh_cr246;2023-08-01 14:44:11
weigh_cr268;2023-08-01 14:48:56
weigh_cr263;2023-08-01 15:27:07
weigh_cr258;2023-08-01 15:56:47
weigh_cr251;2023-08-01 16:04:36
weigh_cr292;2023-08-01 16:25:36
weigh_cr294;2023-08-02 14:45:07
weigh_cr260;2023-08-02 16:34:31
weigh_cr295;2023-08-03 08:24:43
weigh_cr280;2023-08-03 10:13:02
weigh_cr245;2023-08-03 10:45:12
weigh_cr288;2023-08-03 11:27:59
weigh_cr282;2023-08-03 11:31:19
weigh_cr265;2023-08-03 13:59:59
weigh_cr301;2023-08-03 14:20:38
weigh_cr299;2023-08-03 16:32:32
weigh_cr290;2023-08-03 17:57:05
weigh_cr296;2023-08-03 18:56:50
weigh_cr247;2023-08-04 08:50:04
weigh_cr304;2023-08-04 09:47:30
weigh_cr279;2023-08-04 11:37:14
weigh_cr306;2023-08-04 14:54:15
weigh_cr300;2023-08-04 15:54:04
weigh_cr289;2023-08-04 16:12:39
weigh_cr286;2023-08-04 17:35:09
weigh_cr266;2023-08-04 17:40:43
weigh_cr293;2023-08-07 07:56:27
weigh_cr298;2023-08-07 13:56:01
weigh_cr284;2023-08-07 14:53:09
weigh_cr291;2023-08-08 11:24:16
weigh_cr278;2023-08-08 15:01:19
weigh_cr276;2023-08-08 17:58:50
weigh_cr287;2023-08-08 18:43:57
weigh_cr308;2023-08-08 19:20:46
weigh_cr283;2023-08-09 07:42:12
weigh_cr261;2023-08-09 09:14:48
weigh_cr313;2023-08-09 09:42:22
weigh_cr316;2023-08-09 15:19:56
weigh_cr309;2023-08-10 07:55:25
weigh_cr297;2023-08-10 09:04:52
weigh_cr322;2023-08-10 10:53:17
weigh_cr310;2023-08-10 10:55:29
weigh_cr303;2023-08-10 13:19:00
weigh_cr302;2023-08-10 15:04:55
weigh_cr319;2023-08-11 07:40:15
weigh_cr318;2023-08-11 09:11:01
weigh_cr307;2023-08-11 10:26:50
weigh_cr274;2023-08-11 15:15:57
weigh_cr320;2023-08-11 16:04:13
weigh_cr315;2023-08-14 08:42:05
weigh_cr252;2023-08-14 09:45:03
weigh_cr321;2023-08-14 09:55:22
weigh_cr323;2023-08-14 13:33:50
weigh_cr317;2023-08-14 14:50:08
weigh_cr311;2023-08-14 15:49:42
weigh_cr285;2023-08-14 16:37:51
weigh_cr329;2023-08-14 16:49:37
weigh_cr338;2023-08-14 18:06:44
weigh_cr330;2023-08-15 08:25:58
weigh_cr344;2023-08-15 13:56:33
weigh_cr346;2023-08-15 14:14:42
weigh_cr347;2023-08-15 14:56:37
weigh_cr314;2023-08-15 15:23:19
weigh_cr336;2023-08-15 15:34:17
weigh_cr334;2023-08-15 15:49:24
weigh_cr337;2023-08-16 11:13:35
weigh_cr350;2023-08-16 13:38:04
weigh_cr352;2023-08-16 15:15:28
weigh_cr267;2023-08-17 10:20:28
weigh_cr335;2023-08-17 10:30:03
weigh_cr312;2023-08-17 10:45:11
weigh_cr348;2023-08-17 11:27:03
weigh_cr324;2023-08-17 13:56:02
weigh_cr339;2023-08-17 14:30:50
weigh_cr325;2023-08-17 15:32:12
weigh_cr361;2023-08-17 15:45:53
weigh_cr305;2023-08-18 08:12:10
weigh_cr356;2023-08-18 10:55:42
weigh_cr345;2023-08-18 12:04:30
weigh_cr365;2023-08-18 14:46:22
weigh_cr359;2023-08-18 14:48:20
weigh_cr358;2023-08-18 15:51:08
weigh_cr363;2023-08-21 11:40:26
weigh_cr326;2023-08-21 11:45:12
weigh_cr341;2023-08-21 11:49:06
weigh_cr349;2023-08-21 11:53:35
weigh_cr328;2023-08-21 11:58:24
weigh_cr371;2023-08-22 09:26:49
weigh_cr370;2023-08-22 11:00:55
weigh_cr355;2023-08-22 11:07:29
weigh_cr259;2023-08-22 11:34:48
weigh_cr331;2023-08-22 11:35:56
weigh_cr343;2023-08-22 15:04:53
weigh_cr372;2023-08-22 17:09:42
weigh_cr332;2023-08-22 17:57:48
weigh_cr360;2023-08-23 07:48:35
weigh_cr327;2023-08-23 08:05:09
weigh_cr367;2023-08-23 09:29:04
weigh_cr353;2023-08-23 10:50:44
weigh_cr354;2023-08-23 16:39:45
weigh_cr357;2023-08-23 16:41:12
weigh_cr369;2023-08-23 16:50:28
weigh_cr333;2023-08-23 17:11:47
weigh_cr377;2023-08-24 08:19:48
weigh_cr378;2023-08-24 08:57:07
weigh_cr351;2023-08-24 14:45:19
weigh_cr366;2023-08-24 16:16:59
weigh_cr385;2023-08-25 07:28:01
weigh_cr368;2023-08-25 08:44:12
weigh_cr364;2023-08-25 09:16:39
weigh_cr375;2023-08-25 10:05:42
weigh_cr387;2023-08-25 11:54:04
weigh_cr386;2023-08-25 13:34:00
weigh_cr401;2023-08-28 09:20:44
weigh_cr342;2023-08-28 09:49:39
weigh_cr373;2023-08-28 10:26:31
weigh_cr376;2023-08-28 10:54:03
weigh_cr394;2023-08-28 11:29:54
weigh_cr397;2023-08-28 11:30:25
weigh_cr384;2023-08-28 11:43:16
weigh_cr399;2023-08-29 14:15:30
weigh_cr398;2023-08-29 14:29:01
weigh_cr392;2023-08-29 14:45:53
weigh_cr395;2023-08-29 15:04:56
weigh_cr340;2023-08-29 15:47:25
weigh_cr379;2023-08-29 16:11:02
weigh_cr406;2023-08-30 11:42:31
weigh_cr382;2023-08-30 15:21:05
weigh_cr380;2023-08-30 15:41:06
weigh_cr362;2023-08-30 16:39:31
weigh_cr374;2023-08-30 16:58:43
weigh_cr388;2023-08-30 17:34:36
weigh_cr383;2023-08-31 10:01:02
weigh_cr391;2023-08-31 11:58:52
weigh_cr393;2023-08-31 14:04:27
weigh_cr396;2023-08-31 14:24:21
weigh_cr421;2023-08-31 14:43:39
weigh_cr381;2023-08-31 15:34:34
weigh_cr400;2023-08-31 15:34:48
weigh_cr409;2023-08-31 16:55:19
weigh_cr414;2023-08-31 18:29:09
weigh_cr403;2023-09-01 10:30:38
weigh_cr426;2023-09-01 13:41:39
weigh_cr420;2023-09-01 13:53:22
weigh_cr425;2023-09-01 14:04:27
weigh_cr416;2023-09-01 14:48:28
weigh_cr412;2023-09-01 14:52:46
weigh_cr431;2023-09-01 15:02:44
weigh_cr430;2023-09-01 16:13:22
weigh_cr441;2023-09-04 10:16:22
weigh_cr402;2023-09-04 10:18:41
weigh_cr432;2023-09-04 10:44:46
weigh_cr407;2023-09-04 10:47:41
weigh_cr437;2023-09-04 11:52:37
weigh_cr450;2023-09-04 13:54:13
weigh_cr444;2023-09-04 14:42:41
weigh_cr447;2023-09-04 15:11:04
weigh_cr434;2023-09-04 17:21:54
weigh_cr404;2023-09-04 17:26:26
weigh_cr440;2023-09-04 18:50:03
weigh_cr448;2023-09-04 19:03:24
weigh_cr427;2023-09-05 08:56:02
weigh_cr410;2023-09-05 08:59:46
weigh_cr429;2023-09-05 10:33:13
weigh_cr428;2023-09-05 10:40:39
weigh_cr415;2023-09-05 10:57:44
weigh_cr446;2023-09-05 10:59:26
weigh_cr433;2023-09-05 13:56:33
weigh_cr389;2023-09-05 14:30:45
weigh_cr459;2023-09-05 15:59:49
weigh_cr460;2023-09-05 16:28:55
weigh_cr390;2023-09-06 07:59:07
weigh_cr438;2023-09-06 09:45:48
weigh_cr417;2023-09-06 09:51:03
weigh_cr458;2023-09-06 10:40:20
weigh_cr456;2023-09-06 13:17:19
weigh_cr465;2023-09-06 13:31:20
weigh_cr408;2023-09-06 13:44:28
weigh_cr453;2023-09-06 15:36:44
weigh_cr457;2023-09-06 15:37:11
weigh_cr462;2023-09-06 15:40:33
weigh_cr468;2023-09-06 15:44:37
weigh_cr454;2023-09-06 15:45:14
weigh_cr467;2023-09-06 16:43:07
weigh_cr464;2023-09-07 08:59:53
weigh_cr411;2023-09-07 10:01:25
weigh_cr442;2023-09-07 10:02:03
weigh_cr461;2023-09-07 15:06:35
weigh_cr436;2023-09-07 19:19:53
weigh_cr449;2023-09-08 08:32:58
weigh_cr443;2023-09-08 08:57:02
weigh_cr455;2023-09-08 09:08:21
weigh_cr419;2023-09-08 09:24:58
weigh_cr451;2023-09-08 09:31:06
weigh_cr469;2023-09-08 10:49:07
weigh_cr463;2023-09-08 10:52:12
weigh_cr418;2023-09-08 10:54:17
weigh_cr439;2023-09-08 11:22:22
weigh_cr477;2023-09-08 14:31:10
weigh_cr475;2023-09-08 15:34:07
weigh_cr478;2023-09-08 16:53:19
weigh_cr413;2023-09-11 07:38:55
weigh_cr480;2023-09-11 10:04:56
weigh_cr473;2023-09-11 13:18:57
weigh_cr452;2023-09-11 14:22:18
weigh_cr445;2023-09-11 15:09:49
weigh_cr487;2023-09-11 15:31:20
weigh_cr424;2023-09-11 15:45:10
weigh_cr483;2023-09-11 16:20:15
weigh_cr479;2023-09-11 16:42:55
weigh_cr481;2023-09-12 07:55:48
weigh_cr482;2023-09-12 10:00:17
weigh_cr405;2023-09-12 10:10:26
weigh_cr488;2023-09-12 10:45:30
weigh_cr472;2023-09-12 10:49:08
weigh_cr423;2023-09-12 11:59:33
weigh_cr470;2023-09-12 12:02:59
weigh_cr494;2023-09-12 13:47:20
weigh_cr496;2023-09-12 13:50:26
weigh_cr492;2023-09-12 15:29:24
weigh_cr490;2023-09-12 16:10:28
weigh_cr493;2023-09-12 19:07:14
weigh_cr495;2023-09-13 07:37:24
weigh_cr435;2023-09-13 13:21:05
weigh_cr497;2023-09-14 09:10:57
weigh_cr491;2023-09-14 10:24:08
weigh_cr484;2023-09-14 10:27:36
weigh_cr499;2023-09-14 11:40:38
weigh_cr506;2023-09-14 15:15:28
weigh_cr508;2023-09-14 16:21:55
