ocel_event_id;ocel_object_id;ocel_qualifier
reg_co1;co1;registered CO
reg_co2;co2;registered CO
reg_co3;co3;registered CO
reg_co4;co4;registered CO
create_td1;co2;TD created for CO
create_td1;td1;created TD
book_vehs_td1;td1;VHs booked for TD
book_vehs_td1;vh7;booked VHs
reg_co5;co5;registered CO
order_crs_td1;td1;ordered for TD
order_crs_td1;cr1;CRs ordered
order_crs_td1;cr2;CRs ordered
order_crs_td1;cr3;CRs ordered
order_crs_td1;cr4;CRs ordered
reg_co6;co6;registered CO
reg_co7;co7;registered CO
reg_co8;co8;registered CO
create_td2;co3;TD created for CO
create_td2;td2;created TD
book_vehs_td2;td2;VHs booked for TD
book_vehs_td2;vh4;booked VHs
order_crs_td2;td2;ordered for TD
order_crs_td2;cr5;CRs ordered
order_crs_td2;cr6;CRs ordered
reg_co9;co9;registered CO
reg_co10;co10;registered CO
create_td3;co8;TD created for CO
create_td3;td3;created TD
create_td4;co1;TD created for CO
create_td4;td4;created TD
book_vehs_td3;td3;VHs booked for TD
book_vehs_td3;vh3;booked VHs
reg_co11;co11;registered CO
create_td5;co5;TD created for CO
create_td5;td5;created TD
book_vehs_td5;td5;VHs booked for TD
book_vehs_td5;vh6;booked VHs
book_vehs_td4;td4;VHs booked for TD
book_vehs_td4;vh2;booked VHs
order_crs_td5;td5;ordered for TD
order_crs_td5;cr15;CRs ordered
order_crs_td5;cr16;CRs ordered
order_crs_td5;cr17;CRs ordered
order_crs_td5;cr18;CRs ordered
order_crs_td5;cr19;CRs ordered
collect_hu5;hu5;HU collected
pick_cr5;cr5;CR picked
collect_hu6;hu6;HU collected
collect_hu4;hu4;HU collected
create_td6;co4;TD created for CO
create_td6;td6;created TD
collect_hu1;hu1;HU collected
order_crs_td3;td3;ordered for TD
order_crs_td3;cr7;CRs ordered
order_crs_td3;cr8;CRs ordered
order_crs_td3;cr9;CRs ordered
order_crs_td3;cr10;CRs ordered
pick_cr7;cr7;CR picked
pick_cr8;cr8;CR picked
pick_cr9;cr9;CR picked
load_truck_hu5;hu5;HU loaded
load_truck_hu5;cr5;CR laded
load_truck_hu5;tr5;TR laded
collect_hu15;hu15;HU collected
load_truck_hu6;hu6;HU loaded
load_truck_hu6;cr5;CR laded
load_truck_hu6;tr5;TR laded
load_truck_hu1;hu1;HU loaded
load_truck_hu1;cr5;CR laded
load_truck_hu1;tr5;TR laded
load_truck_hu4;hu4;HU loaded
load_truck_hu4;cr5;CR laded
load_truck_hu4;tr5;TR laded
collect_hu9;hu9;HU collected
collect_hu2;hu2;HU collected
collect_hu24;hu24;HU collected
load_truck_hu2;hu2;HU loaded
load_truck_hu2;cr5;CR laded
load_truck_hu2;tr5;TR laded
collect_hu20;hu20;HU collected
load_truck_hu9;hu9;HU loaded
load_truck_hu9;cr7;CR laded
load_truck_hu9;tr3;TR laded
load_truck_hu24;hu24;HU loaded
load_truck_hu24;cr9;CR laded
load_truck_hu24;tr2;TR laded
collect_hu23;hu23;HU collected
load_truck_hu20;hu20;HU loaded
load_truck_hu20;cr9;CR laded
load_truck_hu20;tr2;TR laded
collect_hu19;hu19;HU collected
load_truck_hu23;hu23;HU loaded
load_truck_hu23;cr9;CR laded
load_truck_hu23;tr2;TR laded
collect_hu11;hu11;HU collected
load_truck_hu19;hu19;HU loaded
load_truck_hu19;cr9;CR laded
load_truck_hu19;tr2;TR laded
load_truck_hu11;hu11;HU loaded
load_truck_hu11;cr7;CR laded
load_truck_hu11;tr3;TR laded
collect_hu17;hu17;HU collected
collect_hu3;hu3;HU collected
reg_co12;co12;registered CO
pick_cr10;cr10;CR picked
load_truck_hu3;hu3;HU loaded
load_truck_hu3;cr5;CR laded
load_truck_hu3;tr5;TR laded
collect_hu8;hu8;HU collected
book_vehs_td6;td6;VHs booked for TD
book_vehs_td6;vh7;booked VHs
load_truck_hu15;hu15;HU loaded
load_truck_hu15;cr8;CR laded
load_truck_hu15;tr1;TR laded
load_truck_hu17;hu17;HU loaded
load_truck_hu17;cr8;CR laded
load_truck_hu17;tr1;TR laded
collect_hu13;hu13;HU collected
load_truck_hu8;hu8;HU loaded
load_truck_hu8;cr7;CR laded
load_truck_hu8;tr3;TR laded
load_truck_hu13;hu13;HU loaded
load_truck_hu13;cr8;CR laded
load_truck_hu13;tr1;TR laded
collect_hu14;hu14;HU collected
drive_term_cr5;cr5;CR moved
drive_term_cr5;tr5;TR moved
weigh_cr5;cr5;CR weighted
weigh_cr5;fl1;FL weighing
collect_hu10;hu10;HU collected
stock_cr5;cr5;CR stored
stock_cr5;fl1;FL moved
load_truck_hu14;hu14;HU loaded
load_truck_hu14;cr8;CR laded
load_truck_hu14;tr1;TR laded
collect_hu18;hu18;HU collected
load_truck_hu10;hu10;HU loaded
load_truck_hu10;cr7;CR laded
load_truck_hu10;tr3;TR laded
collect_hu26;hu26;HU collected
collect_hu25;hu25;HU collected
load_truck_hu26;hu26;HU loaded
load_truck_hu26;cr10;CR laded
load_truck_hu26;tr4;TR laded
load_truck_hu18;hu18;HU loaded
load_truck_hu18;cr8;CR laded
load_truck_hu18;tr1;TR laded
collect_hu22;hu22;HU collected
load_truck_hu25;hu25;HU loaded
load_truck_hu25;cr10;CR laded
load_truck_hu25;tr4;TR laded
order_crs_td4;td4;ordered for TD
order_crs_td4;cr11;CRs ordered
order_crs_td4;cr12;CRs ordered
order_crs_td4;cr13;CRs ordered
order_crs_td4;cr14;CRs ordered
pick_cr14;cr14;CR picked
pick_cr13;cr13;CR picked
load_truck_hu22;hu22;HU loaded
load_truck_hu22;cr9;CR laded
load_truck_hu22;tr2;TR laded
collect_hu12;hu12;HU collected
collect_hu30;hu30;HU collected
load_truck_hu12;hu12;HU loaded
load_truck_hu12;cr7;CR laded
load_truck_hu12;tr3;TR laded
collect_hu32;hu32;HU collected
collect_hu33;hu33;HU collected
collect_hu29;hu29;HU collected
collect_hu16;hu16;HU collected
load_truck_hu32;hu32;HU loaded
load_truck_hu32;cr13;CR laded
load_truck_hu32;tr6;TR laded
load_truck_hu33;hu33;HU loaded
load_truck_hu33;cr14;CR laded
load_truck_hu33;tr5;TR laded
load_truck_hu30;hu30;HU loaded
load_truck_hu30;cr13;CR laded
load_truck_hu30;tr6;TR laded
load_truck_hu29;hu29;HU loaded
load_truck_hu29;cr13;CR laded
load_truck_hu29;tr6;TR laded
collect_hu7;hu7;HU collected
load_truck_hu16;hu16;HU loaded
load_truck_hu16;cr8;CR laded
load_truck_hu16;tr1;TR laded
load_truck_hu7;hu7;HU loaded
load_truck_hu7;cr7;CR laded
load_truck_hu7;tr3;TR laded
collect_hu28;hu28;HU collected
load_truck_hu28;hu28;HU loaded
load_truck_hu28;cr13;CR laded
load_truck_hu28;tr6;TR laded
collect_hu27;hu27;HU collected
collect_hu31;hu31;HU collected
collect_hu21;hu21;HU collected
load_truck_hu27;hu27;HU loaded
load_truck_hu27;cr13;CR laded
load_truck_hu27;tr6;TR laded
load_truck_hu31;hu31;HU loaded
load_truck_hu31;cr13;CR laded
load_truck_hu31;tr6;TR laded
load_truck_hu21;hu21;HU loaded
load_truck_hu21;cr9;CR laded
load_truck_hu21;tr2;TR laded
drive_term_cr10;cr10;CR moved
drive_term_cr10;tr4;TR moved
pick_cr12;cr12;CR picked
collect_hu35;hu35;HU collected
weigh_cr10;cr10;CR weighted
weigh_cr10;fl3;FL weighing
collect_hu36;hu36;HU collected
drive_term_cr13;cr13;CR moved
drive_term_cr13;tr6;TR moved
pick_cr11;cr11;CR picked
drive_term_cr14;cr14;CR moved
drive_term_cr14;tr5;TR moved
weigh_cr13;cr13;CR weighted
weigh_cr13;fl1;FL weighing
stock_cr13;cr13;CR stored
stock_cr13;fl1;FL moved
weigh_cr14;cr14;CR weighted
weigh_cr14;fl1;FL weighing
drive_term_cr7;cr7;CR moved
drive_term_cr7;tr3;TR moved
drive_term_cr8;cr8;CR moved
drive_term_cr8;tr1;TR moved
weigh_cr7;cr7;CR weighted
weigh_cr7;fl2;FL weighing
load_truck_hu35;hu35;HU loaded
load_truck_hu35;cr12;CR laded
load_truck_hu35;tr4;TR laded
collect_hu43;hu43;HU collected
stock_cr14;cr14;CR stored
stock_cr14;fl1;FL moved
weigh_cr8;cr8;CR weighted
weigh_cr8;fl1;FL weighing
stock_cr7;cr7;CR stored
stock_cr7;fl2;FL moved
stock_cr8;cr8;CR stored
stock_cr8;fl1;FL moved
load_truck_hu36;hu36;HU loaded
load_truck_hu36;cr12;CR laded
load_truck_hu36;tr4;TR laded
drive_term_cr9;cr9;CR moved
drive_term_cr9;tr2;TR moved
reg_co13;co13;registered CO
collect_hu39;hu39;HU collected
collect_hu45;hu45;HU collected
load_truck_hu39;hu39;HU loaded
load_truck_hu39;cr12;CR laded
load_truck_hu39;tr4;TR laded
weigh_cr9;cr9;CR weighted
weigh_cr9;fl1;FL weighing
stock_cr10;cr10;CR stored
stock_cr10;fl3;FL moved
create_td7;co6;TD created for CO
create_td7;td7;created TD
load_truck_hu43;hu43;HU loaded
load_truck_hu43;cr11;CR laded
load_truck_hu43;tr6;TR laded
stock_cr9;cr9;CR stored
stock_cr9;fl1;FL moved
collect_hu34;hu34;HU collected
collect_hu42;hu42;HU collected
load_truck_hu34;hu34;HU loaded
load_truck_hu34;cr12;CR laded
load_truck_hu34;tr4;TR laded
collect_hu40;hu40;HU collected
book_vehs_td7;td7;VHs booked for TD
book_vehs_td7;vh8;booked VHs
load_truck_hu42;hu42;HU loaded
load_truck_hu42;cr11;CR laded
load_truck_hu42;tr6;TR laded
collect_hu41;hu41;HU collected
load_truck_hu40;hu40;HU loaded
load_truck_hu40;cr11;CR laded
load_truck_hu40;tr6;TR laded
collect_hu38;hu38;HU collected
load_truck_hu45;hu45;HU loaded
load_truck_hu45;cr11;CR laded
load_truck_hu45;tr6;TR laded
load_truck_hu38;hu38;HU loaded
load_truck_hu38;cr12;CR laded
load_truck_hu38;tr4;TR laded
collect_hu44;hu44;HU collected
load_truck_hu41;hu41;HU loaded
load_truck_hu41;cr11;CR laded
load_truck_hu41;tr6;TR laded
collect_hu37;hu37;HU collected
load_truck_hu44;hu44;HU loaded
load_truck_hu44;cr11;CR laded
load_truck_hu44;tr6;TR laded
load_truck_hu37;hu37;HU loaded
load_truck_hu37;cr12;CR laded
load_truck_hu37;tr4;TR laded
order_crs_td6;td6;ordered for TD
order_crs_td6;cr20;CRs ordered
order_crs_td6;cr21;CRs ordered
drive_term_cr11;cr11;CR moved
drive_term_cr11;tr6;TR moved
weigh_cr11;cr11;CR weighted
weigh_cr11;fl1;FL weighing
stock_cr11;cr11;CR stored
stock_cr11;fl1;FL moved
create_td8;co11;TD created for CO
create_td8;td8;created TD
drive_term_cr12;cr12;CR moved
drive_term_cr12;tr4;TR moved
weigh_cr12;cr12;CR weighted
weigh_cr12;fl3;FL weighing
stock_cr12;cr12;CR stored
stock_cr12;fl3;FL moved
book_vehs_td8;td8;VHs booked for TD
book_vehs_td8;vh2;booked VHs
book_vehs_td8;vh7;booked VHs
create_td9;co7;TD created for CO
create_td9;td9;created TD
reg_co14;co14;registered CO
order_crs_td7;td7;ordered for TD
order_crs_td7;cr22;CRs ordered
order_crs_td7;cr23;CRs ordered
order_crs_td7;cr24;CRs ordered
order_crs_td7;cr25;CRs ordered
book_vehs_td9;td9;VHs booked for TD
book_vehs_td9;vh9;booked VHs
create_td10;co12;TD created for CO
create_td10;td10;created TD
create_td11;co14;TD created for CO
create_td11;td11;created TD
order_crs_td8;td8;ordered for TD
order_crs_td8;cr29;CRs ordered
order_crs_td8;cr26;CRs ordered
order_crs_td8;cr27;CRs ordered
order_crs_td8;cr28;CRs ordered
order_crs_td8;cr30;CRs ordered
pick_cr29;cr29;CR picked
collect_hu49;hu49;HU collected
collect_hu50;hu50;HU collected
collect_hu51;hu51;HU collected
collect_hu46;hu46;HU collected
collect_hu47;hu47;HU collected
collect_hu48;hu48;HU collected
load_truck_hu48;hu48;HU loaded
load_truck_hu48;cr29;CR laded
load_truck_hu48;tr5;TR laded
book_vehs_td11;td11;VHs booked for TD
book_vehs_td11;vh2;booked VHs
book_vehs_td11;vh6;booked VHs
load_truck_hu50;hu50;HU loaded
load_truck_hu50;cr29;CR laded
load_truck_hu50;tr5;TR laded
load_truck_hu51;hu51;HU loaded
load_truck_hu51;cr29;CR laded
load_truck_hu51;tr5;TR laded
load_truck_hu47;hu47;HU loaded
load_truck_hu47;cr29;CR laded
load_truck_hu47;tr5;TR laded
load_truck_hu46;hu46;HU loaded
load_truck_hu46;cr29;CR laded
load_truck_hu46;tr5;TR laded
order_crs_td9;td9;ordered for TD
order_crs_td9;cr31;CRs ordered
order_crs_td9;cr32;CRs ordered
order_crs_td9;cr33;CRs ordered
order_crs_td9;cr34;CRs ordered
reg_co15;co15;registered CO
load_truck_hu49;hu49;HU loaded
load_truck_hu49;cr29;CR laded
load_truck_hu49;tr5;TR laded
book_vehs_td10;td10;VHs booked for TD
book_vehs_td10;vh5;booked VHs
to_bay_cr13;cr13;CR brought to bay
to_bay_cr13;fl2;FL moved
to_bay_cr12;cr12;CR brought to bay
to_bay_cr12;fl1;FL moved
to_bay_cr11;cr11;CR brought to bay
to_bay_cr11;fl3;FL moved
load_veh_cr13;cr13;CR loaded
load_veh_cr13;fl2;FL moved
load_veh_cr13;vh2;VH laded
load_veh_cr11;cr11;CR loaded
load_veh_cr11;fl3;FL moved
load_veh_cr11;vh2;VH laded
to_bay_cr14;cr14;CR brought to bay
to_bay_cr14;fl2;FL moved
load_veh_cr12;cr12;CR loaded
load_veh_cr12;fl1;FL moved
load_veh_cr12;vh2;VH laded
drive_term_cr29;cr29;CR moved
drive_term_cr29;tr5;TR moved
load_veh_cr14;cr14;CR loaded
load_veh_cr14;fl2;FL moved
load_veh_cr14;vh2;VH laded
weigh_cr29;cr29;CR weighted
weigh_cr29;fl3;FL weighing
to_bay_cr29;cr29;CR brought to bay
to_bay_cr29;fl3;FL moved
order_crs_td10;td10;ordered for TD
order_crs_td10;cr35;CRs ordered
order_crs_td10;cr36;CRs ordered
order_crs_td10;cr37;CRs ordered
order_crs_td10;cr38;CRs ordered
order_crs_td10;cr39;CRs ordered
load_veh_cr29;cr29;CR loaded
load_veh_cr29;fl3;FL moved
load_veh_cr29;vh2;VH laded
pick_cr37;cr37;CR picked
collect_hu56;hu56;HU collected
collect_hu57;hu57;HU collected
collect_hu53;hu53;HU collected
collect_hu54;hu54;HU collected
collect_hu52;hu52;HU collected
collect_hu55;hu55;HU collected
load_truck_hu52;hu52;HU loaded
load_truck_hu52;cr37;CR laded
load_truck_hu52;tr4;TR laded
load_truck_hu53;hu53;HU loaded
load_truck_hu53;cr37;CR laded
load_truck_hu53;tr4;TR laded
load_truck_hu55;hu55;HU loaded
load_truck_hu55;cr37;CR laded
load_truck_hu55;tr4;TR laded
load_truck_hu56;hu56;HU loaded
load_truck_hu56;cr37;CR laded
load_truck_hu56;tr4;TR laded
load_truck_hu57;hu57;HU loaded
load_truck_hu57;cr37;CR laded
load_truck_hu57;tr4;TR laded
load_truck_hu54;hu54;HU loaded
load_truck_hu54;cr37;CR laded
load_truck_hu54;tr4;TR laded
drive_term_cr37;cr37;CR moved
drive_term_cr37;tr4;TR moved
weigh_cr37;cr37;CR weighted
weigh_cr37;fl3;FL weighing
stock_cr37;cr37;CR stored
stock_cr37;fl3;FL moved
order_crs_td11;td11;ordered for TD
order_crs_td11;cr42;CRs ordered
order_crs_td11;cr40;CRs ordered
order_crs_td11;cr41;CRs ordered
collect_hu58;hu58;HU collected
pick_cr42;cr42;CR picked
reg_co16;co16;registered CO
load_truck_hu58;hu58;HU loaded
load_truck_hu58;cr42;CR laded
load_truck_hu58;tr4;TR laded
drive_term_cr42;cr42;CR moved
drive_term_cr42;tr4;TR moved
weigh_cr42;cr42;CR weighted
weigh_cr42;fl2;FL weighing
create_td12;co9;TD created for CO
create_td12;td12;created TD
book_vehs_td12;td12;VHs booked for TD
book_vehs_td12;vh8;booked VHs
to_bay_cr42;cr42;CR brought to bay
to_bay_cr42;fl2;FL moved
load_veh_cr42;cr42;CR loaded
load_veh_cr42;fl2;FL moved
load_veh_cr42;vh2;VH laded
reg_co17;co17;registered CO
pick_cr1;cr1;CR picked
collect_hu63;hu63;HU collected
pick_cr36;cr36;CR picked
pick_cr6;cr6;CR picked
collect_hu64;hu64;HU collected
collect_hu71;hu71;HU collected
collect_hu70;hu70;HU collected
collect_hu61;hu61;HU collected
collect_hu68;hu68;HU collected
collect_hu65;hu65;HU collected
collect_hu66;hu66;HU collected
collect_hu62;hu62;HU collected
collect_hu67;hu67;HU collected
collect_hu59;hu59;HU collected
load_truck_hu63;hu63;HU loaded
load_truck_hu63;cr1;CR laded
load_truck_hu63;tr4;TR laded
load_truck_hu71;hu71;HU loaded
load_truck_hu71;cr6;CR laded
load_truck_hu71;tr5;TR laded
load_truck_hu62;hu62;HU loaded
load_truck_hu62;cr1;CR laded
load_truck_hu62;tr4;TR laded
load_truck_hu61;hu61;HU loaded
load_truck_hu61;cr1;CR laded
load_truck_hu61;tr4;TR laded
load_truck_hu64;hu64;HU loaded
load_truck_hu64;cr1;CR laded
load_truck_hu64;tr4;TR laded
load_truck_hu70;hu70;HU loaded
load_truck_hu70;cr36;CR laded
load_truck_hu70;tr6;TR laded
load_truck_hu67;hu67;HU loaded
load_truck_hu67;cr36;CR laded
load_truck_hu67;tr6;TR laded
load_truck_hu65;hu65;HU loaded
load_truck_hu65;cr36;CR laded
load_truck_hu65;tr6;TR laded
load_truck_hu66;hu66;HU loaded
load_truck_hu66;cr36;CR laded
load_truck_hu66;tr6;TR laded
drive_term_cr6;cr6;CR moved
drive_term_cr6;tr5;TR moved
load_truck_hu68;hu68;HU loaded
load_truck_hu68;cr36;CR laded
load_truck_hu68;tr6;TR laded
weigh_cr6;cr6;CR weighted
weigh_cr6;fl3;FL weighing
stock_cr6;cr6;CR stored
stock_cr6;fl3;FL moved
collect_hu60;hu60;HU collected
load_truck_hu59;hu59;HU loaded
load_truck_hu59;cr1;CR laded
load_truck_hu59;tr4;TR laded
create_td13;co10;TD created for CO
create_td13;td13;created TD
collect_hu69;hu69;HU collected
load_truck_hu69;hu69;HU loaded
load_truck_hu69;cr36;CR laded
load_truck_hu69;tr6;TR laded
load_truck_hu60;hu60;HU loaded
load_truck_hu60;cr1;CR laded
load_truck_hu60;tr4;TR laded
drive_term_cr36;cr36;CR moved
drive_term_cr36;tr6;TR moved
drive_term_cr1;cr1;CR moved
drive_term_cr1;tr4;TR moved
weigh_cr1;cr1;CR weighted
weigh_cr1;fl3;FL weighing
stock_cr1;cr1;CR stored
stock_cr1;fl3;FL moved
weigh_cr36;cr36;CR weighted
weigh_cr36;fl1;FL weighing
stock_cr36;cr36;CR stored
stock_cr36;fl1;FL moved
depart_vh2;vh2;VH departed
depart_vh2;cr42;CR departed
depart_vh2;cr29;CR departed
depart_vh2;cr14;CR departed
depart_vh2;cr12;CR departed
depart_vh2;cr11;CR departed
depart_vh2;cr13;CR departed
depart_vh2;td4;TD with CR departure
depart_vh2;td8;TD with CR departure
depart_vh2;td11;TD with CR departure
book_vehs_td13;td13;VHs booked for TD
book_vehs_td13;vh3;booked VHs
book_vehs_td13;vh10;booked VHs
order_crs_td12;td12;ordered for TD
order_crs_td12;cr43;CRs ordered
order_crs_td12;cr44;CRs ordered
order_crs_td12;cr45;CRs ordered
pick_cr43;cr43;CR picked
collect_hu76;hu76;HU collected
collect_hu75;hu75;HU collected
collect_hu73;hu73;HU collected
collect_hu72;hu72;HU collected
collect_hu77;hu77;HU collected
collect_hu74;hu74;HU collected
load_truck_hu75;hu75;HU loaded
load_truck_hu75;cr43;CR laded
load_truck_hu75;tr2;TR laded
load_truck_hu72;hu72;HU loaded
load_truck_hu72;cr43;CR laded
load_truck_hu72;tr2;TR laded
reg_co18;co18;registered CO
load_truck_hu76;hu76;HU loaded
load_truck_hu76;cr43;CR laded
load_truck_hu76;tr2;TR laded
load_truck_hu73;hu73;HU loaded
load_truck_hu73;cr43;CR laded
load_truck_hu73;tr2;TR laded
load_truck_hu74;hu74;HU loaded
load_truck_hu74;cr43;CR laded
load_truck_hu74;tr2;TR laded
load_truck_hu77;hu77;HU loaded
load_truck_hu77;cr43;CR laded
load_truck_hu77;tr2;TR laded
drive_term_cr43;cr43;CR moved
drive_term_cr43;tr2;TR moved
weigh_cr43;cr43;CR weighted
weigh_cr43;fl3;FL weighing
stock_cr43;cr43;CR stored
stock_cr43;fl3;FL moved
pick_cr27;cr27;CR picked
collect_hu79;hu79;HU collected
pick_cr30;cr30;CR picked
pick_cr45;cr45;CR picked
pick_cr3;cr3;CR picked
pick_cr35;cr35;CR picked
pick_cr31;cr31;CR picked
collect_hu94;hu94;HU collected
collect_hu97;hu97;HU collected
to_bay_cr9;cr9;CR brought to bay
to_bay_cr9;fl2;FL moved
collect_hu83;hu83;HU collected
to_bay_cr10;cr10;CR brought to bay
to_bay_cr10;fl3;FL moved
