ocel_id;ocel_type
tr6;Truck
fl2;Forklift
fl3;Forklift
tr2;Truck
tr1;Truck
tr4;Truck
tr3;Truck
tr5;Truck
fl1;Forklift
co1;Customer Order
co2;Customer Order
co3;Customer Order
co4;Customer Order
td1;Transport Document
co5;Customer Order
co6;Customer Order
co7;Customer Order
co8;Customer Order
td2;Transport Document
co9;Customer Order
co10;Customer Order
td3;Transport Document
td4;Transport Document
co11;Customer Order
td5;Transport Document
hu5;Handling Unit
cr5;Container
hu6;Handling Unit
hu4;Handling Unit
td6;Transport Document
hu1;Handling Unit
cr7;Container
cr8;Container
cr9;Container
hu15;Handling Unit
hu9;Handling Unit
hu2;Handling Unit
hu24;Handling Unit
hu20;Handling Unit
hu23;Handling Unit
hu19;Handling Unit
hu11;Handling Unit
hu17;Handling Unit
hu3;Handling Unit
co12;Customer Order
cr10;Container
hu8;Handling Unit
hu13;Handling Unit
hu14;Handling Unit
hu10;Handling Unit
hu18;Handling Unit
hu26;Handling Unit
hu25;Handling Unit
hu22;Handling Unit
cr14;Container
cr13;Container
hu12;Handling Unit
hu30;Handling Unit
hu32;Handling Unit
hu33;Handling Unit
hu29;Handling Unit
hu16;Handling Unit
hu7;Handling Unit
hu28;Handling Unit
hu27;Handling Unit
hu31;Handling Unit
hu21;Handling Unit
cr12;Container
hu35;Handling Unit
hu36;Handling Unit
cr11;Container
hu43;Handling Unit
co13;Customer Order
hu39;Handling Unit
hu45;Handling Unit
td7;Transport Document
hu34;Handling Unit
hu42;Handling Unit
hu40;Handling Unit
hu41;Handling Unit
hu38;Handling Unit
hu44;Handling Unit
hu37;Handling Unit
td8;Transport Document
td9;Transport Document
co14;Customer Order
td10;Transport Document
td11;Transport Document
cr29;Container
hu49;Handling Unit
hu50;Handling Unit
hu51;Handling Unit
hu46;Handling Unit
hu47;Handling Unit
hu48;Handling Unit
co15;Customer Order
cr37;Container
hu56;Handling Unit
hu57;Handling Unit
hu53;Handling Unit
hu54;Handling Unit
hu52;Handling Unit
hu55;Handling Unit
hu58;Handling Unit
cr42;Container
co16;Customer Order
td12;Transport Document
co17;Customer Order
cr1;Container
hu63;Handling Unit
cr36;Container
cr6;Container
hu64;Handling Unit
hu71;Handling Unit
hu70;Handling Unit
hu61;Handling Unit
hu68;Handling Unit
hu65;Handling Unit
hu66;Handling Unit
hu62;Handling Unit
hu67;Handling Unit
hu59;Handling Unit
hu60;Handling Unit
td13;Transport Document
hu69;Handling Unit
vh2;Vehicle
cr43;Container
hu76;Handling Unit
hu75;Handling Unit
hu73;Handling Unit
hu72;Handling Unit
hu77;Handling Unit
hu74;Handling Unit
co18;Customer Order
cr27;Container
hu79;Handling Unit
cr30;Container
cr45;Container
cr3;Container
cr35;Container
cr31;Container
hu94;Handling Unit
hu97;Handling Unit
hu83;Handling Unit
hu92;Handling Unit
hu89;Handling Unit
hu102;Handling Unit
hu106;Handling Unit
hu93;Handling Unit
hu87;Handling Unit
hu91;Handling Unit
hu104;Handling Unit
hu84;Handling Unit
hu105;Handling Unit
hu98;Handling Unit
hu86;Handling Unit
hu100;Handling Unit
hu88;Handling Unit
hu99;Handling Unit
hu101;Handling Unit
hu107;Handling Unit
hu90;Handling Unit
hu78;Handling Unit
hu81;Handling Unit
hu82;Handling Unit
hu96;Handling Unit
hu85;Handling Unit
hu103;Handling Unit
hu80;Handling Unit
hu95;Handling Unit
hu111;Handling Unit
cr17;Container
td14;Transport Document
co19;Customer Order
cr4;Container
hu109;Handling Unit
cr18;Container
cr38;Container
cr2;Container
cr47;Container
hu124;Handling Unit
hu136;Handling Unit
hu130;Handling Unit
hu114;Handling Unit
hu132;Handling Unit
hu131;Handling Unit
hu143;Handling Unit
hu118;Handling Unit
hu117;Handling Unit
hu122;Handling Unit
hu113;Handling Unit
hu121;Handling Unit
hu127;Handling Unit
