ocel_id;ocel_time;ocel_changed_field;Amount of Goods
co1;2023-05-22 13:54:42;;950
co2;2023-05-22 20:33:30;;1200
co3;2023-05-23 14:14:57;;350
co4;2023-05-23 20:34:15;;500
co5;2023-05-24 14:16:04;;1450
co6;2023-05-24 20:37:36;;1050
co7;2023-05-25 14:21:06;;1050
co8;2023-05-25 20:52:42;;1000
co9;2023-05-26 17:01:20;;850
co10;2023-05-29 11:50:58;;1350
co11;2023-05-29 18:06:38;;1250
co12;2023-05-30 12:07:58;;1450
co13;2023-05-30 17:40:38;;1150
co14;2023-05-31 12:15:58;;650
co15;2023-05-31 17:56:38;;1200
co16;2023-06-01 12:47:58;;450
co17;2023-06-01 19:00:38;;500
co18;2023-06-02 14:49:13;;950
co19;2023-06-05 11:06:22;;1500
co20;2023-06-05 16:37:26;;350
co21;2023-06-06 11:09:34;;550
co22;2023-06-06 16:43:50;;1100
co23;2023-06-07 11:22:22;;600
co24;2023-06-07 17:09:26;;900
co25;2023-06-08 11:13:34;;650
co26;2023-06-08 16:51:50;;400
co27;2023-06-09 12:36:53;;1350
co28;2023-06-12 09:05:55;;1150
co29;2023-06-12 14:36:32;;1100
co30;2023-06-13 08:39:00;;700
co31;2023-06-13 14:53:12;;1450
co32;2023-06-14 09:29:00;;750
co33;2023-06-14 15:22:42;;1000
co34;2023-06-15 09:40:06;;600
co35;2023-06-15 15:44:54;;700
co36;2023-06-16 10:54:19;;300
co37;2023-06-16 19:32:29;;600
co38;2023-06-19 13:56:33;;800
co39;2023-06-19 20:39:03;;1300
co40;2023-06-20 14:23:16;;1100
co41;2023-06-20 20:59:12;;1450
co42;2023-06-21 14:53:30;;450
co43;2023-06-22 09:29:54;;400
co44;2023-06-22 15:24:30;;700
co45;2023-06-23 10:04:47;;1400
co46;2023-06-23 17:53:25;;1100
co47;2023-06-26 13:19:30;;1300
co48;2023-06-26 19:03:42;;400
co49;2023-06-27 13:00:15;;1050
co50;2023-06-27 18:25:12;;600
co51;2023-06-28 12:45:06;;1300
co52;2023-06-28 18:54:54;;1500
co53;2023-06-29 13:44:30;;600
co54;2023-06-29 20:02:54;;1250
co55;2023-06-30 15:35:58;;850
co56;2023-07-03 11:25:50;;950
co57;2023-07-03 17:16:22;;1150
co58;2023-07-04 11:27:26;;600
co59;2023-07-04 17:19:34;;350
