ocel_id;ocel_time;ocel_changed_field
hu5;2023-05-30 11:03:35;
hu6;2023-05-30 11:09:57;
hu4;2023-05-30 11:13:36;
hu1;2023-05-30 11:20:40;
hu15;2023-05-30 11:24:48;
hu9;2023-05-30 11:29:57;
hu2;2023-05-30 11:34:35;
hu24;2023-05-30 11:35:14;
hu20;2023-05-30 11:36:36;
hu23;2023-05-30 11:44:00;
hu19;2023-05-30 11:47:55;
hu11;2023-05-30 11:50:57;
hu17;2023-05-30 11:53:06;
hu3;2023-05-30 11:54:50;
hu8;2023-05-30 13:57:39;
hu13;2023-05-30 15:01:16;
hu14;2023-05-30 15:07:49;
hu10;2023-05-30 15:11:57;
hu18;2023-05-30 15:12:40;
hu26;2023-05-30 15:13:11;
hu25;2023-05-30 15:13:57;
hu22;2023-05-30 15:16:41;
hu12;2023-05-30 15:22:25;
hu30;2023-05-30 15:26:06;
hu32;2023-05-30 15:27:00;
hu33;2023-05-30 15:30:49;
hu29;2023-05-30 15:32:06;
hu16;2023-05-30 15:38:36;
hu7;2023-05-30 15:43:25;
hu28;2023-05-30 15:43:57;
hu27;2023-05-30 15:45:55;
hu31;2023-05-30 15:48:02;
hu21;2023-05-30 15:49:21;
hu35;2023-05-30 15:59:12;
hu36;2023-05-30 17:00:08;
hu43;2023-05-30 17:24:41;
hu39;2023-05-30 17:42:11;
hu45;2023-05-30 17:46:45;
hu34;2023-05-30 19:09:30;
hu42;2023-05-31 07:17:28;
hu40;2023-05-31 07:23:34;
hu41;2023-05-31 07:34:35;
hu38;2023-05-31 07:40:42;
hu44;2023-05-31 07:42:51;
hu37;2023-05-31 07:53:33;
hu49;2023-05-31 16:24:10;
hu50;2023-05-31 16:27:40;
hu51;2023-05-31 16:31:19;
hu46;2023-05-31 16:34:42;
hu47;2023-05-31 16:36:19;
hu48;2023-05-31 16:39:09;
hu56;2023-06-01 09:08:31;
hu57;2023-06-01 09:09:09;
hu53;2023-06-01 09:13:32;
hu54;2023-06-01 09:21:22;
hu52;2023-06-01 09:24:34;
hu55;2023-06-01 09:27:16;
hu58;2023-06-01 12:25:58;
hu63;2023-06-01 19:11:37;
hu64;2023-06-02 07:15:49;
