ocel_source_id;ocel_target_id;ocel_qualifier
co2;td1;TD for CO
td1;vh7;Regular VH for TD
cr1;td1;CR for TD
cr2;td1;CR for TD
cr3;td1;CR for TD
cr4;td1;CR for TD
co3;td2;TD for CO
td2;vh4;Regular VH for TD
cr5;td2;CR for TD
cr6;td2;CR for TD
co8;td3;TD for CO
co1;td4;TD for CO
td3;vh3;Regular VH for TD
co5;td5;TD for CO
td5;vh6;Regular VH for TD
td4;vh2;Regular VH for TD
cr15;td5;CR for TD
cr16;td5;CR for TD
cr17;td5;CR for TD
cr18;td5;CR for TD
cr19;td5;CR for TD
tr5;cr5;TR loads CR
co4;td6;TD for CO
cr7;td3;CR for TD
cr8;td3;CR for TD
cr9;td3;CR for TD
cr10;td3;CR for TD
tr3;cr7;TR loads CR
tr1;cr8;TR loads CR
tr2;cr9;TR loads CR
cr5;hu5;CR contains HU
cr5;hu6;CR contains HU
cr5;hu1;CR contains HU
cr5;hu4;CR contains HU
cr5;hu2;CR contains HU
cr7;hu9;CR contains HU
cr9;hu24;CR contains HU
cr9;hu20;CR contains HU
cr9;hu23;CR contains HU
cr9;hu19;CR contains HU
cr7;hu11;CR contains HU
tr4;cr10;TR loads CR
cr5;hu3;CR contains HU
td6;vh7;Regular VH for TD
cr8;hu15;CR contains HU
cr8;hu17;CR contains HU
cr7;hu8;CR contains HU
cr8;hu13;CR contains HU
cr8;hu14;CR contains HU
cr7;hu10;CR contains HU
cr10;hu26;CR contains HU
cr8;hu18;CR contains HU
cr10;hu25;CR contains HU
cr11;td4;CR for TD
cr12;td4;CR for TD
cr13;td4;CR for TD
cr14;td4;CR for TD
tr5;cr14;TR loads CR
tr6;cr13;TR loads CR
cr9;hu22;CR contains HU
cr7;hu12;CR contains HU
cr13;hu32;CR contains HU
cr14;hu33;CR contains HU
cr13;hu30;CR contains HU
cr13;hu29;CR contains HU
cr8;hu16;CR contains HU
cr7;hu7;CR contains HU
cr13;hu28;CR contains HU
cr13;hu27;CR contains HU
cr13;hu31;CR contains HU
cr9;hu21;CR contains HU
tr4;cr12;TR loads CR
tr6;cr11;TR loads CR
cr12;hu35;CR contains HU
cr12;hu36;CR contains HU
cr12;hu39;CR contains HU
co6;td7;TD for CO
cr11;hu43;CR contains HU
cr12;hu34;CR contains HU
td7;vh8;Regular VH for TD
cr11;hu42;CR contains HU
cr11;hu40;CR contains HU
cr11;hu45;CR contains HU
cr12;hu38;CR contains HU
cr11;hu41;CR contains HU
cr11;hu44;CR contains HU
cr12;hu37;CR contains HU
cr20;td6;CR for TD
cr21;td6;CR for TD
co11;td8;TD for CO
td8;vh2;High-Prio VH for TD
td8;vh7;Regular VH for TD
co7;td9;TD for CO
cr22;td7;CR for TD
cr23;td7;CR for TD
cr24;td7;CR for TD
cr25;td7;CR for TD
td9;vh9;Regular VH for TD
co12;td10;TD for CO
co14;td11;TD for CO
cr29;td8;CR for TD
cr26;td8;CR for TD
cr27;td8;CR for TD
cr28;td8;CR for TD
cr30;td8;CR for TD
tr5;cr29;TR loads CR
cr29;hu48;CR contains HU
td11;vh2;High-Prio VH for TD
td11;vh6;Regular VH for TD
cr29;hu50;CR contains HU
cr29;hu51;CR contains HU
cr29;hu47;CR contains HU
cr29;hu46;CR contains HU
cr31;td9;CR for TD
cr32;td9;CR for TD
cr33;td9;CR for TD
cr34;td9;CR for TD
cr29;hu49;CR contains HU
td10;vh5;Regular VH for TD
cr35;td10;CR for TD
cr36;td10;CR for TD
cr37;td10;CR for TD
cr38;td10;CR for TD
cr39;td10;CR for TD
tr4;cr37;TR loads CR
cr37;hu52;CR contains HU
cr37;hu53;CR contains HU
cr37;hu55;CR contains HU
cr37;hu56;CR contains HU
cr37;hu57;CR contains HU
cr37;hu54;CR contains HU
cr42;td11;CR for TD
cr40;td11;CR for TD
cr41;td11;CR for TD
tr4;cr42;TR loads CR
cr42;hu58;CR contains HU
co9;td12;TD for CO
td12;vh8;Regular VH for TD
tr4;cr1;TR loads CR
tr6;cr36;TR loads CR
tr5;cr6;TR loads CR
cr1;hu63;CR contains HU
cr6;hu71;CR contains HU
cr1;hu62;CR contains HU
cr1;hu61;CR contains HU
cr1;hu64;CR contains HU
cr36;hu70;CR contains HU
cr36;hu67;CR contains HU
cr36;hu65;CR contains HU
cr36;hu66;CR contains HU
cr36;hu68;CR contains HU
cr1;hu59;CR contains HU
co10;td13;TD for CO
cr36;hu69;CR contains HU
cr1;hu60;CR contains HU
td13;vh3;High-Prio VH for TD
td13;vh10;Regular VH for TD
cr43;td12;CR for TD
cr44;td12;CR for TD
cr45;td12;CR for TD
tr2;cr43;TR loads CR
cr43;hu75;CR contains HU
cr43;hu72;CR contains HU
cr43;hu76;CR contains HU
cr43;hu73;CR contains HU
cr43;hu74;CR contains HU
cr43;hu77;CR contains HU
tr6;cr27;TR loads CR
tr3;cr30;TR loads CR
tr5;cr45;TR loads CR
tr2;cr3;TR loads CR
tr1;cr35;TR loads CR
tr4;cr31;TR loads CR
cr35;hu97;CR contains HU
cr45;hu89;CR contains HU
cr27;hu79;CR contains HU
cr27;hu83;CR contains HU
cr3;hu92;CR contains HU
cr3;hu94;CR contains HU
cr47;td13;CR for TD
cr46;td13;CR for TD
cr48;td13;CR for TD
cr49;td13;CR for TD
cr50;td13;CR for TD
cr31;hu102;CR contains HU
cr31;hu106;CR contains HU
cr3;hu93;CR contains HU
cr45;hu87;CR contains HU
cr3;hu91;CR contains HU
cr31;hu104;CR contains HU
cr30;hu84;CR contains HU
cr35;hu98;CR contains HU
cr31;hu105;CR contains HU
cr45;hu86;CR contains HU
cr35;hu100;CR contains HU
cr45;hu88;CR contains HU
cr35;hu99;CR contains HU
cr35;hu101;CR contains HU
cr31;hu107;CR contains HU
cr3;hu90;CR contains HU
cr27;hu78;CR contains HU
cr27;hu81;CR contains HU
cr35;hu96;CR contains HU
cr27;hu82;CR contains HU
cr45;hu85;CR contains HU
cr31;hu103;CR contains HU
cr27;hu80;CR contains HU
cr3;hu95;CR contains HU
tr3;cr17;TR loads CR
co18;td14;TD for CO
td14;vh6;Regular VH for TD
tr5;cr4;TR loads CR
tr1;cr18;TR loads CR
cr17;hu111;CR contains HU
tr4;cr38;TR loads CR
tr6;cr2;TR loads CR
tr2;cr47;TR loads CR
cr17;hu109;CR contains HU
cr51;td14;CR for TD
cr52;td14;CR for TD
cr53;td14;CR for TD
cr54;td14;CR for TD
cr18;hu124;CR contains HU
cr18;hu122;CR contains HU
cr17;hu113;CR contains HU
cr18;hu121;CR contains HU
cr38;hu130;CR contains HU
