ocel_id;ocel_type
reg_co1;Register Customer Order
reg_co2;Register Customer Order
reg_co3;Register Customer Order
create_td1;Create Transport Document
book_vehs_td1;Book Vehicles
create_td2;Create Transport Document
order_crs_td1;Order Empty Containers
book_vehs_td2;Book Vehicles
reg_co4;Register Customer Order
order_crs_td2;Order Empty Containers
reg_co5;Register Customer Order
reg_co6;Register Customer Order
reg_co7;Register Customer Order
collect_hu1;Collect Goods
pick_cr8;Pick Up Empty Container
reg_co8;Register Customer Order
load_truck_hu1;Load Truck
drive_term_cr8;Drive to Terminal
weigh_cr8;Weigh
stock_cr8;Place in Stock
reg_co9;Register Customer Order
reg_co10;Register Customer Order
reg_co11;Register Customer Order
create_td3;Create Transport Document
reg_co12;Register Customer Order
book_vehs_td3;Book Vehicles
create_td4;Create Transport Document
order_crs_td3;Order Empty Containers
book_vehs_td4;Book Vehicles
reg_co13;Register Customer Order
pick_cr6;Pick Up Empty Container
collect_hu5;Collect Goods
pick_cr5;Pick Up Empty Container
pick_cr4;Pick Up Empty Container
pick_cr7;Pick Up Empty Container
pick_cr3;Pick Up Empty Container
order_crs_td4;Order Empty Containers
pick_cr13;Pick Up Empty Container
collect_hu19;Collect Goods
collect_hu30;Collect Goods
collect_hu9;Collect Goods
collect_hu24;Collect Goods
collect_hu15;Collect Goods
load_truck_hu19;Load Truck
load_truck_hu9;Load Truck
load_truck_hu24;Load Truck
collect_hu28;Collect Goods
collect_hu25;Collect Goods
collect_hu4;Collect Goods
load_truck_hu25;Load Truck
collect_hu32;Collect Goods
load_truck_hu28;Load Truck
load_truck_hu30;Load Truck
collect_hu17;Collect Goods
load_truck_hu32;Load Truck
load_truck_hu15;Load Truck
load_truck_hu5;Load Truck
load_truck_hu4;Load Truck
create_td5;Create Transport Document
book_vehs_td5;Book Vehicles
load_truck_hu17;Load Truck
collect_hu20;Collect Goods
collect_hu29;Collect Goods
load_truck_hu20;Load Truck
load_truck_hu29;Load Truck
collect_hu31;Collect Goods
load_truck_hu31;Load Truck
collect_hu21;Collect Goods
load_truck_hu21;Load Truck
collect_hu2;Collect Goods
collect_hu14;Collect Goods
load_truck_hu2;Load Truck
collect_hu3;Collect Goods
load_truck_hu14;Load Truck
collect_hu7;Collect Goods
collect_hu16;Collect Goods
load_truck_hu3;Load Truck
load_truck_hu7;Load Truck
collect_hu13;Collect Goods
load_truck_hu16;Load Truck
load_truck_hu13;Load Truck
collect_hu23;Collect Goods
collect_hu12;Collect Goods
load_truck_hu23;Load Truck
collect_hu26;Collect Goods
load_truck_hu12;Load Truck
load_truck_hu26;Load Truck
collect_hu22;Collect Goods
load_truck_hu22;Load Truck
collect_hu27;Collect Goods
collect_hu10;Collect Goods
load_truck_hu27;Load Truck
collect_hu11;Collect Goods
load_truck_hu10;Load Truck
collect_hu8;Collect Goods
load_truck_hu11;Load Truck
reg_co14;Register Customer Order
order_crs_td5;Order Empty Containers
load_truck_hu8;Load Truck
collect_hu18;Collect Goods
collect_hu6;Collect Goods
load_truck_hu18;Load Truck
collect_hu33;Collect Goods
load_truck_hu6;Load Truck
drive_term_cr4;Drive to Terminal
pick_cr2;Pick Up Empty Container
weigh_cr4;Weigh
stock_cr4;Place in Stock
create_td6;Create Transport Document
drive_term_cr3;Drive to Terminal
pick_cr12;Pick Up Empty Container
weigh_cr3;Weigh
stock_cr3;Place in Stock
collect_hu35;Collect Goods
load_truck_hu33;Load Truck
collect_hu40;Collect Goods
load_truck_hu35;Load Truck
collect_hu39;Collect Goods
drive_term_cr7;Drive to Terminal
pick_cr11;Pick Up Empty Container
weigh_cr7;Weigh
load_truck_hu39;Load Truck
collect_hu48;Collect Goods
stock_cr7;Place in Stock
collect_hu34;Collect Goods
collect_hu47;Collect Goods
load_truck_hu34;Load Truck
collect_hu37;Collect Goods
load_truck_hu37;Load Truck
collect_hu36;Collect Goods
load_truck_hu36;Load Truck
collect_hu41;Collect Goods
load_truck_hu48;Load Truck
load_truck_hu47;Load Truck
collect_hu43;Collect Goods
collect_hu45;Collect Goods
collect_hu51;Collect Goods
book_vehs_td6;Book Vehicles
drive_term_cr6;Drive to Terminal
collect_hu50;Collect Goods
load_truck_hu51;Load Truck
weigh_cr6;Weigh
collect_hu38;Collect Goods
drive_term_cr13;Drive to Terminal
load_truck_hu50;Load Truck
weigh_cr13;Weigh
stock_cr13;Place in Stock
stock_cr6;Place in Stock
