ocel_id;ocel_time
book_vehs_td1;2023-05-23 09:43:10
book_vehs_td2;2023-05-23 12:40:49
book_vehs_td3;2023-05-26 14:38:55
book_vehs_td4;2023-05-26 16:42:20
book_vehs_td5;2023-05-29 10:57:27
book_vehs_td6;2023-05-29 15:42:26
book_vehs_td7;2023-05-30 10:26:04
book_vehs_td8;2023-05-30 14:58:06
book_vehs_td9;2023-05-30 16:36:05
book_vehs_td10;2023-05-31 08:13:17
book_vehs_td11;2023-05-31 09:57:35
book_vehs_td12;2023-05-31 14:31:54
book_vehs_td13;2023-05-31 14:38:50
book_vehs_td14;2023-06-01 10:53:40
book_vehs_td15;2023-06-01 17:12:29
book_vehs_td16;2023-06-02 07:58:17
book_vehs_td17;2023-06-02 11:28:42
book_vehs_td18;2023-06-02 18:27:34
book_vehs_td19;2023-06-05 09:35:55
book_vehs_td21;2023-06-05 14:26:12
book_vehs_td20;2023-06-05 14:29:31
book_vehs_td22;2023-06-05 16:56:56
book_vehs_td23;2023-06-06 08:53:17
book_vehs_td24;2023-06-06 13:33:09
book_vehs_td25;2023-06-06 16:21:38
book_vehs_td26;2023-06-06 16:53:50
book_vehs_td27;2023-06-07 09:14:09
book_vehs_td29;2023-06-07 14:05:52
book_vehs_td28;2023-06-07 15:03:57
book_vehs_td30;2023-06-07 16:58:12
book_vehs_td31;2023-06-08 16:52:31
book_vehs_td32;2023-06-09 14:28:28
book_vehs_td33;2023-06-12 08:36:05
book_vehs_td34;2023-06-12 14:23:17
book_vehs_td35;2023-06-13 14:07:21
book_vehs_td36;2023-06-13 16:45:32
book_vehs_td37;2023-06-14 11:36:34
book_vehs_td39;2023-06-14 15:08:55
book_vehs_td38;2023-06-14 17:00:39
book_vehs_td40;2023-06-14 19:07:15
book_vehs_td41;2023-06-15 08:47:38
book_vehs_td42;2023-06-15 13:34:21
book_vehs_td43;2023-06-15 16:51:40
book_vehs_td44;2023-06-19 08:01:57
book_vehs_td45;2023-06-19 17:52:24
book_vehs_td47;2023-06-20 13:15:35
book_vehs_td46;2023-06-20 13:45:52
book_vehs_td48;2023-06-21 10:19:07
book_vehs_td49;2023-06-21 14:31:46
book_vehs_td50;2023-06-21 17:01:11
book_vehs_td51;2023-06-21 17:29:44
book_vehs_td52;2023-06-22 08:36:49
book_vehs_td54;2023-06-22 16:56:08
book_vehs_td53;2023-06-22 17:03:43
book_vehs_td55;2023-06-23 09:34:06
