ocel_id;ocel_time
to_bay_cr11;2023-05-30 09:26:27
to_bay_cr16;2023-06-01 07:11:27
to_bay_cr13;2023-06-01 07:12:31
to_bay_cr12;2023-06-01 07:17:51
to_bay_cr14;2023-06-01 07:18:50
to_bay_cr33;2023-06-01 09:46:22
to_bay_cr8;2023-06-05 07:35:44
to_bay_cr6;2023-06-05 07:36:55
to_bay_cr7;2023-06-05 07:40:35
to_bay_cr26;2023-06-05 07:47:20
to_bay_cr28;2023-06-05 09:03:29
to_bay_cr48;2023-06-05 09:39:18
to_bay_cr27;2023-06-05 10:05:45
to_bay_cr29;2023-06-06 16:44:50
to_bay_cr5;2023-06-08 07:08:24
to_bay_cr2;2023-06-08 07:13:38
to_bay_cr4;2023-06-08 07:29:55
to_bay_cr3;2023-06-08 07:32:38
to_bay_cr56;2023-06-08 07:37:04
to_bay_cr1;2023-06-08 07:40:42
to_bay_cr20;2023-06-12 07:16:02
to_bay_cr41;2023-06-12 07:16:12
to_bay_cr42;2023-06-12 07:20:08
to_bay_cr19;2023-06-12 07:21:58
to_bay_cr43;2023-06-12 07:40:30
to_bay_cr44;2023-06-12 07:45:37
to_bay_cr79;2023-06-12 07:57:26
to_bay_cr107;2023-06-13 12:02:58
to_bay_cr137;2023-06-15 07:09:27
to_bay_cr71;2023-06-15 07:11:03
to_bay_cr99;2023-06-15 07:17:52
to_bay_cr74;2023-06-15 07:21:44
to_bay_cr111;2023-06-15 07:32:18
to_bay_cr110;2023-06-15 07:37:59
to_bay_cr75;2023-06-15 07:51:10
to_bay_cr76;2023-06-15 07:56:18
to_bay_cr100;2023-06-15 07:59:20
to_bay_cr60;2023-06-15 09:55:54
to_bay_cr112;2023-06-15 11:01:12
to_bay_cr101;2023-06-15 11:03:21
to_bay_cr73;2023-06-15 11:05:27
to_bay_cr57;2023-06-15 11:05:31
to_bay_cr72;2023-06-15 11:11:43
to_bay_cr135;2023-06-15 11:13:48
to_bay_cr59;2023-06-15 11:16:14
