ocel_id;ocel_time
collect_hu1;2023-05-24 17:50:00
collect_hu5;2023-05-27 09:54:44
collect_hu19;2023-05-29 08:03:55
collect_hu30;2023-05-29 08:14:12
collect_hu9;2023-05-29 08:15:39
collect_hu24;2023-05-29 08:18:41
collect_hu15;2023-05-29 08:24:05
collect_hu28;2023-05-29 08:40:32
collect_hu25;2023-05-29 08:42:58
collect_hu4;2023-05-29 08:49:42
collect_hu32;2023-05-29 08:57:48
collect_hu17;2023-05-29 09:59:49
collect_hu20;2023-05-29 11:07:53
collect_hu29;2023-05-29 11:11:54
collect_hu31;2023-05-29 11:18:52
collect_hu21;2023-05-29 11:20:55
collect_hu2;2023-05-29 11:26:01
collect_hu14;2023-05-29 11:28:45
collect_hu3;2023-05-29 11:29:43
collect_hu7;2023-05-29 11:30:45
collect_hu16;2023-05-29 11:31:30
collect_hu13;2023-05-29 11:35:55
collect_hu23;2023-05-29 11:36:29
collect_hu12;2023-05-29 11:39:31
collect_hu26;2023-05-29 11:40:32
collect_hu22;2023-05-29 11:46:54
collect_hu27;2023-05-29 11:49:01
collect_hu10;2023-05-29 11:49:56
collect_hu11;2023-05-29 11:54:11
collect_hu8;2023-05-29 11:56:20
collect_hu18;2023-05-29 13:56:53
collect_hu6;2023-05-29 13:57:37
collect_hu33;2023-05-29 13:58:43
collect_hu35;2023-05-29 15:03:25
collect_hu40;2023-05-29 15:06:12
collect_hu39;2023-05-29 15:08:10
collect_hu48;2023-05-29 15:12:00
collect_hu34;2023-05-29 15:15:34
collect_hu47;2023-05-29 15:20:25
collect_hu37;2023-05-29 15:24:04
collect_hu36;2023-05-29 15:26:57
collect_hu41;2023-05-29 15:30:46
collect_hu43;2023-05-29 15:39:31
collect_hu45;2023-05-29 15:41:01
collect_hu51;2023-05-29 15:42:06
collect_hu50;2023-05-29 15:45:53
collect_hu38;2023-05-29 15:49:55
collect_hu49;2023-05-29 15:53:08
collect_hu44;2023-05-29 16:53:14
collect_hu42;2023-05-29 16:58:38
collect_hu55;2023-05-29 18:23:17
collect_hu59;2023-05-30 07:24:51
collect_hu52;2023-05-30 07:30:02
collect_hu63;2023-05-30 07:37:21
collect_hu58;2023-05-30 07:42:39
collect_hu56;2023-05-30 07:44:41
collect_hu46;2023-05-30 07:50:05
collect_hu61;2023-05-30 07:52:46
collect_hu54;2023-05-30 07:53:56
collect_hu67;2023-05-30 08:56:12
collect_hu60;2023-05-30 09:57:13
collect_hu62;2023-05-30 09:59:20
collect_hu66;2023-05-30 10:59:55
collect_hu65;2023-05-30 12:03:39
collect_hu69;2023-05-30 13:07:07
collect_hu68;2023-05-30 13:11:34
collect_hu64;2023-05-30 13:17:03
collect_hu57;2023-05-30 13:20:19
collect_hu53;2023-05-30 13:23:50
collect_hu70;2023-05-31 13:41:20
collect_hu75;2023-05-31 13:43:08
collect_hu73;2023-05-31 13:45:04
collect_hu72;2023-05-31 13:46:45
collect_hu71;2023-05-31 13:49:19
collect_hu74;2023-05-31 13:52:22
collect_hu79;2023-05-31 16:45:11
collect_hu80;2023-05-31 16:46:56
collect_hu77;2023-05-31 16:48:32
collect_hu78;2023-05-31 16:52:28
collect_hu76;2023-05-31 16:55:46
collect_hu81;2023-05-31 18:10:05
collect_hu87;2023-05-31 19:47:08
collect_hu85;2023-06-01 07:51:33
collect_hu84;2023-06-01 08:51:52
collect_hu96;2023-06-01 08:54:31
collect_hu99;2023-06-01 09:55:24
collect_hu100;2023-06-01 09:58:24
collect_hu98;2023-06-01 11:00:15
collect_hu83;2023-06-01 11:03:42
collect_hu90;2023-06-01 11:07:06
collect_hu104;2023-06-01 11:09:38
collect_hu103;2023-06-01 11:14:18
collect_hu95;2023-06-01 11:20:32
collect_hu86;2023-06-01 11:26:07
collect_hu97;2023-06-01 11:31:04
collect_hu88;2023-06-01 11:33:04
collect_hu94;2023-06-01 11:34:55
collect_hu82;2023-06-01 11:36:52
collect_hu92;2023-06-01 11:38:06
collect_hu89;2023-06-01 11:39:23
collect_hu105;2023-06-01 11:44:20
collect_hu102;2023-06-01 11:46:13
collect_hu91;2023-06-01 11:49:08
collect_hu101;2023-06-01 11:50:48
collect_hu93;2023-06-01 11:53:11
collect_hu109;2023-06-02 14:55:01
collect_hu111;2023-06-02 14:57:37
collect_hu106;2023-06-02 16:01:44
collect_hu108;2023-06-02 16:03:51
collect_hu110;2023-06-02 16:04:41
collect_hu107;2023-06-02 16:08:24
collect_hu113;2023-06-02 16:19:13
collect_hu114;2023-06-02 16:27:37
collect_hu112;2023-06-02 16:30:47
collect_hu117;2023-06-02 16:41:56
collect_hu115;2023-06-02 16:52:47
collect_hu116;2023-06-02 18:06:51
collect_hu119;2023-06-02 19:28:02
collect_hu123;2023-06-05 07:34:10
collect_hu118;2023-06-05 07:41:26
collect_hu132;2023-06-05 07:47:57
collect_hu125;2023-06-05 08:49:11
collect_hu127;2023-06-05 08:50:30
collect_hu122;2023-06-05 08:56:27
collect_hu136;2023-06-05 09:56:31
collect_hu139;2023-06-05 09:57:19
collect_hu134;2023-06-05 09:58:03
