ocel_id;ocel_time
create_td1;2023-05-23 09:21:17
create_td2;2023-05-23 10:54:33
create_td3;2023-05-26 11:26:46
create_td4;2023-05-26 15:27:47
create_td5;2023-05-29 10:24:01
create_td6;2023-05-29 14:29:22
create_td7;2023-05-30 08:40:05
create_td8;2023-05-30 14:41:36
create_td9;2023-05-30 14:49:12
create_td10;2023-05-30 15:42:18
create_td11;2023-05-31 08:48:02
create_td12;2023-05-31 11:56:38
create_td13;2023-05-31 13:33:33
create_td14;2023-06-01 09:30:42
create_td15;2023-06-01 15:38:39
create_td16;2023-06-01 16:56:35
create_td17;2023-06-02 11:13:07
create_td18;2023-06-02 16:39:21
create_td19;2023-06-05 08:08:29
create_td20;2023-06-05 12:17:49
create_td21;2023-06-05 14:07:49
create_td22;2023-06-05 15:04:55
create_td23;2023-06-06 08:32:29
create_td24;2023-06-06 13:20:49
create_td25;2023-06-06 16:00:03
create_td26;2023-06-06 16:27:24
create_td27;2023-06-06 16:49:34
create_td28;2023-06-07 12:18:41
create_td29;2023-06-07 12:44:23
create_td30;2023-06-07 15:02:46
create_td31;2023-06-08 14:43:11
create_td32;2023-06-09 11:46:54
create_td33;2023-06-09 18:10:09
create_td34;2023-06-12 11:40:07
create_td35;2023-06-13 12:28:09
create_td36;2023-06-13 15:40:34
create_td37;2023-06-14 11:06:32
create_td38;2023-06-14 14:27:45
create_td39;2023-06-14 15:03:30
create_td40;2023-06-14 17:22:18
create_td41;2023-06-15 07:26:19
create_td42;2023-06-15 11:25:25
create_td43;2023-06-15 16:40:36
create_td44;2023-06-16 18:13:26
create_td45;2023-06-19 17:00:39
create_td46;2023-06-20 11:24:00
create_td47;2023-06-20 12:02:17
create_td48;2023-06-21 10:01:43
create_td49;2023-06-21 10:44:11
create_td50;2023-06-21 15:41:38
create_td51;2023-06-21 15:47:29
create_td52;2023-06-22 08:22:45
create_td53;2023-06-22 15:47:51
create_td54;2023-06-22 16:20:17
create_td55;2023-06-22 17:33:59
create_td56;2023-06-23 11:18:07
create_td57;2023-06-23 14:30:19
create_td58;2023-06-26 12:09:02
create_td59;2023-06-26 17:11:36
create_td60;2023-06-27 09:36:31
create_td61;2023-06-27 09:42:34
create_td62;2023-06-27 09:53:03
create_td63;2023-06-27 17:29:29
create_td64;2023-06-28 11:47:08
create_td65;2023-06-28 12:17:04
create_td66;2023-06-28 14:47:00
create_td67;2023-06-30 09:32:33
create_td68;2023-06-30 10:46:36
create_td69;2023-06-30 12:05:55
create_td70;2023-06-30 17:10:40
create_td71;2023-07-03 09:48:11
create_td72;2023-07-03 11:44:11
create_td73;2023-07-04 10:59:14
create_td74;2023-07-04 11:47:03
create_td75;2023-07-04 16:32:46
create_td76;2023-07-05 11:09:12
create_td77;2023-07-05 16:59:53
create_td78;2023-07-06 09:07:09
create_td79;2023-07-06 14:58:12
create_td80;2023-07-06 16:53:50
create_td81;2023-07-07 10:23:36
create_td82;2023-07-07 14:21:06
create_td83;2023-07-07 15:42:30
create_td84;2023-07-11 11:02:24
create_td85;2023-07-11 14:08:26
create_td86;2023-07-12 11:26:18
create_td87;2023-07-13 07:40:41
create_td88;2023-07-13 08:07:44
create_td89;2023-07-13 11:10:41
create_td90;2023-07-13 12:08:51
create_td91;2023-07-13 14:14:09
create_td92;2023-07-13 16:38:54
create_td93;2023-07-14 11:46:44
create_td94;2023-07-18 12:06:18
create_td95;2023-07-18 18:03:48
create_td96;2023-07-18 18:12:19
create_td97;2023-07-19 15:33:25
create_td98;2023-07-19 15:50:31
create_td99;2023-07-19 16:46:48
create_td100;2023-07-19 17:03:26
create_td101;2023-07-19 18:03:43
create_td102;2023-07-20 09:27:17
create_td103;2023-07-20 09:44:08
create_td104;2023-07-20 11:19:17
create_td105;2023-07-20 13:29:38
create_td106;2023-07-21 15:21:33
create_td107;2023-07-24 08:28:09
create_td108;2023-07-24 08:31:13
create_td109;2023-07-25 09:58:21
create_td110;2023-07-25 13:42:26
create_td111;2023-07-25 13:47:10
create_td112;2023-07-25 17:02:45
create_td113;2023-07-26 10:25:32
create_td114;2023-07-26 14:53:33
create_td115;2023-07-27 11:07:59
create_td116;2023-07-27 11:18:19
create_td117;2023-07-27 16:29:37
create_td118;2023-07-28 17:18:13
create_td119;2023-07-31 09:24:06
create_td120;2023-07-31 14:10:03
create_td121;2023-08-01 15:40:24
create_td122;2023-08-01 16:51:13
create_td123;2023-08-02 14:06:29
create_td124;2023-08-03 09:30:02
create_td125;2023-08-03 11:46:01
create_td126;2023-08-03 14:30:16
create_td127;2023-08-03 15:15:30
create_td128;2023-08-03 17:18:25
create_td129;2023-08-04 15:32:09
create_td130;2023-08-04 16:38:34
create_td131;2023-08-07 16:24:21
create_td132;2023-08-08 10:54:38
create_td133;2023-08-08 12:35:16
create_td134;2023-08-09 11:37:33
create_td135;2023-08-09 15:35:24
create_td136;2023-08-09 16:55:36
create_td137;2023-08-10 08:42:56
create_td138;2023-08-10 10:11:58
create_td139;2023-08-10 13:15:41
create_td140;2023-08-11 11:02:24
create_td141;2023-08-11 15:04:44
create_td142;2023-08-14 08:29:34
create_td143;2023-08-14 09:50:27
create_td144;2023-08-14 09:58:23
create_td145;2023-08-14 11:49:06
create_td146;2023-08-14 12:23:59
create_td147;2023-08-15 12:07:53
create_td148;2023-08-15 12:33:10
create_td149;2023-08-15 13:38:42
create_td150;2023-08-16 11:51:23
create_td151;2023-08-16 12:14:29
create_td152;2023-08-16 14:36:18
create_td153;2023-08-16 17:49:12
create_td154;2023-08-17 12:20:10
create_td155;2023-08-17 15:59:25
create_td156;2023-08-18 15:33:07
create_td157;2023-08-18 15:46:04
create_td158;2023-08-21 11:08:52
create_td159;2023-08-21 16:00:01
create_td160;2023-08-21 16:36:40
create_td161;2023-08-21 17:12:48
create_td162;2023-08-22 10:32:20
create_td163;2023-08-22 16:48:06
create_td164;2023-08-23 14:54:27
create_td165;2023-08-23 17:28:17
create_td166;2023-08-24 09:40:12
create_td167;2023-08-24 14:19:23
create_td168;2023-08-24 17:16:28
create_td169;2023-08-25 11:38:30
create_td170;2023-08-25 16:40:03
create_td171;2023-08-28 15:33:03
create_td172;2023-08-28 17:03:29
create_td173;2023-08-28 17:42:55
create_td174;2023-08-29 10:58:58
create_td175;2023-08-29 15:01:14
create_td176;2023-08-31 12:18:23
create_td177;2023-08-31 15:21:54
create_td178;2023-09-01 11:30:46
create_td179;2023-09-01 11:43:22
create_td180;2023-09-01 14:54:08
create_td181;2023-09-01 15:39:12
create_td182;2023-09-04 09:08:47
create_td183;2023-09-04 11:57:29
create_td184;2023-09-04 14:00:33
create_td185;2023-09-04 16:35:37
create_td186;2023-09-04 16:51:18
create_td187;2023-09-05 07:49:17
create_td188;2023-09-05 09:36:15
create_td189;2023-09-05 12:30:08
create_td190;2023-09-05 15:43:32
create_td191;2023-09-06 08:10:50
create_td192;2023-09-06 09:50:51
create_td193;2023-09-06 10:24:17
create_td194;2023-09-06 15:33:35
create_td195;2023-09-06 16:57:22
create_td196;2023-09-07 10:01:17
create_td197;2023-09-07 16:49:28
create_td198;2023-09-08 10:34:58
create_td199;2023-09-11 10:01:32
create_td200;2023-09-11 11:06:51
create_td201;2023-09-11 15:07:07
create_td202;2023-09-11 17:39:55
create_td203;2023-09-12 11:08:04
create_td204;2023-09-13 08:26:17
create_td205;2023-09-13 10:44:59
create_td206;2023-09-13 16:13:26
create_td207;2023-09-13 17:22:18
