ocel_id;ocel_time
depart_vh1;2023-05-30 11:00:00
depart_vh2;2023-06-02 11:00:00
depart_vh3;2023-06-06 11:00:00
depart_vh4;2023-06-09 11:00:00
depart_vh5;2023-06-13 11:00:00
depart_vh6;2023-06-16 11:00:00
depart_vh7;2023-06-20 11:00:00
depart_vh8;2023-06-23 11:00:00
depart_vh9;2023-06-27 11:00:00
depart_vh10;2023-06-30 11:00:00
depart_vh11;2023-07-04 11:00:00
depart_vh12;2023-07-07 11:00:00
depart_vh13;2023-07-11 11:00:00
depart_vh14;2023-07-14 11:00:00
depart_vh15;2023-07-18 11:00:00
depart_vh16;2023-07-21 11:00:00
depart_vh17;2023-07-25 11:00:00
depart_vh18;2023-07-28 11:00:00
depart_vh19;2023-08-01 11:00:00
depart_vh20;2023-08-04 11:00:00
depart_vh21;2023-08-08 11:00:00
depart_vh22;2023-08-11 11:00:00
depart_vh23;2023-08-15 11:00:00
depart_vh24;2023-08-18 11:00:00
depart_vh25;2023-08-22 11:00:00
depart_vh26;2023-08-25 11:00:00
depart_vh27;2023-08-29 11:00:00
depart_vh28;2023-09-01 11:00:00
depart_vh29;2023-09-05 11:00:00
depart_vh30;2023-09-08 11:00:00
depart_vh31;2023-09-12 11:00:00
depart_vh32;2023-09-15 11:00:00
depart_vh33;2023-09-19 11:00:00
depart_vh34;2023-09-22 11:00:00
depart_vh35;2023-09-26 11:00:00
depart_vh36;2023-09-29 11:00:00
depart_vh37;2023-10-03 11:00:00
depart_vh38;2023-10-06 11:00:00
depart_vh39;2023-10-10 11:00:00
depart_vh40;2023-10-13 11:00:00
depart_vh41;2023-10-17 11:00:00
depart_vh42;2023-10-20 11:00:00
depart_vh43;2023-10-24 11:00:00
depart_vh44;2023-10-27 11:00:00
depart_vh45;2023-10-31 11:00:00
depart_vh46;2023-11-03 11:00:00
depart_vh47;2023-11-07 11:00:00
depart_vh48;2023-11-10 11:00:00
depart_vh49;2023-11-14 11:00:00
depart_vh50;2023-11-17 11:00:00
depart_vh51;2023-11-21 11:00:00
depart_vh52;2023-11-24 11:00:00
depart_vh53;2023-11-28 11:00:00
depart_vh54;2023-12-01 11:00:00
depart_vh55;2023-12-05 11:00:00
depart_vh56;2023-12-08 11:00:00
depart_vh57;2023-12-12 11:00:00
depart_vh58;2023-12-15 11:00:00
depart_vh59;2023-12-19 11:00:00
depart_vh60;2023-12-22 11:00:00
depart_vh61;2023-12-26 11:00:00
depart_vh62;2023-12-29 11:00:00
depart_vh63;2024-01-02 11:00:00
depart_vh64;2024-01-05 11:00:00
depart_vh65;2024-01-09 11:00:00
depart_vh66;2024-01-12 11:00:00
depart_vh67;2024-01-16 11:00:00
depart_vh68;2024-01-19 11:00:00
depart_vh69;2024-01-23 11:00:00
depart_vh70;2024-01-26 11:00:00
depart_vh71;2024-01-30 11:00:00
depart_vh72;2024-02-02 11:00:00
depart_vh73;2024-02-06 11:00:00
depart_vh74;2024-02-09 11:00:00
depart_vh75;2024-02-13 11:00:00
depart_vh76;2024-02-16 11:00:00
depart_vh77;2024-02-20 11:00:00
depart_vh78;2024-02-23 11:00:00
depart_vh79;2024-02-27 11:00:00
depart_vh80;2024-03-01 11:00:00
depart_vh82;2024-03-08 11:00:00
depart_vh83;2024-03-12 11:00:00
depart_vh84;2024-03-15 11:00:00
depart_vh85;2024-03-19 11:00:00
depart_vh86;2024-03-22 11:00:00
depart_vh87;2024-03-26 11:00:00
depart_vh88;2024-03-29 11:00:00
depart_vh89;2024-04-02 11:00:00
depart_vh90;2024-04-05 11:00:00
depart_vh91;2024-04-09 11:00:00
depart_vh92;2024-04-12 11:00:00
depart_vh93;2024-04-16 11:00:00
depart_vh94;2024-04-19 11:00:00
depart_vh95;2024-04-23 11:00:00
depart_vh96;2024-04-26 11:00:00
depart_vh97;2024-04-30 11:00:00
depart_vh99;2024-05-07 11:00:00
depart_vh100;2024-05-10 11:00:00
depart_vh101;2024-05-14 11:00:00
