ocel_id;ocel_time
drive_term_cr8;2023-05-25 08:37:25
drive_term_cr4;2023-05-29 14:12:57
drive_term_cr3;2023-05-29 14:39:15
drive_term_cr7;2023-05-29 15:09:43
drive_term_cr6;2023-05-29 15:45:38
drive_term_cr13;2023-05-29 15:50:07
drive_term_cr5;2023-05-29 16:10:50
drive_term_cr2;2023-05-29 17:10:37
drive_term_cr12;2023-05-30 08:15:18
drive_term_cr14;2023-05-30 09:04:10
drive_term_cr11;2023-05-30 09:17:34
drive_term_cr16;2023-05-30 11:16:38
drive_term_cr17;2023-05-30 14:33:34
drive_term_cr1;2023-05-30 14:45:04
drive_term_cr28;2023-05-31 16:03:58
drive_term_cr33;2023-06-01 09:41:10
drive_term_cr22;2023-06-01 11:49:06
drive_term_cr26;2023-06-01 14:03:37
drive_term_cr32;2023-06-01 14:05:36
drive_term_cr19;2023-06-01 14:07:33
drive_term_cr48;2023-06-05 09:34:17
drive_term_cr27;2023-06-05 10:00:22
drive_term_cr43;2023-06-05 11:53:42
drive_term_cr50;2023-06-05 11:54:59
drive_term_cr30;2023-06-05 13:36:49
drive_term_cr20;2023-06-05 13:43:04
drive_term_cr49;2023-06-05 14:25:21
drive_term_cr10;2023-06-05 14:27:43
drive_term_cr35;2023-06-06 09:24:02
drive_term_cr52;2023-06-06 09:32:49
drive_term_cr42;2023-06-06 09:40:05
drive_term_cr34;2023-06-06 10:32:22
drive_term_cr54;2023-06-06 10:32:30
drive_term_cr38;2023-06-06 10:58:39
drive_term_cr56;2023-06-06 14:11:18
drive_term_cr51;2023-06-06 16:20:49
drive_term_cr9;2023-06-06 16:31:30
drive_term_cr29;2023-06-06 16:36:26
drive_term_cr39;2023-06-06 16:50:02
drive_term_cr41;2023-06-06 17:53:26
drive_term_cr15;2023-06-07 08:25:12
drive_term_cr44;2023-06-07 09:11:16
drive_term_cr69;2023-06-07 09:59:11
drive_term_cr46;2023-06-07 11:59:59
drive_term_cr75;2023-06-07 13:34:14
drive_term_cr37;2023-06-07 14:47:08
drive_term_cr59;2023-06-07 15:09:05
drive_term_cr71;2023-06-07 15:10:52
drive_term_cr60;2023-06-07 17:54:19
drive_term_cr18;2023-06-08 07:57:20
drive_term_cr82;2023-06-08 08:48:36
drive_term_cr74;2023-06-08 09:00:11
drive_term_cr25;2023-06-08 10:22:56
drive_term_cr79;2023-06-08 11:40:25
drive_term_cr68;2023-06-08 11:51:31
drive_term_cr70;2023-06-08 14:12:04
drive_term_cr65;2023-06-08 14:21:03
drive_term_cr94;2023-06-08 14:45:10
drive_term_cr58;2023-06-08 14:49:02
drive_term_cr99;2023-06-08 15:57:44
drive_term_cr73;2023-06-08 16:33:09
drive_term_cr101;2023-06-08 16:37:35
drive_term_cr81;2023-06-08 16:54:53
drive_term_cr64;2023-06-09 11:50:43
drive_term_cr45;2023-06-09 11:56:36
drive_term_cr95;2023-06-09 13:14:02
drive_term_cr72;2023-06-09 13:58:58
drive_term_cr100;2023-06-09 14:08:57
drive_term_cr78;2023-06-09 14:34:42
drive_term_cr106;2023-06-12 09:13:55
drive_term_cr76;2023-06-12 11:54:31
drive_term_cr40;2023-06-12 13:53:13
drive_term_cr103;2023-06-12 14:09:05
drive_term_cr77;2023-06-12 14:12:22
drive_term_cr84;2023-06-12 14:19:12
drive_term_cr57;2023-06-12 14:26:25
drive_term_cr112;2023-06-12 17:50:26
drive_term_cr86;2023-06-13 09:52:23
drive_term_cr96;2023-06-13 09:59:51
drive_term_cr110;2023-06-13 10:56:33
drive_term_cr107;2023-06-13 10:56:42
drive_term_cr53;2023-06-13 11:00:40
drive_term_cr66;2023-06-13 11:17:34
drive_term_cr61;2023-06-13 13:30:06
drive_term_cr90;2023-06-13 14:24:59
drive_term_cr109;2023-06-13 15:34:01
drive_term_cr111;2023-06-13 16:41:42
drive_term_cr63;2023-06-13 16:41:59
drive_term_cr85;2023-06-13 16:48:08
drive_term_cr47;2023-06-13 16:50:07
drive_term_cr104;2023-06-13 16:52:05
drive_term_cr89;2023-06-13 16:53:49
drive_term_cr87;2023-06-14 08:58:28
drive_term_cr31;2023-06-14 10:23:22
drive_term_cr93;2023-06-14 11:21:10
drive_term_cr80;2023-06-14 14:12:36
drive_term_cr128;2023-06-14 14:57:15
drive_term_cr137;2023-06-14 17:40:56
drive_term_cr131;2023-06-15 09:43:39
drive_term_cr136;2023-06-15 09:56:09
drive_term_cr102;2023-06-15 09:56:11
drive_term_cr135;2023-06-15 11:05:37
drive_term_cr142;2023-06-15 14:49:37
drive_term_cr36;2023-06-15 15:11:04
drive_term_cr97;2023-06-15 17:23:54
drive_term_cr23;2023-06-15 17:53:46
drive_term_cr130;2023-06-15 18:18:23
drive_term_cr141;2023-06-16 11:55:47
drive_term_cr146;2023-06-16 13:51:58
drive_term_cr114;2023-06-16 14:40:25
drive_term_cr152;2023-06-16 14:53:17
drive_term_cr62;2023-06-16 14:59:47
drive_term_cr132;2023-06-16 16:34:05
drive_term_cr127;2023-06-16 18:10:45
drive_term_cr24;2023-06-16 18:35:05
drive_term_cr144;2023-06-19 11:22:37
drive_term_cr116;2023-06-19 11:57:15
drive_term_cr145;2023-06-19 14:04:46
drive_term_cr151;2023-06-19 14:34:45
drive_term_cr138;2023-06-19 14:44:53
drive_term_cr55;2023-06-19 14:46:52
drive_term_cr118;2023-06-19 18:31:06
drive_term_cr147;2023-06-20 08:29:52
drive_term_cr125;2023-06-20 09:00:52
drive_term_cr123;2023-06-20 09:06:27
drive_term_cr155;2023-06-20 09:15:23
drive_term_cr83;2023-06-20 11:30:32
drive_term_cr154;2023-06-20 11:31:44
drive_term_cr126;2023-06-20 11:36:26
drive_term_cr140;2023-06-20 11:56:30
drive_term_cr115;2023-06-20 11:59:01
drive_term_cr129;2023-06-20 12:34:50
drive_term_cr122;2023-06-20 17:34:35
drive_term_cr156;2023-06-21 07:48:52
drive_term_cr134;2023-06-21 08:19:07
drive_term_cr149;2023-06-21 08:32:21
drive_term_cr91;2023-06-21 08:51:06
drive_term_cr143;2023-06-21 10:05:38
drive_term_cr124;2023-06-21 10:28:55
drive_term_cr157;2023-06-21 10:54:56
drive_term_cr21;2023-06-21 11:18:07
drive_term_cr121;2023-06-21 11:56:52
drive_term_cr164;2023-06-21 15:11:36
drive_term_cr67;2023-06-21 15:51:20
drive_term_cr168;2023-06-21 16:52:51
drive_term_cr167;2023-06-21 17:00:42
drive_term_cr153;2023-06-21 17:18:13
drive_term_cr113;2023-06-21 17:33:04
drive_term_cr150;2023-06-21 17:36:22
drive_term_cr160;2023-06-22 09:15:40
drive_term_cr165;2023-06-22 09:26:34
drive_term_cr171;2023-06-22 09:29:30
drive_term_cr163;2023-06-22 09:47:52
drive_term_cr175;2023-06-22 09:55:59
drive_term_cr148;2023-06-22 09:59:58
drive_term_cr98;2023-06-22 11:00:16
drive_term_cr133;2023-06-22 11:15:42
drive_term_cr180;2023-06-22 14:54:22
drive_term_cr162;2023-06-22 14:58:16
drive_term_cr178;2023-06-22 15:10:06
drive_term_cr176;2023-06-22 15:14:47
drive_term_cr179;2023-06-22 15:27:25
drive_term_cr177;2023-06-23 08:36:46
drive_term_cr119;2023-06-23 09:48:44
drive_term_cr172;2023-06-23 09:59:22
drive_term_cr159;2023-06-23 11:22:55
drive_term_cr88;2023-06-23 11:37:19
drive_term_cr108;2023-06-26 08:01:33
drive_term_cr161;2023-06-26 08:55:09
drive_term_cr139;2023-06-26 13:50:07
drive_term_cr170;2023-06-26 14:51:48
drive_term_cr204;2023-06-26 19:12:11
drive_term_cr197;2023-06-27 08:15:14
drive_term_cr195;2023-06-27 08:24:57
drive_term_cr189;2023-06-27 10:26:10
drive_term_cr191;2023-06-27 10:26:12
drive_term_cr199;2023-06-27 11:50:53
drive_term_cr187;2023-06-27 12:07:14
drive_term_cr208;2023-06-27 12:30:37
drive_term_cr209;2023-06-27 14:38:09
drive_term_cr193;2023-06-27 14:46:30
drive_term_cr120;2023-06-27 14:48:57
drive_term_cr174;2023-06-27 17:57:20
drive_term_cr202;2023-06-28 07:30:43
drive_term_cr183;2023-06-28 08:51:18
drive_term_cr211;2023-06-28 08:53:01
drive_term_cr192;2023-06-28 10:20:54
drive_term_cr201;2023-06-28 10:29:38
drive_term_cr206;2023-06-28 10:33:56
drive_term_cr166;2023-06-28 12:05:28
drive_term_cr117;2023-06-28 12:23:09
drive_term_cr184;2023-06-28 13:45:25
drive_term_cr190;2023-06-28 13:58:52
drive_term_cr182;2023-06-28 14:22:21
drive_term_cr205;2023-06-28 15:54:46
drive_term_cr169;2023-06-28 16:39:56
drive_term_cr200;2023-06-28 16:51:48
drive_term_cr198;2023-06-28 17:34:04
drive_term_cr105;2023-06-28 17:41:19
drive_term_cr222;2023-06-28 17:52:36
drive_term_cr230;2023-06-29 09:26:20
drive_term_cr173;2023-06-29 11:42:38
drive_term_cr181;2023-06-29 14:04:33
drive_term_cr216;2023-06-29 14:10:19
