ocel_id;ocel_time
load_veh_cr11;2023-05-30 09:28:49
load_veh_cr16;2023-06-01 07:12:57
load_veh_cr13;2023-06-01 07:27:59
load_veh_cr12;2023-06-01 07:33:13
load_veh_cr14;2023-06-01 07:38:35
load_veh_cr33;2023-06-01 09:54:01
load_veh_cr8;2023-06-05 07:40:43
load_veh_cr7;2023-06-05 07:58:07
load_veh_cr26;2023-06-05 09:03:34
load_veh_cr6;2023-06-05 09:08:30
load_veh_cr28;2023-06-05 09:10:11
load_veh_cr48;2023-06-05 09:40:05
load_veh_cr27;2023-06-05 10:07:55
load_veh_cr5;2023-06-08 07:21:20
load_veh_cr2;2023-06-08 07:25:39
load_veh_cr4;2023-06-08 07:36:41
load_veh_cr3;2023-06-08 07:41:25
load_veh_cr1;2023-06-08 07:47:10
load_veh_cr56;2023-06-08 07:57:49
load_veh_cr29;2023-06-12 07:13:55
load_veh_cr20;2023-06-12 07:17:50
load_veh_cr41;2023-06-12 07:35:19
load_veh_cr19;2023-06-12 07:37:41
load_veh_cr42;2023-06-12 07:50:38
load_veh_cr43;2023-06-12 07:53:23
load_veh_cr44;2023-06-12 07:54:56
load_veh_cr79;2023-06-12 09:07:16
load_veh_cr107;2023-06-15 07:15:39
load_veh_cr71;2023-06-15 07:17:12
load_veh_cr137;2023-06-15 07:25:12
load_veh_cr99;2023-06-15 07:32:34
load_veh_cr111;2023-06-15 07:42:49
load_veh_cr110;2023-06-15 07:50:30
load_veh_cr74;2023-06-15 07:52:01
load_veh_cr75;2023-06-15 08:55:17
load_veh_cr76;2023-06-15 09:59:16
load_veh_cr60;2023-06-15 09:59:59
load_veh_cr100;2023-06-15 11:00:56
load_veh_cr112;2023-06-15 11:02:04
load_veh_cr101;2023-06-15 11:04:57
load_veh_cr73;2023-06-15 11:10:54
load_veh_cr57;2023-06-15 11:11:37
load_veh_cr72;2023-06-15 11:16:56
load_veh_cr59;2023-06-15 11:17:52
load_veh_cr135;2023-06-15 11:22:53
load_veh_cr78;2023-06-15 11:29:59
load_veh_cr77;2023-06-15 11:33:34
load_veh_cr58;2023-06-15 11:37:12
load_veh_cr10;2023-06-19 07:56:47
load_veh_cr142;2023-06-19 08:57:32
load_veh_cr141;2023-06-19 08:59:42
load_veh_cr24;2023-06-19 10:05:29
load_veh_cr15;2023-06-19 10:09:11
load_veh_cr50;2023-06-19 10:11:19
load_veh_cr34;2023-06-19 10:17:19
load_veh_cr30;2023-06-19 10:18:58
load_veh_cr49;2023-06-19 10:22:47
load_veh_cr31;2023-06-19 10:30:51
load_veh_cr25;2023-06-19 10:31:51
load_veh_cr32;2023-06-19 10:33:02
load_veh_cr152;2023-06-19 10:37:53
load_veh_cr18;2023-06-19 10:39:17
load_veh_cr9;2023-06-19 10:41:07
load_veh_cr17;2023-06-19 10:44:57
load_veh_cr145;2023-06-22 07:47:29
load_veh_cr157;2023-06-22 07:50:55
load_veh_cr47;2023-06-22 07:56:31
load_veh_cr129;2023-06-22 09:03:52
load_veh_cr104;2023-06-22 09:08:45
load_veh_cr167;2023-06-22 09:13:01
load_veh_cr53;2023-06-22 09:15:07
load_veh_cr51;2023-06-22 09:19:08
load_veh_cr153;2023-06-22 09:23:58
load_veh_cr103;2023-06-22 09:25:25
load_veh_cr130;2023-06-22 09:29:11
load_veh_cr61;2023-06-22 09:32:32
load_veh_cr65;2023-06-22 09:34:43
load_veh_cr64;2023-06-22 09:35:52
load_veh_cr54;2023-06-22 09:43:31
load_veh_cr143;2023-06-22 09:44:17
load_veh_cr128;2023-06-22 09:48:55
load_veh_cr46;2023-06-22 09:53:10
load_veh_cr55;2023-06-22 09:56:16
load_veh_cr62;2023-06-22 10:58:56
load_veh_cr63;2023-06-22 12:02:02
load_veh_cr127;2023-06-22 13:08:58
load_veh_cr52;2023-06-22 13:11:34
load_veh_cr144;2023-06-22 13:16:06
load_veh_cr168;2023-06-22 13:17:32
load_veh_cr131;2023-06-22 13:19:47
load_veh_cr45;2023-06-22 13:20:59
load_veh_cr102;2023-06-22 13:25:02
load_veh_cr176;2023-06-22 15:25:47
load_veh_cr155;2023-06-26 07:42:30
load_veh_cr178;2023-06-26 07:47:28
load_veh_cr81;2023-06-26 07:57:09
load_veh_cr160;2023-06-26 09:07:44
load_veh_cr38;2023-06-26 09:13:04
load_veh_cr22;2023-06-26 09:15:35
load_veh_cr138;2023-06-26 09:16:16
load_veh_cr161;2023-06-26 09:19:25
load_veh_cr37;2023-06-26 09:20:51
load_veh_cr40;2023-06-26 09:23:41
load_veh_cr67;2023-06-26 09:25:11
load_veh_cr21;2023-06-26 09:27:12
load_veh_cr119;2023-06-26 09:32:11
load_veh_cr163;2023-06-26 09:33:18
load_veh_cr98;2023-06-26 09:37:44
load_veh_cr23;2023-06-26 09:43:35
load_veh_cr156;2023-06-26 09:46:46
load_veh_cr134;2023-06-26 09:50:31
load_veh_cr36;2023-06-26 09:58:37
load_veh_cr85;2023-06-26 09:59:18
load_veh_cr39;2023-06-26 11:00:33
load_veh_cr82;2023-06-26 11:01:58
load_veh_cr118;2023-06-26 11:03:07
load_veh_cr66;2023-06-26 11:09:32
load_veh_cr179;2023-06-26 11:16:30
load_veh_cr68;2023-06-26 11:20:18
load_veh_cr97;2023-06-26 11:27:24
load_veh_cr162;2023-06-26 11:30:04
load_veh_cr96;2023-06-26 11:31:58
load_veh_cr140;2023-06-26 11:35:09
