ocel_id;ocel_time
order_crs_td1;2023-05-23 12:31:12
order_crs_td2;2023-05-23 14:48:35
order_crs_td3;2023-05-26 15:49:20
order_crs_td4;2023-05-29 07:43:47
order_crs_td5;2023-05-29 12:48:33
order_crs_td6;2023-05-29 18:02:01
order_crs_td7;2023-05-30 14:45:20
order_crs_td9;2023-05-31 10:06:14
order_crs_td8;2023-05-31 10:06:51
order_crs_td10;2023-05-31 13:41:20
order_crs_td11;2023-05-31 14:28:32
order_crs_td12;2023-05-31 16:45:11
order_crs_td13;2023-05-31 18:24:18
order_crs_td14;2023-06-01 12:15:08
order_crs_td15;2023-06-02 07:30:46
order_crs_td16;2023-06-02 11:59:24
order_crs_td17;2023-06-02 14:55:01
order_crs_td18;2023-06-05 09:59:06
order_crs_td19;2023-06-05 13:45:23
order_crs_td20;2023-06-05 15:32:31
order_crs_td21;2023-06-05 16:24:22
order_crs_td22;2023-06-06 11:05:09
order_crs_td23;2023-06-06 12:23:10
order_crs_td24;2023-06-06 13:48:33
order_crs_td25;2023-06-07 08:09:27
order_crs_td26;2023-06-07 08:33:09
order_crs_td27;2023-06-07 11:49:28
order_crs_td29;2023-06-07 16:54:36
order_crs_td30;2023-06-08 09:47:14
order_crs_td28;2023-06-08 10:13:23
order_crs_td31;2023-06-09 10:36:14
order_crs_td32;2023-06-09 16:37:45
order_crs_td33;2023-06-12 14:53:01
order_crs_td34;2023-06-13 08:29:16
order_crs_td35;2023-06-13 14:21:22
order_crs_td36;2023-06-14 11:36:22
order_crs_td37;2023-06-14 14:16:46
order_crs_td39;2023-06-14 15:30:12
order_crs_td38;2023-06-15 08:29:03
order_crs_td41;2023-06-15 10:17:14
order_crs_td40;2023-06-15 11:26:11
order_crs_td42;2023-06-15 15:08:47
order_crs_td43;2023-06-16 09:12:46
order_crs_td44;2023-06-19 09:41:53
order_crs_td45;2023-06-20 10:50:08
order_crs_td47;2023-06-20 15:03:26
order_crs_td46;2023-06-20 16:38:20
order_crs_td48;2023-06-21 11:39:13
order_crs_td49;2023-06-21 15:48:04
order_crs_td51;2023-06-22 09:48:00
order_crs_td50;2023-06-22 10:21:20
order_crs_td52;2023-06-22 10:59:37
order_crs_td53;2023-06-23 07:44:13
order_crs_td55;2023-06-23 09:56:20
order_crs_td56;2023-06-23 14:45:50
order_crs_td54;2023-06-23 15:17:53
order_crs_td57;2023-06-23 17:27:34
order_crs_td58;2023-06-26 17:16:12
order_crs_td59;2023-06-27 09:31:00
order_crs_td62;2023-06-27 14:17:42
order_crs_td61;2023-06-27 14:18:13
order_crs_td60;2023-06-27 14:21:04
order_crs_td63;2023-06-28 11:14:27
order_crs_td64;2023-06-28 14:27:47
order_crs_td65;2023-06-28 17:36:57
order_crs_td66;2023-06-29 09:35:34
order_crs_td67;2023-06-30 11:28:35
order_crs_td68;2023-06-30 12:45:48
order_crs_td70;2023-07-03 10:17:09
order_crs_td69;2023-07-03 10:45:09
order_crs_td71;2023-07-03 16:30:55
order_crs_td72;2023-07-04 10:52:14
order_crs_td74;2023-07-05 08:55:12
order_crs_td75;2023-07-05 11:07:51
order_crs_td73;2023-07-05 11:23:39
order_crs_td76;2023-07-05 14:08:35
order_crs_td77;2023-07-06 11:28:47
order_crs_td78;2023-07-07 09:07:04
order_crs_td79;2023-07-07 09:42:49
order_crs_td80;2023-07-07 17:18:59
order_crs_td81;2023-07-10 07:37:42
order_crs_td82;2023-07-10 10:12:43
