ocel_id;ocel_time
pick_cr8;2023-05-24 17:50:00
pick_cr6;2023-05-27 09:54:44
pick_cr5;2023-05-27 16:44:42
pick_cr4;2023-05-28 06:49:56
pick_cr7;2023-05-28 19:40:00
pick_cr3;2023-05-29 01:50:48
pick_cr13;2023-05-29 07:43:47
pick_cr2;2023-05-29 14:12:57
pick_cr12;2023-05-29 14:39:15
pick_cr11;2023-05-29 15:09:43
pick_cr1;2023-05-29 18:03:06
pick_cr14;2023-05-29 18:08:18
pick_cr16;2023-05-29 21:36:54
pick_cr17;2023-05-30 08:32:35
pick_cr28;2023-05-31 13:41:20
pick_cr33;2023-05-31 16:45:11
pick_cr22;2023-05-31 19:47:08
pick_cr32;2023-05-31 23:18:11
pick_cr26;2023-06-01 00:37:05
pick_cr19;2023-06-01 05:01:53
pick_cr48;2023-06-02 14:55:01
pick_cr27;2023-06-02 16:19:13
pick_cr30;2023-06-02 19:28:02
pick_cr20;2023-06-02 20:12:02
pick_cr10;2023-06-02 20:19:50
pick_cr50;2023-06-02 20:40:42
pick_cr49;2023-06-05 09:34:17
pick_cr43;2023-06-05 10:00:22
pick_cr52;2023-06-05 11:53:42
pick_cr42;2023-06-05 11:54:59
pick_cr38;2023-06-05 13:36:49
pick_cr54;2023-06-05 13:43:04
pick_cr34;2023-06-05 14:25:21
pick_cr35;2023-06-05 14:27:43
pick_cr56;2023-06-06 09:24:02
pick_cr39;2023-06-06 09:32:49
pick_cr51;2023-06-06 09:40:05
pick_cr41;2023-06-06 10:32:22
pick_cr9;2023-06-06 10:32:30
pick_cr29;2023-06-06 10:58:39
pick_cr15;2023-06-06 14:11:18
pick_cr44;2023-06-06 16:20:49
pick_cr69;2023-06-06 16:31:30
pick_cr59;2023-06-06 18:58:36
pick_cr37;2023-06-06 20:00:18
pick_cr71;2023-06-06 20:41:24
pick_cr60;2023-06-07 08:25:12
pick_cr46;2023-06-07 09:11:16
pick_cr75;2023-06-07 09:59:11
pick_cr25;2023-06-07 11:59:59
pick_cr74;2023-06-07 13:34:14
pick_cr82;2023-06-07 14:47:08
pick_cr18;2023-06-07 15:09:05
pick_cr79;2023-06-07 15:10:52
pick_cr101;2023-06-07 17:54:19
pick_cr68;2023-06-08 07:57:20
pick_cr58;2023-06-08 08:48:36
pick_cr94;2023-06-08 09:00:11
pick_cr70;2023-06-08 10:22:56
pick_cr73;2023-06-08 11:40:25
pick_cr65;2023-06-08 11:51:31
pick_cr99;2023-06-08 14:39:57
