ocel_id;ocel_time
stock_cr8;2023-05-25 08:42:28
stock_cr4;2023-05-29 14:17:55
stock_cr3;2023-05-29 14:44:08
stock_cr7;2023-05-29 15:12:39
stock_cr13;2023-05-29 15:51:24
stock_cr6;2023-05-29 15:51:27
stock_cr5;2023-05-29 16:17:54
stock_cr2;2023-05-29 17:26:32
stock_cr12;2023-05-30 08:32:52
stock_cr14;2023-05-30 09:09:09
stock_cr16;2023-05-30 11:22:35
stock_cr17;2023-05-30 14:36:55
stock_cr1;2023-05-30 14:48:47
stock_cr28;2023-05-31 16:08:13
stock_cr22;2023-06-01 11:56:11
stock_cr26;2023-06-01 14:05:38
stock_cr32;2023-06-01 14:07:27
stock_cr19;2023-06-01 14:12:18
stock_cr30;2023-06-05 13:40:12
stock_cr20;2023-06-05 13:50:47
stock_cr50;2023-06-05 14:01:45
stock_cr43;2023-06-05 14:02:02
stock_cr49;2023-06-05 14:27:36
stock_cr10;2023-06-05 14:30:04
stock_cr35;2023-06-06 09:32:34
stock_cr52;2023-06-06 09:34:32
stock_cr42;2023-06-06 09:43:32
stock_cr34;2023-06-06 10:34:48
stock_cr54;2023-06-06 10:39:36
stock_cr38;2023-06-06 14:00:53
stock_cr56;2023-06-06 14:19:52
stock_cr51;2023-06-06 16:23:55
stock_cr9;2023-06-06 16:37:50
stock_cr39;2023-06-06 16:57:12
stock_cr41;2023-06-06 19:16:59
stock_cr15;2023-06-07 08:32:09
stock_cr44;2023-06-07 09:15:37
stock_cr69;2023-06-07 12:02:05
stock_cr75;2023-06-07 13:40:14
stock_cr46;2023-06-07 14:08:11
stock_cr37;2023-06-07 14:50:33
stock_cr71;2023-06-07 15:13:53
stock_cr59;2023-06-07 15:13:55
stock_cr60;2023-06-08 07:32:10
stock_cr82;2023-06-08 08:57:56
stock_cr18;2023-06-08 09:04:25
stock_cr74;2023-06-08 09:06:15
stock_cr25;2023-06-08 10:26:51
stock_cr79;2023-06-08 11:43:26
stock_cr68;2023-06-08 11:59:10
stock_cr70;2023-06-08 14:16:01
stock_cr65;2023-06-08 14:26:56
stock_cr94;2023-06-08 14:50:41
stock_cr58;2023-06-08 14:52:01
stock_cr101;2023-06-08 16:39:32
stock_cr73;2023-06-08 16:42:07
stock_cr81;2023-06-08 16:59:38
stock_cr99;2023-06-08 18:07:05
stock_cr64;2023-06-09 11:59:26
stock_cr95;2023-06-09 13:23:08
stock_cr45;2023-06-09 13:59:15
stock_cr100;2023-06-09 14:11:51
stock_cr78;2023-06-09 14:37:38
stock_cr72;2023-06-09 15:09:04
stock_cr106;2023-06-12 09:20:16
stock_cr76;2023-06-12 11:56:08
stock_cr103;2023-06-12 14:12:23
stock_cr77;2023-06-12 14:20:32
stock_cr84;2023-06-12 14:24:54
stock_cr57;2023-06-12 14:28:41
stock_cr40;2023-06-12 14:57:10
stock_cr112;2023-06-12 19:31:32
stock_cr86;2023-06-13 09:56:08
stock_cr110;2023-06-13 10:59:52
stock_cr53;2023-06-13 11:03:52
stock_cr96;2023-06-13 11:05:09
stock_cr66;2023-06-13 11:23:03
stock_cr61;2023-06-13 13:33:52
stock_cr90;2023-06-13 14:26:56
stock_cr109;2023-06-13 15:39:10
stock_cr63;2023-06-13 16:45:59
stock_cr111;2023-06-13 16:47:39
stock_cr47;2023-06-13 16:53:18
stock_cr85;2023-06-13 16:54:31
stock_cr89;2023-06-13 16:56:35
stock_cr104;2023-06-13 16:59:16
stock_cr87;2023-06-14 10:05:46
stock_cr31;2023-06-14 10:26:47
stock_cr93;2023-06-14 11:28:50
stock_cr80;2023-06-14 14:15:15
stock_cr128;2023-06-14 16:59:43
stock_cr137;2023-06-14 17:47:52
stock_cr136;2023-06-15 11:01:02
stock_cr102;2023-06-15 11:08:04
stock_cr131;2023-06-15 11:09:09
stock_cr142;2023-06-15 14:55:21
stock_cr36;2023-06-15 15:13:42
stock_cr97;2023-06-15 17:30:38
stock_cr130;2023-06-16 07:26:10
stock_cr23;2023-06-16 07:36:42
stock_cr141;2023-06-16 11:58:17
stock_cr146;2023-06-16 13:54:43
stock_cr114;2023-06-16 14:46:39
stock_cr152;2023-06-16 15:02:42
stock_cr62;2023-06-16 16:05:59
stock_cr132;2023-06-16 16:39:56
stock_cr127;2023-06-16 18:49:24
stock_cr24;2023-06-19 07:52:31
stock_cr144;2023-06-19 11:29:14
stock_cr116;2023-06-19 14:03:42
stock_cr145;2023-06-19 14:07:11
stock_cr151;2023-06-19 14:36:14
stock_cr55;2023-06-19 14:48:20
stock_cr138;2023-06-19 14:50:28
stock_cr118;2023-06-19 18:50:54
stock_cr147;2023-06-20 08:36:44
stock_cr125;2023-06-20 09:06:53
stock_cr123;2023-06-20 09:13:40
stock_cr155;2023-06-20 09:17:15
stock_cr83;2023-06-20 11:32:30
stock_cr154;2023-06-20 11:35:15
stock_cr126;2023-06-20 11:41:44
stock_cr129;2023-06-20 13:38:54
stock_cr115;2023-06-20 14:04:16
stock_cr140;2023-06-20 14:58:48
stock_cr122;2023-06-20 17:54:56
stock_cr156;2023-06-21 07:53:46
stock_cr134;2023-06-21 08:22:49
stock_cr149;2023-06-21 08:50:27
stock_cr91;2023-06-21 08:57:49
stock_cr143;2023-06-21 10:07:05
stock_cr124;2023-06-21 10:32:51
stock_cr157;2023-06-21 10:57:18
stock_cr21;2023-06-21 11:22:05
stock_cr121;2023-06-21 11:59:59
stock_cr164;2023-06-21 15:13:57
stock_cr67;2023-06-21 15:57:35
stock_cr168;2023-06-21 16:59:26
stock_cr167;2023-06-21 17:14:56
stock_cr153;2023-06-21 17:27:17
stock_cr150;2023-06-21 17:41:34
stock_cr113;2023-06-21 17:48:36
stock_cr160;2023-06-22 09:25:04
stock_cr171;2023-06-22 09:35:32
stock_cr165;2023-06-22 09:50:50
stock_cr163;2023-06-22 09:59:52
stock_cr175;2023-06-22 12:02:36
stock_cr148;2023-06-22 13:05:06
stock_cr133;2023-06-22 13:10:35
stock_cr98;2023-06-22 13:11:32
stock_cr178;2023-06-22 15:15:32
stock_cr179;2023-06-22 15:34:42
stock_cr180;2023-06-22 16:01:32
stock_cr162;2023-06-22 16:04:44
stock_cr177;2023-06-23 08:53:59
stock_cr119;2023-06-23 09:55:07
stock_cr172;2023-06-23 11:03:19
stock_cr159;2023-06-23 11:25:57
stock_cr88;2023-06-23 11:41:33
stock_cr108;2023-06-26 09:30:51
stock_cr170;2023-06-26 14:58:18
stock_cr195;2023-06-27 08:33:27
stock_cr191;2023-06-27 10:30:16
stock_cr189;2023-06-27 10:33:31
stock_cr187;2023-06-27 13:10:06
stock_cr208;2023-06-27 13:34:05
stock_cr209;2023-06-27 14:46:26
stock_cr193;2023-06-27 14:50:05
stock_cr120;2023-06-27 14:52:08
stock_cr174;2023-06-28 07:16:39
stock_cr202;2023-06-28 07:34:26
stock_cr183;2023-06-28 08:57:33
stock_cr211;2023-06-28 09:53:56
stock_cr192;2023-06-28 10:23:42
stock_cr201;2023-06-28 10:33:39
stock_cr206;2023-06-28 10:41:03
stock_cr166;2023-06-28 13:10:30
stock_cr117;2023-06-28 13:30:04
stock_cr184;2023-06-28 13:49:55
stock_cr182;2023-06-28 14:24:35
stock_cr190;2023-06-28 15:01:31
stock_cr205;2023-06-28 15:56:44
stock_cr169;2023-06-28 16:45:13
stock_cr200;2023-06-28 18:02:18
stock_cr222;2023-06-28 18:20:32
stock_cr105;2023-06-28 18:50:43
stock_cr198;2023-06-28 19:11:29
stock_cr173;2023-06-29 11:46:18
stock_cr181;2023-06-29 14:06:04
stock_cr216;2023-06-29 14:17:11
stock_cr225;2023-06-29 14:42:49
stock_cr210;2023-06-29 14:47:13
stock_cr214;2023-06-29 14:49:34
stock_cr185;2023-06-29 14:50:54
stock_cr158;2023-06-29 14:53:10
stock_cr213;2023-06-29 17:59:04
stock_cr92;2023-06-30 08:58:29
stock_cr220;2023-06-30 09:39:19
stock_cr231;2023-06-30 09:58:13
stock_cr237;2023-06-30 11:57:51
stock_cr215;2023-06-30 13:19:00
stock_cr224;2023-06-30 13:23:24
stock_cr212;2023-06-30 13:48:07
stock_cr221;2023-06-30 14:11:10
stock_cr223;2023-06-30 15:05:46
stock_cr244;2023-06-30 16:01:40
stock_cr246;2023-06-30 16:58:49
stock_cr217;2023-06-30 18:06:44
stock_cr245;2023-07-03 15:54:32
stock_cr243;2023-07-03 15:57:55
stock_cr238;2023-07-03 17:57:43
