ocel_id;ocel_time
reg_co1;2023-05-22 12:17:17
reg_co2;2023-05-22 16:21:51
reg_co3;2023-05-23 08:40:08
reg_co4;2023-05-23 13:17:29
reg_co5;2023-05-23 17:22:15
reg_co6;2023-05-24 10:01:47
reg_co7;2023-05-24 13:50:51
reg_co8;2023-05-24 18:28:59
reg_co9;2023-05-25 11:15:15
reg_co10;2023-05-25 15:17:47
reg_co11;2023-05-25 19:27:56
reg_co12;2023-05-26 13:16:52
reg_co13;2023-05-26 18:58:26
reg_co14;2023-05-29 12:32:37
reg_co15;2023-05-29 16:52:31
reg_co16;2023-05-30 10:02:19
reg_co17;2023-05-30 13:51:55
reg_co18;2023-05-30 18:31:07
reg_co19;2023-05-31 11:19:31
reg_co20;2023-05-31 15:26:19
reg_co21;2023-05-31 19:53:32
reg_co22;2023-06-01 12:37:35
reg_co23;2023-06-01 17:02:27
reg_co24;2023-06-02 09:43:30
reg_co25;2023-06-02 15:51:42
reg_co26;2023-06-05 10:15:11
reg_co27;2023-06-05 14:17:39
reg_co28;2023-06-05 18:22:35
reg_co29;2023-06-06 11:02:27
reg_co30;2023-06-06 14:52:11
reg_co31;2023-06-06 19:31:39
reg_co32;2023-06-07 12:04:46
reg_co33;2023-06-07 15:56:49
reg_co34;2023-06-07 21:25:02
reg_co35;2023-06-08 12:42:19
reg_co36;2023-06-08 17:11:55
reg_co37;2023-06-09 10:06:30
reg_co38;2023-06-09 15:37:42
reg_co39;2023-06-12 09:51:23
reg_co40;2023-06-12 14:30:03
reg_co41;2023-06-12 18:47:23
reg_co42;2023-06-13 11:52:03
reg_co43;2023-06-13 16:31:23
reg_co44;2023-06-14 09:08:44
reg_co45;2023-06-14 13:04:45
reg_co46;2023-06-14 16:56:47
reg_co47;2023-06-15 10:10:51
reg_co48;2023-06-15 14:08:59
reg_co49;2023-06-15 18:05:15
reg_co50;2023-06-16 11:16:01
reg_co51;2023-06-16 16:56:44
reg_co52;2023-06-19 11:05:44
reg_co53;2023-06-19 14:58:45
reg_co54;2023-06-19 19:44:47
reg_co55;2023-06-20 12:24:28
reg_co56;2023-06-20 16:36:13
reg_co57;2023-06-21 09:23:14
reg_co58;2023-06-21 13:33:45
reg_co59;2023-06-21 17:54:47
reg_co60;2023-06-22 11:06:51
reg_co61;2023-06-22 15:00:59
reg_co62;2023-06-22 18:49:15
reg_co63;2023-06-23 13:02:53
reg_co64;2023-06-23 18:30:28
reg_co65;2023-06-26 11:45:05
reg_co66;2023-06-26 16:17:27
reg_co67;2023-06-27 08:26:56
reg_co68;2023-06-27 12:57:41
reg_co69;2023-06-27 17:42:39
reg_co70;2023-06-28 10:42:35
reg_co71;2023-06-28 15:12:27
reg_co72;2023-06-28 19:12:11
reg_co73;2023-06-29 11:35:34
reg_co74;2023-06-29 15:58:25
reg_co75;2023-06-29 21:29:50
reg_co76;2023-06-30 14:24:32
reg_co77;2023-06-30 21:03:00
reg_co78;2023-07-03 12:20:17
reg_co79;2023-07-03 16:27:51
reg_co80;2023-07-04 08:58:08
reg_co81;2023-07-04 13:44:29
reg_co82;2023-07-04 18:16:15
reg_co83;2023-07-05 10:49:47
reg_co84;2023-07-05 15:26:51
reg_co85;2023-07-05 19:55:08
reg_co86;2023-07-06 12:39:59
reg_co87;2023-07-06 17:07:15
reg_co88;2023-07-07 09:55:10
reg_co89;2023-07-07 16:15:02
reg_co90;2023-07-10 09:54:51
reg_co91;2023-07-10 14:36:59
reg_co92;2023-07-10 19:01:15
reg_co93;2023-07-11 11:19:10
reg_co94;2023-07-11 15:25:37
reg_co95;2023-07-11 19:51:26
reg_co96;2023-07-12 12:34:26
reg_co97;2023-07-12 16:56:09
reg_co98;2023-07-13 10:09:35
reg_co99;2023-07-13 14:06:27
reg_co100;2023-07-13 18:00:11
reg_co101;2023-07-14 11:03:43
reg_co102;2023-07-14 16:32:08
reg_co103;2023-07-17 10:23:55
reg_co104;2023-07-17 14:35:07
reg_co105;2023-07-17 18:57:31
reg_co106;2023-07-18 12:12:19
reg_co107;2023-07-18 16:11:55
reg_co108;2023-07-18 21:10:20
reg_co109;2023-07-19 12:27:37
reg_co110;2023-07-19 16:42:31
reg_co111;2023-07-20 09:42:08
reg_co112;2023-07-20 14:11:33
reg_co113;2023-07-20 18:10:23
reg_co114;2023-07-21 11:28:29
reg_co115;2023-07-21 17:21:40
reg_co116;2023-07-24 10:48:07
reg_co117;2023-07-24 15:23:31
reg_co118;2023-07-24 19:45:08
reg_co119;2023-07-25 12:24:59
reg_co120;2023-07-25 16:37:15
reg_co121;2023-07-26 09:26:20
reg_co122;2023-07-26 13:39:57
reg_co123;2023-07-26 18:07:11
reg_co124;2023-07-27 10:31:39
reg_co125;2023-07-27 14:50:35
reg_co126;2023-07-27 19:28:27
reg_co127;2023-07-28 13:17:45
reg_co128;2023-07-28 19:00:12
reg_co129;2023-07-31 11:35:33
reg_co130;2023-07-31 15:58:23
reg_co131;2023-07-31 21:29:44
reg_co132;2023-08-01 12:47:01
reg_co133;2023-08-01 17:21:19
reg_co134;2023-08-02 09:59:55
reg_co135;2023-08-02 14:47:07
reg_co136;2023-08-02 19:21:31
reg_co137;2023-08-03 11:49:34
reg_co138;2023-08-03 16:26:25
reg_co139;2023-08-04 09:05:34
reg_co140;2023-08-04 14:35:50
reg_co141;2023-08-07 08:36:35
reg_co142;2023-08-07 13:12:10
reg_co143;2023-08-07 17:11:37
reg_co144;2023-08-08 09:40:31
reg_co145;2023-08-08 14:08:19
reg_co146;2023-08-08 18:03:55
reg_co147;2023-08-09 10:25:07
reg_co148;2023-08-09 14:37:31
reg_co149;2023-08-09 19:02:19
reg_co150;2023-08-10 11:20:46
reg_co151;2023-08-10 15:28:49
reg_co152;2023-08-10 20:01:02
reg_co153;2023-08-11 13:13:37
reg_co154;2023-08-11 18:51:56
reg_co155;2023-08-14 12:21:34
reg_co156;2023-08-14 16:30:25
reg_co157;2023-08-15 09:05:50
reg_co158;2023-08-15 12:58:57
reg_co159;2023-08-15 17:45:11
reg_co160;2023-08-16 10:47:39
reg_co161;2023-08-16 15:22:35
reg_co162;2023-08-16 19:42:20
reg_co163;2023-08-17 12:20:47
reg_co164;2023-08-17 16:28:51
reg_co165;2023-08-18 09:14:58
reg_co166;2023-08-18 14:54:38
reg_co167;2023-08-21 09:21:42
reg_co168;2023-08-21 13:30:41
reg_co169;2023-08-21 17:48:39
reg_co170;2023-08-22 10:54:35
reg_co171;2023-08-22 15:36:27
reg_co172;2023-08-22 20:23:56
reg_co173;2023-08-23 12:23:11
reg_co174;2023-08-23 16:33:39
reg_co175;2023-08-24 09:15:32
reg_co176;2023-08-24 13:18:21
reg_co177;2023-08-24 17:23:59
reg_co178;2023-08-25 10:35:48
reg_co179;2023-08-25 16:36:18
reg_co180;2023-08-28 10:31:00
reg_co181;2023-08-28 14:49:17
reg_co182;2023-08-28 19:25:51
reg_co183;2023-08-29 11:56:04
reg_co184;2023-08-29 16:39:25
reg_co185;2023-08-30 09:32:50
reg_co186;2023-08-30 13:52:57
reg_co187;2023-08-30 18:33:11
reg_co188;2023-08-31 11:23:39
reg_co189;2023-08-31 15:34:35
reg_co190;2023-08-31 20:18:20
reg_co191;2023-09-01 13:43:16
reg_co192;2023-09-01 19:59:12
reg_co193;2023-09-04 12:55:12
reg_co194;2023-09-04 17:37:41
reg_co195;2023-09-05 10:32:39
reg_co196;2023-09-05 14:52:35
reg_co197;2023-09-05 19:32:27
reg_co198;2023-09-06 12:05:58
reg_co199;2023-09-06 15:59:13
reg_co200;2023-09-06 21:32:14
reg_co201;2023-09-07 12:49:31
reg_co202;2023-09-07 17:26:19
reg_co203;2023-09-08 10:41:28
reg_co204;2023-09-08 16:47:38
reg_co205;2023-09-11 10:50:16
reg_co206;2023-09-11 15:27:49
reg_co207;2023-09-11 19:58:02
reg_co208;2023-09-12 12:44:20
reg_co209;2023-09-12 17:15:57
reg_co210;2023-09-13 09:49:11
reg_co211;2023-09-13 14:25:39
reg_co212;2023-09-13 18:38:35
reg_co213;2023-09-14 11:34:27
reg_co214;2023-09-14 15:56:11
reg_co215;2023-09-14 21:23:08
reg_co216;2023-09-15 14:17:50
reg_co217;2023-09-15 20:42:54
reg_co218;2023-09-18 12:54:12
reg_co219;2023-09-18 17:35:41
reg_co220;2023-09-19 10:28:39
reg_co221;2023-09-19 14:44:35
reg_co222;2023-09-19 19:16:27
reg_co223;2023-09-20 11:41:58
reg_co224;2023-09-20 16:11:13
reg_co225;2023-09-20 21:08:14
reg_co226;2023-09-21 12:25:31
reg_co227;2023-09-21 16:38:19
reg_co228;2023-09-22 09:44:54
reg_co229;2023-09-22 15:54:30
reg_co230;2023-09-25 10:19:56
reg_co231;2023-09-25 14:27:09
reg_co232;2023-09-25 18:41:35
reg_co233;2023-09-26 11:40:27
reg_co234;2023-09-26 16:08:11
reg_co235;2023-09-26 20:59:08
reg_co236;2023-09-27 13:15:59
reg_co237;2023-09-27 17:19:15
reg_co238;2023-09-28 09:55:47
reg_co239;2023-09-28 14:38:51
reg_co240;2023-09-28 19:04:59
reg_co241;2023-09-29 12:37:32
reg_co242;2023-09-29 18:39:46
reg_co243;2023-10-02 12:00:53
reg_co244;2023-10-02 15:49:03
reg_co245;2023-10-02 21:01:44
reg_co246;2023-10-03 12:19:01
reg_co247;2023-10-03 16:25:19
reg_co248;2023-10-04 08:50:32
reg_co249;2023-10-04 13:33:05
reg_co250;2023-10-04 17:53:27
reg_co251;2023-10-05 11:04:11
reg_co252;2023-10-05 14:55:39
reg_co253;2023-10-05 19:38:35
reg_co254;2023-10-06 13:35:08
reg_co255;2023-10-06 19:34:58
reg_co256;2023-10-09 12:22:30
reg_co257;2023-10-09 16:32:17
reg_co258;2023-10-10 09:11:26
reg_co259;2023-10-10 13:10:09
reg_co260;2023-10-10 17:07:35
reg_co261;2023-10-11 09:32:27
reg_co262;2023-10-11 13:52:11
reg_co263;2023-10-11 18:31:39
reg_co264;2023-10-12 11:20:35
reg_co265;2023-10-12 15:28:27
reg_co266;2023-10-12 19:59:56
reg_co267;2023-10-13 14:11:44
reg_co268;2023-10-13 20:24:36
reg_co269;2023-10-16 12:29:30
reg_co270;2023-10-16 16:46:17
reg_co271;2023-10-17 09:49:51
reg_co272;2023-10-17 14:26:59
reg_co273;2023-10-17 18:41:15
reg_co274;2023-10-18 11:39:47
reg_co275;2023-10-18 16:06:51
reg_co276;2023-10-18 20:55:08
reg_co277;2023-10-19 13:09:59
reg_co278;2023-10-19 17:07:15
reg_co279;2023-10-20 09:55:10
reg_co280;2023-10-20 16:15:02
reg_co281;2023-10-23 09:54:51
reg_co282;2023-10-23 14:36:59
reg_co283;2023-10-23 19:01:15
reg_co284;2023-10-24 11:19:10
reg_co285;2023-10-24 15:25:37
reg_co286;2023-10-24 19:51:26
reg_co287;2023-10-25 12:34:26
reg_co288;2023-10-25 16:56:09
reg_co289;2023-10-26 10:09:35
reg_co290;2023-10-26 14:06:27
reg_co291;2023-10-26 18:00:11
reg_co292;2023-10-27 11:03:43
reg_co293;2023-10-27 16:32:08
reg_co294;2023-10-30 10:23:55
reg_co295;2023-10-30 14:35:07
reg_co296;2023-10-30 18:57:31
reg_co297;2023-10-31 12:12:19
reg_co298;2023-10-31 16:11:55
reg_co299;2023-10-31 21:10:20
reg_co300;2023-11-01 12:27:37
reg_co301;2023-11-01 16:42:31
reg_co302;2023-11-02 09:42:08
reg_co303;2023-11-02 14:11:33
reg_co304;2023-11-02 18:10:23
reg_co305;2023-11-03 11:28:29
reg_co306;2023-11-03 17:21:40
reg_co307;2023-11-06 10:48:07
reg_co308;2023-11-06 15:23:31
reg_co309;2023-11-06 19:45:08
reg_co310;2023-11-07 12:24:59
reg_co311;2023-11-07 16:37:15
reg_co312;2023-11-08 09:26:20
reg_co313;2023-11-08 13:39:57
reg_co314;2023-11-08 18:07:11
reg_co315;2023-11-09 10:31:39
reg_co316;2023-11-09 14:50:35
reg_co317;2023-11-09 19:28:27
reg_co318;2023-11-10 13:17:45
reg_co319;2023-11-10 19:00:12
reg_co320;2023-11-13 11:35:33
reg_co321;2023-11-13 15:58:23
reg_co322;2023-11-13 21:29:44
reg_co323;2023-11-14 12:47:01
reg_co324;2023-11-14 17:21:19
reg_co325;2023-11-15 09:59:55
reg_co326;2023-11-15 14:47:07
reg_co327;2023-11-15 19:21:31
reg_co328;2023-11-16 11:49:34
reg_co329;2023-11-16 16:26:25
reg_co330;2023-11-17 09:05:34
reg_co331;2023-11-17 14:35:50
reg_co332;2023-11-20 08:36:35
reg_co333;2023-11-20 13:12:10
reg_co334;2023-11-20 17:11:37
reg_co335;2023-11-21 09:40:31
reg_co336;2023-11-21 14:08:19
reg_co337;2023-11-21 18:03:55
reg_co338;2023-11-22 10:25:07
reg_co339;2023-11-22 14:37:31
reg_co340;2023-11-22 19:02:19
reg_co341;2023-11-23 11:20:46
reg_co342;2023-11-23 15:28:49
reg_co343;2023-11-23 20:01:02
reg_co344;2023-11-24 13:13:37
reg_co345;2023-11-24 18:51:56
reg_co346;2023-11-27 12:21:34
reg_co347;2023-11-27 16:30:25
reg_co348;2023-11-28 09:05:50
reg_co349;2023-11-28 12:58:57
reg_co350;2023-11-28 17:45:11
reg_co351;2023-11-29 10:47:39
reg_co352;2023-11-29 15:22:35
reg_co353;2023-11-29 19:42:20
reg_co354;2023-11-30 12:20:47
reg_co355;2023-11-30 16:28:51
reg_co356;2023-12-01 09:14:58
reg_co357;2023-12-01 14:54:38
reg_co358;2023-12-04 09:21:42
reg_co359;2023-12-04 13:30:41
reg_co360;2023-12-04 17:48:39
reg_co361;2023-12-05 10:54:35
reg_co362;2023-12-05 15:36:27
reg_co363;2023-12-05 20:23:56
reg_co364;2023-12-06 12:23:11
reg_co365;2023-12-06 16:33:39
reg_co366;2023-12-07 09:15:32
reg_co367;2023-12-07 13:18:21
reg_co368;2023-12-07 17:23:59
reg_co369;2023-12-08 10:35:48
reg_co370;2023-12-08 16:36:18
reg_co371;2023-12-11 10:31:00
reg_co372;2023-12-11 14:49:17
reg_co373;2023-12-11 19:25:51
reg_co374;2023-12-12 11:56:04
reg_co375;2023-12-12 16:39:25
reg_co376;2023-12-13 09:32:50
reg_co377;2023-12-13 13:52:57
reg_co378;2023-12-13 18:33:11
reg_co379;2023-12-14 11:23:39
reg_co380;2023-12-14 15:34:35
reg_co381;2023-12-14 20:18:20
reg_co382;2023-12-15 13:43:16
reg_co383;2023-12-15 19:59:12
reg_co384;2023-12-18 12:55:12
reg_co385;2023-12-18 17:37:41
reg_co386;2023-12-19 10:32:39
reg_co387;2023-12-19 14:52:35
reg_co388;2023-12-19 19:32:27
reg_co389;2023-12-20 12:05:58
reg_co390;2023-12-20 15:59:13
reg_co391;2023-12-20 21:32:14
reg_co392;2023-12-21 12:49:31
