ocel_id;ocel_time
resch_cr_cr29;2023-06-06 16:46:06
resch_cr_cr107;2023-06-13 13:03:39
resch_cr_cr199;2023-06-27 14:01:07
resch_cr_cr194;2023-07-04 13:36:17
resch_cr_cr188;2023-07-14 09:53:32
resch_cr_cr235;2023-07-18 14:35:32
resch_cr_cr279;2023-07-18 16:11:23
resch_cr_cr332;2023-08-09 11:00:42
resch_cr_cr387;2023-08-10 15:19:36
resch_cr_cr481;2023-08-14 13:28:48
resch_cr_cr462;2023-08-16 09:55:08
resch_cr_cr463;2023-08-16 11:06:13
resch_cr_cr385;2023-08-17 16:36:35
resch_cr_cr451;2023-08-18 16:21:31
resch_cr_cr414;2023-08-18 16:37:56
resch_cr_cr450;2023-08-21 14:31:49
resch_cr_cr420;2023-08-23 13:40:33
resch_cr_cr553;2023-08-28 08:13:55
resch_cr_cr546;2023-08-28 08:34:59
resch_cr_cr521;2023-08-28 09:55:42
resch_cr_cr554;2023-08-29 07:43:29
resch_cr_cr540;2023-08-29 09:03:20
resch_cr_cr583;2023-08-29 13:29:06
resch_cr_cr591;2023-08-29 14:36:44
resch_cr_cr471;2023-08-29 14:56:59
resch_cr_cr549;2023-08-31 08:13:16
resch_cr_cr468;2023-08-31 11:32:14
resch_cr_cr517;2023-08-31 11:39:17
resch_cr_cr514;2023-08-31 15:57:54
resch_cr_cr515;2023-09-01 09:58:53
resch_cr_cr550;2023-09-01 11:34:32
resch_cr_cr518;2023-09-01 11:44:35
resch_cr_cr475;2023-09-01 14:43:23
resch_cr_cr506;2023-09-01 16:34:26
resch_cr_cr511;2023-09-04 07:41:59
resch_cr_cr573;2023-09-04 10:01:24
resch_cr_cr602;2023-09-04 13:14:59
resch_cr_cr488;2023-09-04 13:43:18
resch_cr_cr530;2023-09-04 17:17:29
resch_cr_cr536;2023-09-04 17:43:33
resch_cr_cr469;2023-09-05 14:59:56
resch_cr_cr628;2023-09-05 15:11:23
resch_cr_cr427;2023-09-05 15:13:12
resch_cr_cr587;2023-09-05 16:52:53
resch_cr_cr616;2023-09-05 19:18:46
resch_cr_cr467;2023-09-06 07:23:30
resch_cr_cr557;2023-09-06 10:52:22
resch_cr_cr610;2023-09-06 11:39:19
resch_cr_cr528;2023-09-06 13:56:09
resch_cr_cr609;2023-09-07 10:22:15
resch_cr_cr508;2023-09-07 13:04:03
resch_cr_cr572;2023-09-07 13:04:46
resch_cr_cr617;2023-09-07 13:14:33
resch_cr_cr615;2023-09-07 13:19:34
resch_cr_cr538;2023-09-08 09:59:52
