ocel_id;ocel_time
weigh_cr8;2023-05-25 08:39:57
weigh_cr4;2023-05-29 14:13:32
weigh_cr3;2023-05-29 14:43:14
weigh_cr7;2023-05-29 15:11:13
weigh_cr6;2023-05-29 15:49:38
weigh_cr13;2023-05-29 15:50:43
weigh_cr5;2023-05-29 16:15:05
weigh_cr2;2023-05-29 17:19:02
weigh_cr12;2023-05-30 08:24:16
weigh_cr14;2023-05-30 09:06:53
weigh_cr11;2023-05-30 09:21:38
weigh_cr16;2023-05-30 11:19:45
weigh_cr17;2023-05-30 14:34:54
weigh_cr1;2023-05-30 14:48:00
weigh_cr28;2023-05-31 16:05:52
weigh_cr33;2023-06-01 09:43:28
weigh_cr22;2023-06-01 11:51:57
weigh_cr26;2023-06-01 14:04:09
weigh_cr32;2023-06-01 14:06:36
weigh_cr19;2023-06-01 14:10:22
weigh_cr48;2023-06-05 09:36:31
weigh_cr27;2023-06-05 10:01:10
weigh_cr43;2023-06-05 11:59:22
weigh_cr50;2023-06-05 11:59:56
weigh_cr30;2023-06-05 13:38:14
weigh_cr20;2023-06-05 13:49:19
weigh_cr49;2023-06-05 14:26:51
weigh_cr10;2023-06-05 14:28:18
weigh_cr35;2023-06-06 09:27:41
weigh_cr52;2023-06-06 09:33:41
weigh_cr42;2023-06-06 09:40:52
weigh_cr34;2023-06-06 10:33:43
weigh_cr54;2023-06-06 10:37:41
weigh_cr38;2023-06-06 11:58:50
weigh_cr56;2023-06-06 14:16:28
weigh_cr51;2023-06-06 16:21:28
weigh_cr9;2023-06-06 16:33:14
weigh_cr29;2023-06-06 16:39:24
weigh_cr39;2023-06-06 16:56:25
weigh_cr41;2023-06-06 17:55:21
weigh_cr15;2023-06-07 08:29:29
weigh_cr44;2023-06-07 09:13:31
weigh_cr69;2023-06-07 10:59:50
weigh_cr75;2023-06-07 13:37:04
weigh_cr46;2023-06-07 14:07:24
weigh_cr37;2023-06-07 14:49:32
weigh_cr59;2023-06-07 15:09:39
weigh_cr71;2023-06-07 15:12:09
weigh_cr60;2023-06-07 19:28:04
weigh_cr18;2023-06-08 07:59:45
weigh_cr82;2023-06-08 08:50:26
weigh_cr74;2023-06-08 09:03:17
weigh_cr25;2023-06-08 10:23:32
weigh_cr79;2023-06-08 11:42:07
weigh_cr68;2023-06-08 11:55:54
weigh_cr70;2023-06-08 14:14:24
weigh_cr65;2023-06-08 14:23:25
weigh_cr94;2023-06-08 14:46:30
weigh_cr58;2023-06-08 14:49:50
weigh_cr73;2023-06-08 16:36:57
weigh_cr101;2023-06-08 16:38:43
weigh_cr81;2023-06-08 16:55:53
weigh_cr99;2023-06-08 16:59:03
