ocel_event_id;ocel_object_id;ocel_qualifier
reg_co1;co1;registered CO
reg_co2;co2;registered CO
reg_co3;co3;registered CO
create_td1;co2;TD created for CO
create_td1;td1;created TD
book_vehs_td1;td1;VHs booked for TD
book_vehs_td1;vh4;booked VHs
create_td2;co3;TD created for CO
create_td2;td2;created TD
order_crs_td1;td1;ordered for TD
order_crs_td1;cr1;CRs ordered
order_crs_td1;cr2;CRs ordered
order_crs_td1;cr3;CRs ordered
order_crs_td1;cr4;CRs ordered
order_crs_td1;cr5;CRs ordered
book_vehs_td2;td2;VHs booked for TD
book_vehs_td2;vh3;booked VHs
reg_co4;co4;registered CO
order_crs_td2;td2;ordered for TD
order_crs_td2;cr6;CRs ordered
order_crs_td2;cr7;CRs ordered
order_crs_td2;cr8;CRs ordered
reg_co5;co5;registered CO
reg_co6;co6;registered CO
reg_co7;co7;registered CO
collect_hu1;hu1;HU collected
pick_cr8;cr8;CR picked
reg_co8;co8;registered CO
load_truck_hu1;hu1;HU loaded
load_truck_hu1;cr8;CR laded
load_truck_hu1;tr3;TR laded
drive_term_cr8;cr8;CR moved
drive_term_cr8;tr3;TR moved
weigh_cr8;cr8;CR weighted
weigh_cr8;fl2;FL weighing
stock_cr8;cr8;CR stored
stock_cr8;fl2;FL moved
reg_co9;co9;registered CO
reg_co10;co10;registered CO
reg_co11;co11;registered CO
create_td3;co7;TD created for CO
create_td3;td3;created TD
reg_co12;co12;registered CO
book_vehs_td3;td3;VHs booked for TD
book_vehs_td3;vh7;booked VHs
create_td4;co1;TD created for CO
create_td4;td4;created TD
order_crs_td3;td3;ordered for TD
order_crs_td3;cr9;CRs ordered
order_crs_td3;cr10;CRs ordered
book_vehs_td4;td4;VHs booked for TD
book_vehs_td4;vh1;booked VHs
book_vehs_td4;vh2;booked VHs
reg_co13;co13;registered CO
pick_cr6;cr6;CR picked
collect_hu5;hu5;HU collected
pick_cr5;cr5;CR picked
pick_cr4;cr4;CR picked
pick_cr7;cr7;CR picked
pick_cr3;cr3;CR picked
order_crs_td4;td4;ordered for TD
order_crs_td4;cr11;CRs ordered
order_crs_td4;cr12;CRs ordered
order_crs_td4;cr13;CRs ordered
order_crs_td4;cr14;CRs ordered
pick_cr13;cr13;CR picked
collect_hu19;hu19;HU collected
collect_hu30;hu30;HU collected
collect_hu9;hu9;HU collected
collect_hu24;hu24;HU collected
collect_hu15;hu15;HU collected
load_truck_hu19;hu19;HU loaded
load_truck_hu19;cr7;CR laded
load_truck_hu19;tr3;TR laded
load_truck_hu9;hu9;HU loaded
load_truck_hu9;cr5;CR laded
load_truck_hu9;tr2;TR laded
load_truck_hu24;hu24;HU loaded
load_truck_hu24;cr3;CR laded
load_truck_hu24;tr1;TR laded
collect_hu28;hu28;HU collected
collect_hu25;hu25;HU collected
collect_hu4;hu4;HU collected
load_truck_hu25;hu25;HU loaded
load_truck_hu25;cr3;CR laded
load_truck_hu25;tr1;TR laded
collect_hu32;hu32;HU collected
load_truck_hu28;hu28;HU loaded
load_truck_hu28;cr13;CR laded
load_truck_hu28;tr5;TR laded
load_truck_hu30;hu30;HU loaded
load_truck_hu30;cr13;CR laded
load_truck_hu30;tr5;TR laded
collect_hu17;hu17;HU collected
load_truck_hu32;hu32;HU loaded
load_truck_hu32;cr13;CR laded
load_truck_hu32;tr5;TR laded
load_truck_hu15;hu15;HU loaded
load_truck_hu15;cr4;CR laded
load_truck_hu15;tr4;TR laded
load_truck_hu5;hu5;HU loaded
load_truck_hu5;cr6;CR laded
load_truck_hu5;tr6;TR laded
load_truck_hu4;hu4;HU loaded
load_truck_hu4;cr6;CR laded
load_truck_hu4;tr6;TR laded
create_td5;co13;TD created for CO
create_td5;td5;created TD
book_vehs_td5;td5;VHs booked for TD
book_vehs_td5;vh2;booked VHs
book_vehs_td5;vh7;booked VHs
load_truck_hu17;hu17;HU loaded
load_truck_hu17;cr7;CR laded
load_truck_hu17;tr3;TR laded
collect_hu20;hu20;HU collected
collect_hu29;hu29;HU collected
load_truck_hu20;hu20;HU loaded
load_truck_hu20;cr7;CR laded
load_truck_hu20;tr3;TR laded
load_truck_hu29;hu29;HU loaded
load_truck_hu29;cr13;CR laded
load_truck_hu29;tr5;TR laded
collect_hu31;hu31;HU collected
load_truck_hu31;hu31;HU loaded
load_truck_hu31;cr13;CR laded
load_truck_hu31;tr5;TR laded
collect_hu21;hu21;HU collected
load_truck_hu21;hu21;HU loaded
load_truck_hu21;cr7;CR laded
load_truck_hu21;tr3;TR laded
collect_hu2;hu2;HU collected
collect_hu14;hu14;HU collected
load_truck_hu2;hu2;HU loaded
load_truck_hu2;cr6;CR laded
load_truck_hu2;tr6;TR laded
collect_hu3;hu3;HU collected
load_truck_hu14;hu14;HU loaded
load_truck_hu14;cr4;CR laded
load_truck_hu14;tr4;TR laded
collect_hu7;hu7;HU collected
collect_hu16;hu16;HU collected
load_truck_hu3;hu3;HU loaded
load_truck_hu3;cr6;CR laded
load_truck_hu3;tr6;TR laded
load_truck_hu7;hu7;HU loaded
load_truck_hu7;cr6;CR laded
load_truck_hu7;tr6;TR laded
collect_hu13;hu13;HU collected
load_truck_hu16;hu16;HU loaded
load_truck_hu16;cr7;CR laded
load_truck_hu16;tr3;TR laded
load_truck_hu13;hu13;HU loaded
load_truck_hu13;cr4;CR laded
load_truck_hu13;tr4;TR laded
collect_hu23;hu23;HU collected
collect_hu12;hu12;HU collected
load_truck_hu23;hu23;HU loaded
load_truck_hu23;cr3;CR laded
load_truck_hu23;tr1;TR laded
collect_hu26;hu26;HU collected
load_truck_hu12;hu12;HU loaded
load_truck_hu12;cr4;CR laded
load_truck_hu12;tr4;TR laded
load_truck_hu26;hu26;HU loaded
load_truck_hu26;cr3;CR laded
load_truck_hu26;tr1;TR laded
collect_hu22;hu22;HU collected
load_truck_hu22;hu22;HU loaded
load_truck_hu22;cr3;CR laded
load_truck_hu22;tr1;TR laded
collect_hu27;hu27;HU collected
collect_hu10;hu10;HU collected
load_truck_hu27;hu27;HU loaded
load_truck_hu27;cr3;CR laded
load_truck_hu27;tr1;TR laded
collect_hu11;hu11;HU collected
load_truck_hu10;hu10;HU loaded
load_truck_hu10;cr4;CR laded
load_truck_hu10;tr4;TR laded
collect_hu8;hu8;HU collected
load_truck_hu11;hu11;HU loaded
load_truck_hu11;cr4;CR laded
load_truck_hu11;tr4;TR laded
reg_co14;co14;registered CO
order_crs_td5;td5;ordered for TD
order_crs_td5;cr16;CRs ordered
order_crs_td5;cr15;CRs ordered
load_truck_hu8;hu8;HU loaded
load_truck_hu8;cr5;CR laded
load_truck_hu8;tr2;TR laded
collect_hu18;hu18;HU collected
collect_hu6;hu6;HU collected
load_truck_hu18;hu18;HU loaded
load_truck_hu18;cr7;CR laded
load_truck_hu18;tr3;TR laded
collect_hu33;hu33;HU collected
load_truck_hu6;hu6;HU loaded
load_truck_hu6;cr6;CR laded
load_truck_hu6;tr6;TR laded
drive_term_cr4;cr4;CR moved
drive_term_cr4;tr4;TR moved
pick_cr2;cr2;CR picked
weigh_cr4;cr4;CR weighted
weigh_cr4;fl2;FL weighing
stock_cr4;cr4;CR stored
stock_cr4;fl2;FL moved
create_td6;co14;TD created for CO
create_td6;td6;created TD
drive_term_cr3;cr3;CR moved
drive_term_cr3;tr1;TR moved
pick_cr12;cr12;CR picked
weigh_cr3;cr3;CR weighted
weigh_cr3;fl3;FL weighing
stock_cr3;cr3;CR stored
stock_cr3;fl3;FL moved
collect_hu35;hu35;HU collected
load_truck_hu33;hu33;HU loaded
load_truck_hu33;cr13;CR laded
load_truck_hu33;tr5;TR laded
collect_hu40;hu40;HU collected
load_truck_hu35;hu35;HU loaded
load_truck_hu35;cr2;CR laded
load_truck_hu35;tr4;TR laded
collect_hu39;hu39;HU collected
drive_term_cr7;cr7;CR moved
drive_term_cr7;tr3;TR moved
pick_cr11;cr11;CR picked
weigh_cr7;cr7;CR weighted
weigh_cr7;fl3;FL weighing
load_truck_hu39;hu39;HU loaded
load_truck_hu39;cr2;CR laded
load_truck_hu39;tr4;TR laded
collect_hu48;hu48;HU collected
stock_cr7;cr7;CR stored
stock_cr7;fl3;FL moved
collect_hu34;hu34;HU collected
collect_hu47;hu47;HU collected
load_truck_hu34;hu34;HU loaded
load_truck_hu34;cr2;CR laded
load_truck_hu34;tr4;TR laded
collect_hu37;hu37;HU collected
load_truck_hu37;hu37;HU loaded
load_truck_hu37;cr2;CR laded
load_truck_hu37;tr4;TR laded
collect_hu36;hu36;HU collected
load_truck_hu36;hu36;HU loaded
load_truck_hu36;cr2;CR laded
load_truck_hu36;tr4;TR laded
collect_hu41;hu41;HU collected
load_truck_hu48;hu48;HU loaded
load_truck_hu48;cr11;CR laded
load_truck_hu48;tr3;TR laded
load_truck_hu47;hu47;HU loaded
load_truck_hu47;cr11;CR laded
load_truck_hu47;tr3;TR laded
collect_hu43;hu43;HU collected
collect_hu45;hu45;HU collected
collect_hu51;hu51;HU collected
book_vehs_td6;td6;VHs booked for TD
book_vehs_td6;vh7;booked VHs
drive_term_cr6;cr6;CR moved
drive_term_cr6;tr6;TR moved
collect_hu50;hu50;HU collected
load_truck_hu51;hu51;HU loaded
load_truck_hu51;cr11;CR laded
load_truck_hu51;tr3;TR laded
weigh_cr6;cr6;CR weighted
weigh_cr6;fl2;FL weighing
collect_hu38;hu38;HU collected
drive_term_cr13;cr13;CR moved
drive_term_cr13;tr5;TR moved
load_truck_hu50;hu50;HU loaded
load_truck_hu50;cr11;CR laded
load_truck_hu50;tr3;TR laded
weigh_cr13;cr13;CR weighted
weigh_cr13;fl1;FL weighing
stock_cr13;cr13;CR stored
stock_cr13;fl1;FL moved
stock_cr6;cr6;CR stored
stock_cr6;fl2;FL moved
collect_hu49;hu49;HU collected
load_truck_hu38;hu38;HU loaded
load_truck_hu38;cr2;CR laded
load_truck_hu38;tr4;TR laded
drive_term_cr5;cr5;CR moved
drive_term_cr5;tr2;TR moved
weigh_cr5;cr5;CR weighted
weigh_cr5;fl3;FL weighing
stock_cr5;cr5;CR stored
stock_cr5;fl3;FL moved
load_truck_hu41;hu41;HU loaded
load_truck_hu41;cr12;CR laded
load_truck_hu41;tr1;TR laded
load_truck_hu43;hu43;HU loaded
load_truck_hu43;cr12;CR laded
load_truck_hu43;tr1;TR laded
load_truck_hu40;hu40;HU loaded
load_truck_hu40;cr12;CR laded
load_truck_hu40;tr1;TR laded
load_truck_hu45;hu45;HU loaded
load_truck_hu45;cr12;CR laded
load_truck_hu45;tr1;TR laded
reg_co15;co15;registered CO
load_truck_hu49;hu49;HU loaded
load_truck_hu49;cr11;CR laded
load_truck_hu49;tr3;TR laded
collect_hu44;hu44;HU collected
load_truck_hu44;hu44;HU loaded
load_truck_hu44;cr12;CR laded
load_truck_hu44;tr1;TR laded
collect_hu42;hu42;HU collected
drive_term_cr2;cr2;CR moved
drive_term_cr2;tr4;TR moved
weigh_cr2;cr2;CR weighted
weigh_cr2;fl1;FL weighing
stock_cr2;cr2;CR stored
stock_cr2;fl1;FL moved
order_crs_td6;td6;ordered for TD
order_crs_td6;cr17;CRs ordered
order_crs_td6;cr18;CRs ordered
pick_cr1;cr1;CR picked
pick_cr14;cr14;CR picked
load_truck_hu42;hu42;HU loaded
load_truck_hu42;cr12;CR laded
load_truck_hu42;tr1;TR laded
collect_hu55;hu55;HU collected
pick_cr16;cr16;CR picked
collect_hu59;hu59;HU collected
collect_hu52;hu52;HU collected
collect_hu63;hu63;HU collected
collect_hu58;hu58;HU collected
load_truck_hu58;hu58;HU loaded
load_truck_hu58;cr14;CR laded
load_truck_hu58;tr4;TR laded
collect_hu56;hu56;HU collected
collect_hu46;hu46;HU collected
load_truck_hu46;hu46;HU loaded
load_truck_hu46;cr11;CR laded
load_truck_hu46;tr3;TR laded
collect_hu61;hu61;HU collected
collect_hu54;hu54;HU collected
drive_term_cr12;cr12;CR moved
drive_term_cr12;tr1;TR moved
load_truck_hu61;hu61;HU loaded
load_truck_hu61;cr16;CR laded
load_truck_hu61;tr2;TR laded
load_truck_hu59;hu59;HU loaded
load_truck_hu59;cr16;CR laded
load_truck_hu59;tr2;TR laded
load_truck_hu63;hu63;HU loaded
load_truck_hu63;cr16;CR laded
load_truck_hu63;tr2;TR laded
weigh_cr12;cr12;CR weighted
weigh_cr12;fl3;FL weighing
pick_cr17;cr17;CR picked
stock_cr12;cr12;CR stored
stock_cr12;fl3;FL moved
create_td7;co9;TD created for CO
create_td7;td7;created TD
collect_hu67;hu67;HU collected
drive_term_cr14;cr14;CR moved
drive_term_cr14;tr4;TR moved
weigh_cr14;cr14;CR weighted
weigh_cr14;fl3;FL weighing
stock_cr14;cr14;CR stored
stock_cr14;fl3;FL moved
load_truck_hu56;hu56;HU loaded
load_truck_hu56;cr1;CR laded
load_truck_hu56;tr6;TR laded
load_truck_hu52;hu52;HU loaded
load_truck_hu52;cr1;CR laded
load_truck_hu52;tr6;TR laded
drive_term_cr11;cr11;CR moved
drive_term_cr11;tr3;TR moved
load_truck_hu55;hu55;HU loaded
load_truck_hu55;cr1;CR laded
load_truck_hu55;tr6;TR laded
weigh_cr11;cr11;CR weighted
weigh_cr11;fl3;FL weighing
load_truck_hu54;hu54;HU loaded
load_truck_hu54;cr1;CR laded
load_truck_hu54;tr6;TR laded
to_bay_cr11;cr11;CR brought to bay
to_bay_cr11;fl3;FL moved
load_veh_cr11;cr11;CR loaded
load_veh_cr11;fl3;FL moved
load_veh_cr11;vh1;VH laded
collect_hu60;hu60;HU collected
load_truck_hu67;hu67;HU loaded
load_truck_hu67;cr17;CR laded
load_truck_hu67;tr5;TR laded
load_truck_hu60;hu60;HU loaded
load_truck_hu60;cr16;CR laded
load_truck_hu60;tr2;TR laded
collect_hu62;hu62;HU collected
reg_co16;co16;registered CO
book_vehs_td7;td7;VHs booked for TD
book_vehs_td7;vh5;booked VHs
collect_hu66;hu66;HU collected
depart_vh1;vh1;VH departed
depart_vh1;cr11;CR departed
depart_vh1;td4;TD with CR departure
load_truck_hu62;hu62;HU loaded
load_truck_hu62;cr16;CR laded
load_truck_hu62;tr2;TR laded
drive_term_cr16;cr16;CR moved
drive_term_cr16;tr2;TR moved
weigh_cr16;cr16;CR weighted
weigh_cr16;fl3;FL weighing
stock_cr16;cr16;CR stored
stock_cr16;fl3;FL moved
load_truck_hu66;hu66;HU loaded
load_truck_hu66;cr17;CR laded
load_truck_hu66;tr5;TR laded
collect_hu65;hu65;HU collected
collect_hu69;hu69;HU collected
load_truck_hu65;hu65;HU loaded
load_truck_hu65;cr17;CR laded
load_truck_hu65;tr5;TR laded
collect_hu68;hu68;HU collected
load_truck_hu69;hu69;HU loaded
load_truck_hu69;cr17;CR laded
load_truck_hu69;tr5;TR laded
collect_hu64;hu64;HU collected
load_truck_hu68;hu68;HU loaded
load_truck_hu68;cr17;CR laded
load_truck_hu68;tr5;TR laded
collect_hu57;hu57;HU collected
load_truck_hu64;hu64;HU loaded
load_truck_hu64;cr17;CR laded
load_truck_hu64;tr5;TR laded
load_truck_hu57;hu57;HU loaded
load_truck_hu57;cr1;CR laded
load_truck_hu57;tr6;TR laded
collect_hu53;hu53;HU collected
load_truck_hu53;hu53;HU loaded
load_truck_hu53;cr1;CR laded
load_truck_hu53;tr6;TR laded
reg_co17;co17;registered CO
drive_term_cr17;cr17;CR moved
drive_term_cr17;tr5;TR moved
weigh_cr17;cr17;CR weighted
weigh_cr17;fl3;FL weighing
stock_cr17;cr17;CR stored
stock_cr17;fl3;FL moved
create_td8;co8;TD created for CO
create_td8;td8;created TD
drive_term_cr1;cr1;CR moved
drive_term_cr1;tr6;TR moved
order_crs_td7;td7;ordered for TD
order_crs_td7;cr19;CRs ordered
order_crs_td7;cr20;CRs ordered
weigh_cr1;cr1;CR weighted
weigh_cr1;fl1;FL weighing
stock_cr1;cr1;CR stored
stock_cr1;fl1;FL moved
create_td9;co5;TD created for CO
create_td9;td9;created TD
book_vehs_td8;td8;VHs booked for TD
book_vehs_td8;vh9;booked VHs
create_td10;co16;TD created for CO
create_td10;td10;created TD
book_vehs_td9;td9;VHs booked for TD
book_vehs_td9;vh7;booked VHs
reg_co18;co18;registered CO
book_vehs_td10;td10;VHs booked for TD
book_vehs_td10;vh3;booked VHs
create_td11;co11;TD created for CO
create_td11;td11;created TD
book_vehs_td11;td11;VHs booked for TD
book_vehs_td11;vh7;booked VHs
order_crs_td9;td9;ordered for TD
order_crs_td9;cr24;CRs ordered
order_crs_td9;cr25;CRs ordered
order_crs_td8;td8;ordered for TD
order_crs_td8;cr21;CRs ordered
order_crs_td8;cr22;CRs ordered
order_crs_td8;cr23;CRs ordered
reg_co19;co19;registered CO
create_td12;co12;TD created for CO
create_td12;td12;created TD
create_td13;co4;TD created for CO
create_td13;td13;created TD
order_crs_td10;td10;ordered for TD
order_crs_td10;cr26;CRs ordered
order_crs_td10;cr27;CRs ordered
order_crs_td10;cr28;CRs ordered
order_crs_td10;cr29;CRs ordered
collect_hu70;hu70;HU collected
pick_cr28;cr28;CR picked
collect_hu75;hu75;HU collected
collect_hu73;hu73;HU collected
collect_hu72;hu72;HU collected
collect_hu71;hu71;HU collected
collect_hu74;hu74;HU collected
order_crs_td11;td11;ordered for TD
order_crs_td11;cr30;CRs ordered
order_crs_td11;cr31;CRs ordered
book_vehs_td12;td12;VHs booked for TD
book_vehs_td12;vh2;booked VHs
book_vehs_td12;vh7;booked VHs
book_vehs_td13;td13;VHs booked for TD
book_vehs_td13;vh9;booked VHs
load_truck_hu70;hu70;HU loaded
load_truck_hu70;cr28;CR laded
load_truck_hu70;tr3;TR laded
load_truck_hu71;hu71;HU loaded
load_truck_hu71;cr28;CR laded
load_truck_hu71;tr3;TR laded
load_truck_hu75;hu75;HU loaded
load_truck_hu75;cr28;CR laded
load_truck_hu75;tr3;TR laded
load_truck_hu72;hu72;HU loaded
load_truck_hu72;cr28;CR laded
load_truck_hu72;tr3;TR laded
load_truck_hu74;hu74;HU loaded
load_truck_hu74;cr28;CR laded
load_truck_hu74;tr3;TR laded
load_truck_hu73;hu73;HU loaded
load_truck_hu73;cr28;CR laded
load_truck_hu73;tr3;TR laded
reg_co20;co20;registered CO
drive_term_cr28;cr28;CR moved
drive_term_cr28;tr3;TR moved
weigh_cr28;cr28;CR weighted
weigh_cr28;fl2;FL weighing
stock_cr28;cr28;CR stored
stock_cr28;fl2;FL moved
order_crs_td12;td12;ordered for TD
order_crs_td12;cr33;CRs ordered
order_crs_td12;cr32;CRs ordered
order_crs_td12;cr34;CRs ordered
collect_hu79;hu79;HU collected
pick_cr33;cr33;CR picked
collect_hu80;hu80;HU collected
collect_hu77;hu77;HU collected
collect_hu78;hu78;HU collected
collect_hu76;hu76;HU collected
collect_hu81;hu81;HU collected
load_truck_hu80;hu80;HU loaded
load_truck_hu80;cr33;CR laded
load_truck_hu80;tr6;TR laded
order_crs_td13;td13;ordered for TD
order_crs_td13;cr35;CRs ordered
order_crs_td13;cr36;CRs ordered
load_truck_hu77;hu77;HU loaded
load_truck_hu77;cr33;CR laded
load_truck_hu77;tr6;TR laded
load_truck_hu79;hu79;HU loaded
load_truck_hu79;cr33;CR laded
load_truck_hu79;tr6;TR laded
collect_hu87;hu87;HU collected
pick_cr22;cr22;CR picked
reg_co21;co21;registered CO
pick_cr32;cr32;CR picked
pick_cr26;cr26;CR picked
pick_cr19;cr19;CR picked
to_bay_cr16;cr16;CR brought to bay
to_bay_cr16;fl2;FL moved
to_bay_cr13;cr13;CR brought to bay
to_bay_cr13;fl1;FL moved
load_veh_cr16;cr16;CR loaded
load_veh_cr16;fl2;FL moved
load_veh_cr16;vh2;VH laded
to_bay_cr12;cr12;CR brought to bay
to_bay_cr12;fl3;FL moved
to_bay_cr14;cr14;CR brought to bay
to_bay_cr14;fl2;FL moved
load_veh_cr13;cr13;CR loaded
load_veh_cr13;fl1;FL moved
load_veh_cr13;vh2;VH laded
load_veh_cr12;cr12;CR loaded
load_veh_cr12;fl3;FL moved
load_veh_cr12;vh2;VH laded
load_veh_cr14;cr14;CR loaded
load_veh_cr14;fl2;FL moved
load_veh_cr14;vh2;VH laded
collect_hu85;hu85;HU collected
load_truck_hu76;hu76;HU loaded
load_truck_hu76;cr33;CR laded
load_truck_hu76;tr6;TR laded
load_truck_hu78;hu78;HU loaded
load_truck_hu78;cr33;CR laded
load_truck_hu78;tr6;TR laded
load_truck_hu81;hu81;HU loaded
load_truck_hu81;cr33;CR laded
load_truck_hu81;tr6;TR laded
collect_hu84;hu84;HU collected
collect_hu96;hu96;HU collected
create_td14;co6;TD created for CO
create_td14;td14;created TD
drive_term_cr33;cr33;CR moved
drive_term_cr33;tr6;TR moved
weigh_cr33;cr33;CR weighted
weigh_cr33;fl2;FL weighing
to_bay_cr33;cr33;CR brought to bay
to_bay_cr33;fl2;FL moved
load_veh_cr33;cr33;CR loaded
load_veh_cr33;fl2;FL moved
load_veh_cr33;vh2;VH laded
load_truck_hu96;hu96;HU loaded
