ocel_id;ocel_type
fl3;Forklift
tr5;Truck
tr4;Truck
fl1;Forklift
fl2;Forklift
tr1;Truck
tr3;Truck
tr6;Truck
tr2;Truck
co1;Customer Order
co2;Customer Order
co3;Customer Order
td1;Transport Document
td2;Transport Document
co4;Customer Order
co5;Customer Order
co6;Customer Order
co7;Customer Order
hu1;Handling Unit
cr8;Container
co8;Customer Order
co9;Customer Order
co10;Customer Order
co11;Customer Order
td3;Transport Document
co12;Customer Order
td4;Transport Document
co13;Customer Order
cr6;Container
hu5;Handling Unit
cr5;Container
cr4;Container
cr7;Container
cr3;Container
cr13;Container
hu19;Handling Unit
hu30;Handling Unit
hu9;Handling Unit
hu24;Handling Unit
hu15;Handling Unit
hu28;Handling Unit
hu25;Handling Unit
hu4;Handling Unit
hu32;Handling Unit
hu17;Handling Unit
td5;Transport Document
hu20;Handling Unit
hu29;Handling Unit
hu31;Handling Unit
hu21;Handling Unit
hu2;Handling Unit
hu14;Handling Unit
hu3;Handling Unit
hu7;Handling Unit
hu16;Handling Unit
hu13;Handling Unit
hu23;Handling Unit
hu12;Handling Unit
hu26;Handling Unit
hu22;Handling Unit
hu27;Handling Unit
hu10;Handling Unit
hu11;Handling Unit
hu8;Handling Unit
co14;Customer Order
hu18;Handling Unit
hu6;Handling Unit
hu33;Handling Unit
cr2;Container
td6;Transport Document
cr12;Container
hu35;Handling Unit
hu40;Handling Unit
hu39;Handling Unit
cr11;Container
hu48;Handling Unit
hu34;Handling Unit
hu47;Handling Unit
hu37;Handling Unit
hu36;Handling Unit
hu41;Handling Unit
hu43;Handling Unit
hu45;Handling Unit
hu51;Handling Unit
hu50;Handling Unit
hu38;Handling Unit
hu49;Handling Unit
co15;Customer Order
hu44;Handling Unit
hu42;Handling Unit
cr1;Container
cr14;Container
hu55;Handling Unit
cr16;Container
hu59;Handling Unit
hu52;Handling Unit
hu63;Handling Unit
hu58;Handling Unit
hu56;Handling Unit
hu46;Handling Unit
hu61;Handling Unit
hu54;Handling Unit
cr17;Container
td7;Transport Document
hu67;Handling Unit
hu60;Handling Unit
hu62;Handling Unit
co16;Customer Order
hu66;Handling Unit
vh1;Vehicle
hu65;Handling Unit
hu69;Handling Unit
hu68;Handling Unit
hu64;Handling Unit
hu57;Handling Unit
hu53;Handling Unit
co17;Customer Order
td8;Transport Document
td9;Transport Document
td10;Transport Document
co18;Customer Order
td11;Transport Document
co19;Customer Order
td12;Transport Document
td13;Transport Document
hu70;Handling Unit
cr28;Container
hu75;Handling Unit
hu73;Handling Unit
hu72;Handling Unit
hu71;Handling Unit
hu74;Handling Unit
co20;Customer Order
hu79;Handling Unit
cr33;Container
hu80;Handling Unit
hu77;Handling Unit
hu78;Handling Unit
hu76;Handling Unit
hu81;Handling Unit
hu87;Handling Unit
cr22;Container
co21;Customer Order
cr32;Container
cr26;Container
cr19;Container
hu85;Handling Unit
hu84;Handling Unit
hu96;Handling Unit
td14;Transport Document
hu99;Handling Unit
hu100;Handling Unit
hu98;Handling Unit
hu83;Handling Unit
hu90;Handling Unit
hu104;Handling Unit
hu103;Handling Unit
hu95;Handling Unit
hu86;Handling Unit
hu97;Handling Unit
hu88;Handling Unit
hu94;Handling Unit
hu82;Handling Unit
hu92;Handling Unit
hu89;Handling Unit
hu105;Handling Unit
hu102;Handling Unit
hu91;Handling Unit
hu101;Handling Unit
hu93;Handling Unit
co22;Customer Order
td15;Transport Document
td16;Transport Document
co23;Customer Order
co24;Customer Order
vh2;Vehicle
td17;Transport Document
hu109;Handling Unit
cr48;Container
hu111;Handling Unit
co25;Customer Order
hu106;Handling Unit
hu108;Handling Unit
hu110;Handling Unit
hu107;Handling Unit
hu113;Handling Unit
cr27;Container
hu114;Handling Unit
hu112;Handling Unit
td18;Transport Document
hu117;Handling Unit
hu115;Handling Unit
hu116;Handling Unit
cr30;Container
hu119;Handling Unit
cr20;Container
cr10;Container
cr50;Container
hu123;Handling Unit
hu118;Handling Unit
hu132;Handling Unit
td19;Transport Document
hu125;Handling Unit
hu127;Handling Unit
hu122;Handling Unit
cr49;Container
hu136;Handling Unit
hu139;Handling Unit
hu134;Handling Unit
cr43;Container
co26;Customer Order
hu145;Handling Unit
hu128;Handling Unit
hu131;Handling Unit
hu133;Handling Unit
hu124;Handling Unit
hu120;Handling Unit
hu141;Handling Unit
hu140;Handling Unit
hu144;Handling Unit
hu135;Handling Unit
hu121;Handling Unit
hu130;Handling Unit
hu126;Handling Unit
hu138;Handling Unit
hu142;Handling Unit
hu143;Handling Unit
hu137;Handling Unit
hu129;Handling Unit
hu146;Handling Unit
cr52;Container
cr42;Container
hu152;Handling Unit
td20;Transport Document
cr38;Container
cr54;Container
hu154;Handling Unit
hu153;Handling Unit
hu163;Handling Unit
td21;Transport Document
hu167;Handling Unit
co27;Customer Order
hu160;Handling Unit
hu149;Handling Unit
cr34;Container
hu166;Handling Unit
cr35;Container
hu147;Handling Unit
hu169;Handling Unit
hu173;Handling Unit
hu177;Handling Unit
hu162;Handling Unit
hu164;Handling Unit
hu158;Handling Unit
hu175;Handling Unit
td22;Transport Document
hu151;Handling Unit
hu171;Handling Unit
hu150;Handling Unit
co28;Customer Order
hu178;Handling Unit
hu157;Handling Unit
hu172;Handling Unit
hu165;Handling Unit
td23;Transport Document
hu159;Handling Unit
hu176;Handling Unit
hu156;Handling Unit
hu174;Handling Unit
hu148;Handling Unit
hu168;Handling Unit
hu170;Handling Unit
hu155;Handling Unit
cr56;Container
hu184;Handling Unit
hu183;Handling Unit
hu182;Handling Unit
cr39;Container
hu187;Handling Unit
hu186;Handling Unit
cr51;Container
hu191;Handling Unit
hu192;Handling Unit
hu161;Handling Unit
hu189;Handling Unit
hu180;Handling Unit
hu181;Handling Unit
hu193;Handling Unit
hu179;Handling Unit
cr41;Container
cr9;Container
cr29;Container
hu185;Handling Unit
vh3;Vehicle
co29;Customer Order
hu213;Handling Unit
hu200;Handling Unit
hu206;Handling Unit
hu202;Handling Unit
hu188;Handling Unit
hu201;Handling Unit
td24;Transport Document
hu211;Handling Unit
hu196;Handling Unit
hu209;Handling Unit
hu194;Handling Unit
hu210;Handling Unit
hu208;Handling Unit
hu205;Handling Unit
hu203;Handling Unit
hu204;Handling Unit
hu190;Handling Unit
cr15;Container
co30;Customer Order
hu195;Handling Unit
td25;Transport Document
hu216;Handling Unit
hu214;Handling Unit
hu199;Handling Unit
hu217;Handling Unit
hu207;Handling Unit
hu198;Handling Unit
hu212;Handling Unit
cr44;Container
hu219;Handling Unit
td26;Transport Document
hu222;Handling Unit
cr69;Container
hu221;Handling Unit
hu215;Handling Unit
hu197;Handling Unit
hu224;Handling Unit
hu226;Handling Unit
td27;Transport Document
hu229;Handling Unit
hu228;Handling Unit
hu220;Handling Unit
hu218;Handling Unit
hu225;Handling Unit
hu227;Handling Unit
hu223;Handling Unit
hu230;Handling Unit
cr59;Container
co31;Customer Order
cr37;Container
cr71;Container
hu233;Handling Unit
hu236;Handling Unit
hu243;Handling Unit
hu238;Handling Unit
hu242;Handling Unit
cr60;Container
hu252;Handling Unit
hu237;Handling Unit
hu249;Handling Unit
hu246;Handling Unit
hu239;Handling Unit
hu232;Handling Unit
cr46;Container
cr75;Container
hu256;Handling Unit
hu255;Handling Unit
hu231;Handling Unit
hu259;Handling Unit
hu253;Handling Unit
hu250;Handling Unit
hu245;Handling Unit
hu240;Handling Unit
hu234;Handling Unit
hu258;Handling Unit
hu251;Handling Unit
hu260;Handling Unit
hu261;Handling Unit
hu247;Handling Unit
hu254;Handling Unit
hu257;Handling Unit
hu241;Handling Unit
hu235;Handling Unit
hu244;Handling Unit
cr25;Container
co32;Customer Order
td28;Transport Document
td29;Transport Document
cr74;Container
hu266;Handling Unit
cr82;Container
hu277;Handling Unit
td30;Transport Document
cr18;Container
cr79;Container
co33;Customer Order
hu264;Handling Unit
hu280;Handling Unit
hu263;Handling Unit
hu267;Handling Unit
hu262;Handling Unit
hu281;Handling Unit
hu279;Handling Unit
hu270;Handling Unit
hu274;Handling Unit
hu284;Handling Unit
hu278;Handling Unit
hu272;Handling Unit
hu248;Handling Unit
hu268;Handling Unit
hu269;Handling Unit
hu287;Handling Unit
hu285;Handling Unit
hu275;Handling Unit
cr101;Container
hu291;Handling Unit
hu276;Handling Unit
co34;Customer Order
hu282;Handling Unit
hu294;Handling Unit
hu273;Handling Unit
hu283;Handling Unit
hu271;Handling Unit
hu288;Handling Unit
cr68;Container
hu300;Handling Unit
cr58;Container
hu296;Handling Unit
cr94;Container
hu265;Handling Unit
hu311;Handling Unit
hu295;Handling Unit
hu298;Handling Unit
hu302;Handling Unit
hu310;Handling Unit
cr70;Container
hu315;Handling Unit
hu286;Handling Unit
hu299;Handling Unit
hu313;Handling Unit
hu306;Handling Unit
hu292;Handling Unit
hu290;Handling Unit
hu314;Handling Unit
hu293;Handling Unit
hu297;Handling Unit
hu305;Handling Unit
hu312;Handling Unit
hu309;Handling Unit
hu303;Handling Unit
hu308;Handling Unit
cr73;Container
cr65;Container
hu304;Handling Unit
co35;Customer Order
hu316;Handling Unit
hu317;Handling Unit
hu307;Handling Unit
hu321;Handling Unit
hu320;Handling Unit
