ocel_id;ocel_time;ocel_changed_field;Amount of Handling Units;Status;Weight
cr8;2023-05-24 17:50:00;;1;empty
cr8;2023-05-25 08:17:32;Status;;full
cr8;2023-05-25 08:39:57;Weight;;;250.0
cr6;2023-05-27 09:54:44;;6;empty
cr5;2023-05-27 16:44:42;;2;empty
cr4;2023-05-28 06:49:56;;6;empty
cr7;2023-05-28 19:40:00;;6;empty
cr3;2023-05-29 01:50:48;;6;empty
cr13;2023-05-29 07:43:47;;6;empty
cr3;2023-05-29 11:52:45;Status;;full
cr4;2023-05-29 11:59:30;Status;;full
cr7;2023-05-29 13:59:10;Status;;full
cr2;2023-05-29 14:12:57;;6;empty
cr4;2023-05-29 14:13:32;Weight;;;1120.0
cr12;2023-05-29 14:39:15;;6;empty
cr3;2023-05-29 14:43:14;Weight;;;1160.0
cr5;2023-05-29 14:59:45;Status;;full
cr6;2023-05-29 15:01:30;Status;;full
cr13;2023-05-29 15:05:36;Status;;full
cr11;2023-05-29 15:09:43;;6;empty
cr7;2023-05-29 15:11:13;Weight;;;1190.0
cr6;2023-05-29 15:49:38;Weight;;;1190.0
cr13;2023-05-29 15:50:43;Weight;;;1100.0
cr2;2023-05-29 15:58:25;Status;;full
cr5;2023-05-29 16:15:05;Weight;;;450.0
cr2;2023-05-29 17:19:02;Weight;;;1180.0
cr1;2023-05-29 18:03:06;;6;empty
cr14;2023-05-29 18:08:18;;1;empty
cr12;2023-05-29 18:56:01;Status;;full
cr16;2023-05-29 21:36:54;;5;empty
cr14;2023-05-30 07:52:15;Status;;full
cr11;2023-05-30 07:58:39;Status;;full
cr12;2023-05-30 08:24:16;Weight;;;1140.0
cr17;2023-05-30 08:32:35;;6;empty
cr14;2023-05-30 09:06:53;Weight;;;200.0
cr11;2023-05-30 09:21:38;Weight;;;1180.0
cr16;2023-05-30 11:06:19;Status;;full
cr16;2023-05-30 11:19:45;Weight;;;1030.0
cr17;2023-05-30 13:22:51;Status;;full
cr1;2023-05-30 13:29:22;Status;;full
cr17;2023-05-30 14:34:54;Weight;;;1120.0
cr1;2023-05-30 14:48:00;Weight;;;1180.0
cr28;2023-05-31 13:41:20;;6;empty
cr28;2023-05-31 14:56:53;Status;;full
cr28;2023-05-31 16:05:52;Weight;;;1190.0
cr33;2023-05-31 16:45:11;;6;empty
cr22;2023-05-31 19:47:08;;6;empty
cr32;2023-05-31 23:18:11;;6;empty
cr26;2023-06-01 00:37:05;;6;empty
cr19;2023-06-01 05:01:53;;6;empty
cr33;2023-06-01 08:20:37;Status;;full
cr33;2023-06-01 09:43:28;Weight;;;1120.0
cr22;2023-06-01 11:39:06;Status;;full
cr26;2023-06-01 11:39:13;Status;;full
