ocel_id;ocel_time;ocel_changed_field;Amount of Goods
co1;2023-05-22 12:17:17;;950
co2;2023-05-22 16:21:51;;1300
co3;2023-05-23 08:40:08;;650
co4;2023-05-23 13:17:29;;500
co5;2023-05-23 17:22:15;;550
co6;2023-05-24 10:01:47;;1150
co7;2023-05-24 13:50:51;;500
co8;2023-05-24 18:28:59;;700
co9;2023-05-25 11:15:15;;500
co10;2023-05-25 15:17:47;;1100
co11;2023-05-25 19:27:56;;550
co12;2023-05-26 13:16:52;;750
co13;2023-05-26 18:58:26;;550
co14;2023-05-29 12:32:37;;500
co15;2023-05-29 16:52:31;;700
co16;2023-05-30 10:02:19;;1150
co17;2023-05-30 13:51:55;;950
co18;2023-05-30 18:31:07;;1300
co19;2023-05-31 11:19:31;;800
co20;2023-05-31 15:26:19;;1350
co21;2023-05-31 19:53:32;;750
co22;2023-06-01 12:37:35;;1400
co23;2023-06-01 17:02:27;;1300
co24;2023-06-02 09:43:30;;1500
co25;2023-06-02 15:51:42;;1500
co26;2023-06-05 10:15:11;;1250
co27;2023-06-05 14:17:39;;850
co28;2023-06-05 18:22:35;;750
co29;2023-06-06 11:02:27;;1250
co30;2023-06-06 14:52:11;;900
co31;2023-06-06 19:31:39;;800
co32;2023-06-07 12:04:46;;1250
co33;2023-06-07 15:56:49;;350
co34;2023-06-07 21:25:02;;750
co35;2023-06-08 12:42:19;;600
co36;2023-06-08 17:11:55;;700
co37;2023-06-09 10:06:30;;750
co38;2023-06-09 15:37:42;;1150
co39;2023-06-12 09:51:23;;550
co40;2023-06-12 14:30:03;;1100
co41;2023-06-12 18:47:23;;1500
co42;2023-06-13 11:52:03;;1500
co43;2023-06-13 16:31:23;;1500
co44;2023-06-14 09:08:44;;500
co45;2023-06-14 13:04:45;;550
co46;2023-06-14 16:56:47;;1300
co47;2023-06-15 10:10:51;;1150
co48;2023-06-15 14:08:59;;750
co49;2023-06-15 18:05:15;;1250
co50;2023-06-16 11:16:01;;1450
co51;2023-06-16 16:56:44;;1350
co52;2023-06-19 11:05:44;;1100
co53;2023-06-19 14:58:45;;1300
co54;2023-06-19 19:44:47;;1050
co55;2023-06-20 12:24:28;;1500
co56;2023-06-20 16:36:13;;350
co57;2023-06-21 09:23:14;;350
co58;2023-06-21 13:33:45;;1000
co59;2023-06-21 17:54:47;;1250
co60;2023-06-22 11:06:51;;1050
co61;2023-06-22 15:00:59;;800
co62;2023-06-22 18:49:15;;1400
co63;2023-06-23 13:02:53;;1200
co64;2023-06-23 18:30:28;;1300
co65;2023-06-26 11:45:05;;1050
co66;2023-06-26 16:17:27;;1450
co67;2023-06-27 08:26:56;;750
co68;2023-06-27 12:57:41;;1350
co69;2023-06-27 17:42:39;;850
co70;2023-06-28 10:42:35;;600
co71;2023-06-28 15:12:27;;1500
co72;2023-06-28 19:12:11;;700
co73;2023-06-29 11:35:34;;1050
co74;2023-06-29 15:58:25;;1150
co75;2023-06-29 21:29:50;;1450
co76;2023-06-30 14:24:32;;1250
co77;2023-06-30 21:03:00;;500
co78;2023-07-03 12:20:17;;700
co79;2023-07-03 16:27:51;;1000
co80;2023-07-04 08:58:08;;750
co81;2023-07-04 13:44:29;;1450
co82;2023-07-04 18:16:15;;950
co83;2023-07-05 10:49:47;;1000
co84;2023-07-05 15:26:51;;1450
co85;2023-07-05 19:55:08;;450
co86;2023-07-06 12:39:59;;550
co87;2023-07-06 17:07:15;;600
co88;2023-07-07 09:55:10;;550
co89;2023-07-07 16:15:02;;1200
co90;2023-07-10 09:54:51;;1200
co91;2023-07-10 14:36:59;;800
co92;2023-07-10 19:01:15;;1450
co93;2023-07-11 11:19:10;;1400
co94;2023-07-11 15:25:37;;1100
co95;2023-07-11 19:51:26;;950
co96;2023-07-12 12:34:26;;1150
co97;2023-07-12 16:56:09;;650
co98;2023-07-13 10:09:35;;800
co99;2023-07-13 14:06:27;;350
co100;2023-07-13 18:00:11;;1150
co101;2023-07-14 11:03:43;;550
co102;2023-07-14 16:32:08;;900
co103;2023-07-17 10:23:55;;900
