ocel_id;ocel_time;ocel_changed_field
hu1;2023-05-24 17:50:00;
hu5;2023-05-27 09:54:44;
hu19;2023-05-29 08:03:55;
hu30;2023-05-29 08:14:12;
hu9;2023-05-29 08:15:39;
hu24;2023-05-29 08:18:41;
hu15;2023-05-29 08:24:05;
hu28;2023-05-29 08:40:32;
hu25;2023-05-29 08:42:58;
hu4;2023-05-29 08:49:42;
hu32;2023-05-29 08:57:48;
hu17;2023-05-29 09:59:49;
hu20;2023-05-29 11:07:53;
hu29;2023-05-29 11:11:54;
hu31;2023-05-29 11:18:52;
hu21;2023-05-29 11:20:55;
hu2;2023-05-29 11:26:01;
hu14;2023-05-29 11:28:45;
hu3;2023-05-29 11:29:43;
hu7;2023-05-29 11:30:45;
hu16;2023-05-29 11:31:30;
hu13;2023-05-29 11:35:55;
hu23;2023-05-29 11:36:29;
hu12;2023-05-29 11:39:31;
hu26;2023-05-29 11:40:32;
hu22;2023-05-29 11:46:54;
hu27;2023-05-29 11:49:01;
hu10;2023-05-29 11:49:56;
hu11;2023-05-29 11:54:11;
hu8;2023-05-29 11:56:20;
hu18;2023-05-29 13:56:53;
hu6;2023-05-29 13:57:37;
hu33;2023-05-29 13:58:43;
hu35;2023-05-29 15:03:25;
hu40;2023-05-29 15:06:12;
hu39;2023-05-29 15:08:10;
hu48;2023-05-29 15:12:00;
hu34;2023-05-29 15:15:34;
hu47;2023-05-29 15:20:25;
hu37;2023-05-29 15:24:04;
hu36;2023-05-29 15:26:57;
hu41;2023-05-29 15:30:46;
hu43;2023-05-29 15:39:31;
hu45;2023-05-29 15:41:01;
hu51;2023-05-29 15:42:06;
hu50;2023-05-29 15:45:53;
hu38;2023-05-29 15:49:55;
hu49;2023-05-29 15:53:08;
hu44;2023-05-29 16:53:14;
hu42;2023-05-29 16:58:38;
hu55;2023-05-29 18:23:17;
hu59;2023-05-30 07:24:51;
hu52;2023-05-30 07:30:02;
hu63;2023-05-30 07:37:21;
hu58;2023-05-30 07:42:39;
hu56;2023-05-30 07:44:41;
hu46;2023-05-30 07:50:05;
hu61;2023-05-30 07:52:46;
hu54;2023-05-30 07:53:56;
hu67;2023-05-30 08:56:12;
hu60;2023-05-30 09:57:13;
hu62;2023-05-30 09:59:20;
hu66;2023-05-30 10:59:55;
hu65;2023-05-30 12:03:39;
hu69;2023-05-30 13:07:07;
hu68;2023-05-30 13:11:34;
hu64;2023-05-30 13:17:03;
hu57;2023-05-30 13:20:19;
hu53;2023-05-30 13:23:50;
hu70;2023-05-31 13:41:20;
hu75;2023-05-31 13:43:08;
hu73;2023-05-31 13:45:04;
hu72;2023-05-31 13:46:45;
hu71;2023-05-31 13:49:19;
hu74;2023-05-31 13:52:22;
hu79;2023-05-31 16:45:11;
hu80;2023-05-31 16:46:56;
hu77;2023-05-31 16:48:32;
hu78;2023-05-31 16:52:28;
hu76;2023-05-31 16:55:46;
hu81;2023-05-31 18:10:05;
hu87;2023-05-31 19:47:08;
hu85;2023-06-01 07:51:33;
hu84;2023-06-01 08:51:52;
hu96;2023-06-01 08:54:31;
hu99;2023-06-01 09:55:24;
hu100;2023-06-01 09:58:24;
hu98;2023-06-01 11:00:15;
hu83;2023-06-01 11:03:42;
hu90;2023-06-01 11:07:06;
hu104;2023-06-01 11:09:38;
hu103;2023-06-01 11:14:18;
hu95;2023-06-01 11:20:32;
hu86;2023-06-01 11:26:07;
hu97;2023-06-01 11:31:04;
hu88;2023-06-01 11:33:04;
hu94;2023-06-01 11:34:55;
hu82;2023-06-01 11:36:52;
hu92;2023-06-01 11:38:06;
hu89;2023-06-01 11:39:23;
hu105;2023-06-01 11:44:20;
hu102;2023-06-01 11:46:13;
hu91;2023-06-01 11:49:08;
hu101;2023-06-01 11:50:48;
hu93;2023-06-01 11:53:11;
hu109;2023-06-02 14:55:01;
hu111;2023-06-02 14:57:37;
hu106;2023-06-02 16:01:44;
hu108;2023-06-02 16:03:51;
hu110;2023-06-02 16:04:41;
hu107;2023-06-02 16:08:24;
hu113;2023-06-02 16:19:13;
hu114;2023-06-02 16:27:37;
hu112;2023-06-02 16:30:47;
hu117;2023-06-02 16:41:56;
hu115;2023-06-02 16:52:47;
hu116;2023-06-02 18:06:51;
hu119;2023-06-02 19:28:02;
hu123;2023-06-05 07:34:10;
hu118;2023-06-05 07:41:26;
hu132;2023-06-05 07:47:57;
hu125;2023-06-05 08:49:11;
hu127;2023-06-05 08:50:30;
hu122;2023-06-05 08:56:27;
hu136;2023-06-05 09:56:31;
hu139;2023-06-05 09:57:19;
hu134;2023-06-05 09:58:03;
hu145;2023-06-05 11:00:00;
hu128;2023-06-05 11:01:10;
hu131;2023-06-05 11:02:02;
hu133;2023-06-05 11:05:11;
hu124;2023-06-05 11:07:02;
hu120;2023-06-05 11:09:18;
hu141;2023-06-05 11:10:40;
hu140;2023-06-05 11:12:11;
hu144;2023-06-05 11:13:55;
hu135;2023-06-05 11:19:09;
hu121;2023-06-05 11:21:41;
hu130;2023-06-05 11:23:35;
hu126;2023-06-05 11:24:12;
hu138;2023-06-05 11:27:01;
hu142;2023-06-05 11:30:45;
hu143;2023-06-05 11:35:19;
hu137;2023-06-05 11:41:02;
hu129;2023-06-05 11:44:20;
hu146;2023-06-05 11:53:42;
hu152;2023-06-05 11:58:52;
hu154;2023-06-05 14:04:58;
hu153;2023-06-05 14:06:36;
hu163;2023-06-05 14:07:30;
hu167;2023-06-05 14:09:27;
hu160;2023-06-05 14:17:49;
hu149;2023-06-05 14:24:17;
hu166;2023-06-05 14:26:54;
hu147;2023-06-05 14:33:37;
hu169;2023-06-05 14:37:13;
hu173;2023-06-05 14:38:31;
hu177;2023-06-05 14:41:02;
hu162;2023-06-05 14:48:09;
hu164;2023-06-05 14:49:54;
hu158;2023-06-05 14:51:00;
hu175;2023-06-05 14:57:17;
hu151;2023-06-05 15:58:01;
hu171;2023-06-05 16:58:27;
hu150;2023-06-05 18:06:26;
hu178;2023-06-05 18:39:14;
hu157;2023-06-06 07:43:10;
hu172;2023-06-06 07:56:09;
hu165;2023-06-06 07:58:36;
hu159;2023-06-06 09:00:01;
hu176;2023-06-06 09:01:40;
hu156;2023-06-06 09:04:08;
hu174;2023-06-06 09:08:30;
hu148;2023-06-06 09:10:48;
hu168;2023-06-06 09:18:17;
hu170;2023-06-06 09:21:20;
hu155;2023-06-06 09:22:53;
hu184;2023-06-06 09:27:43;
hu183;2023-06-06 09:31:36;
hu182;2023-06-06 09:32:35;
hu187;2023-06-06 09:33:30;
hu186;2023-06-06 09:35:40;
hu191;2023-06-06 09:40:21;
hu192;2023-06-06 09:46:12;
hu161;2023-06-06 09:49:15;
hu189;2023-06-06 09:50:20;
hu180;2023-06-06 09:53:16;
hu181;2023-06-06 09:56:56;
hu193;2023-06-06 09:57:52;
hu179;2023-06-06 09:58:48;
hu185;2023-06-06 10:59:44;
hu213;2023-06-06 12:02:21;
hu200;2023-06-06 13:03:04;
hu206;2023-06-06 13:04:16;
hu202;2023-06-06 13:06:16;
hu188;2023-06-06 13:11:10;
hu201;2023-06-06 13:20:31;
hu211;2023-06-06 13:23:12;
hu196;2023-06-06 13:25:28;
hu209;2023-06-06 13:26:07;
hu194;2023-06-06 13:34:40;
hu210;2023-06-06 13:37:37;
hu208;2023-06-06 13:39:44;
hu205;2023-06-06 13:45:59;
hu203;2023-06-06 13:48:42;
hu204;2023-06-06 13:53:20;
hu190;2023-06-06 13:58:51;
hu195;2023-06-06 14:59:40;
hu216;2023-06-06 16:04:22;
hu214;2023-06-06 16:07:54;
hu199;2023-06-06 16:09:51;
hu217;2023-06-06 16:13:17;
hu207;2023-06-06 16:15:00;
hu198;2023-06-06 16:16:09;
hu212;2023-06-06 16:18:29;
hu219;2023-06-06 16:22:43;
hu222;2023-06-06 16:29:59;
hu221;2023-06-06 16:34:08;
hu215;2023-06-06 16:39:00;
hu197;2023-06-06 16:43:28;
hu224;2023-06-06 16:46:37;
hu226;2023-06-06 16:48:24;
hu229;2023-06-06 16:54:43;
hu228;2023-06-06 16:56:37;
hu220;2023-06-06 16:57:15;
hu218;2023-06-06 16:59:38;
hu225;2023-06-06 18:04:27;
hu227;2023-06-06 18:16:07;
hu223;2023-06-06 18:37:32;
hu230;2023-06-06 18:58:36;
hu233;2023-06-07 08:02:29;
hu236;2023-06-07 08:07:01;
hu243;2023-06-07 08:16:37;
hu238;2023-06-07 08:22:53;
hu242;2023-06-07 08:24:51;
hu252;2023-06-07 08:25:59;
hu237;2023-06-07 08:37:34;
hu249;2023-06-07 08:48:38;
hu246;2023-06-07 08:50:14;
hu239;2023-06-07 08:53:24;
hu232;2023-06-07 08:56:18;
hu256;2023-06-07 10:01:02;
hu255;2023-06-07 10:04:56;
hu231;2023-06-07 10:07:33;
hu259;2023-06-07 10:08:13;
hu253;2023-06-07 10:08:57;
hu250;2023-06-07 10:09:33;
hu245;2023-06-07 10:11:51;
hu240;2023-06-07 10:14:48;
hu234;2023-06-07 10:18:28;
hu258;2023-06-07 10:24:35;
hu251;2023-06-07 10:26:03;
hu260;2023-06-07 10:31:09;
hu261;2023-06-07 10:36:39;
hu247;2023-06-07 10:44:12;
hu254;2023-06-07 10:45:38;
hu257;2023-06-07 10:50:03;
hu241;2023-06-07 10:52:50;
hu235;2023-06-07 10:57:48;
hu244;2023-06-07 11:57:57;
hu266;2023-06-07 13:59:06;
hu277;2023-06-07 14:59:48;
hu264;2023-06-07 16:02:04;
hu280;2023-06-07 16:07:24;
hu263;2023-06-07 16:08:15;
hu267;2023-06-07 16:15:14;
hu262;2023-06-07 16:16:12;
hu281;2023-06-07 16:21:06;
hu279;2023-06-07 16:23:54;
hu270;2023-06-07 16:28:46;
hu274;2023-06-07 16:32:40;
hu284;2023-06-07 16:36:07;
hu278;2023-06-07 16:39:29;
hu272;2023-06-07 16:40:54;
hu248;2023-06-07 16:42:34;
hu268;2023-06-07 16:48:38;
hu269;2023-06-07 16:50:11;
hu287;2023-06-07 16:53:07;
hu285;2023-06-07 16:54:25;
hu275;2023-06-07 16:56:08;
hu291;2023-06-07 17:58:06;
hu276;2023-06-07 19:26:50;
hu282;2023-06-08 07:30:44;
hu294;2023-06-08 07:31:47;
hu273;2023-06-08 07:33:25;
hu283;2023-06-08 07:40:13;
hu271;2023-06-08 07:45:28;
hu288;2023-06-08 07:48:35;
hu300;2023-06-08 07:58:42;
hu296;2023-06-08 08:59:30;
hu265;2023-06-08 10:07:04;
hu311;2023-06-08 10:12:09;
hu295;2023-06-08 10:12:56;
hu298;2023-06-08 10:13:43;
hu302;2023-06-08 10:19:54;
hu310;2023-06-08 10:22:27;
hu315;2023-06-08 10:23:35;
hu286;2023-06-08 10:24:24;
hu299;2023-06-08 10:27:32;
hu313;2023-06-08 10:29:16;
hu306;2023-06-08 10:31:41;
hu292;2023-06-08 10:37:28;
hu290;2023-06-08 10:41:50;
hu314;2023-06-08 10:43:42;
hu293;2023-06-08 10:44:49;
hu297;2023-06-08 10:49:17;
hu305;2023-06-08 10:49:55;
hu312;2023-06-08 10:52:10;
hu309;2023-06-08 10:56:12;
hu303;2023-06-08 10:56:56;
hu308;2023-06-08 10:59:24;
hu304;2023-06-08 12:04:06;
hu316;2023-06-08 13:05:32;
hu317;2023-06-08 13:10:46;
