ocel_source_id;ocel_target_id;ocel_qualifier
co2;td1;TD for CO
td1;vh4;Regular VH for TD
co3;td2;TD for CO
cr1;td1;CR for TD
cr2;td1;CR for TD
cr3;td1;CR for TD
cr4;td1;CR for TD
cr5;td1;CR for TD
td2;vh3;Regular VH for TD
cr6;td2;CR for TD
cr7;td2;CR for TD
cr8;td2;CR for TD
tr3;cr8;TR loads CR
cr8;hu1;CR contains HU
co7;td3;TD for CO
td3;vh7;Regular VH for TD
co1;td4;TD for CO
cr9;td3;CR for TD
cr10;td3;CR for TD
td4;vh1;High-Prio VH for TD
td4;vh2;Regular VH for TD
tr6;cr6;TR loads CR
tr2;cr5;TR loads CR
tr4;cr4;TR loads CR
tr3;cr7;TR loads CR
tr1;cr3;TR loads CR
cr11;td4;CR for TD
cr12;td4;CR for TD
cr13;td4;CR for TD
cr14;td4;CR for TD
tr5;cr13;TR loads CR
cr7;hu19;CR contains HU
cr5;hu9;CR contains HU
cr3;hu24;CR contains HU
cr3;hu25;CR contains HU
cr13;hu28;CR contains HU
cr13;hu30;CR contains HU
cr13;hu32;CR contains HU
cr4;hu15;CR contains HU
cr6;hu5;CR contains HU
cr6;hu4;CR contains HU
co13;td5;TD for CO
td5;vh2;High-Prio VH for TD
td5;vh7;Regular VH for TD
cr7;hu17;CR contains HU
cr7;hu20;CR contains HU
cr13;hu29;CR contains HU
cr13;hu31;CR contains HU
cr7;hu21;CR contains HU
cr6;hu2;CR contains HU
cr4;hu14;CR contains HU
cr6;hu3;CR contains HU
cr6;hu7;CR contains HU
cr7;hu16;CR contains HU
cr4;hu13;CR contains HU
cr3;hu23;CR contains HU
cr4;hu12;CR contains HU
cr3;hu26;CR contains HU
cr3;hu22;CR contains HU
cr3;hu27;CR contains HU
cr4;hu10;CR contains HU
cr4;hu11;CR contains HU
cr16;td5;CR for TD
cr15;td5;CR for TD
cr5;hu8;CR contains HU
cr7;hu18;CR contains HU
cr6;hu6;CR contains HU
tr4;cr2;TR loads CR
co14;td6;TD for CO
tr1;cr12;TR loads CR
cr13;hu33;CR contains HU
cr2;hu35;CR contains HU
tr3;cr11;TR loads CR
cr2;hu39;CR contains HU
cr2;hu34;CR contains HU
cr2;hu37;CR contains HU
cr2;hu36;CR contains HU
cr11;hu48;CR contains HU
cr11;hu47;CR contains HU
td6;vh7;Regular VH for TD
cr11;hu51;CR contains HU
cr11;hu50;CR contains HU
cr2;hu38;CR contains HU
cr12;hu41;CR contains HU
cr12;hu43;CR contains HU
cr12;hu40;CR contains HU
cr12;hu45;CR contains HU
cr11;hu49;CR contains HU
cr12;hu44;CR contains HU
cr17;td6;CR for TD
cr18;td6;CR for TD
tr6;cr1;TR loads CR
tr4;cr14;TR loads CR
cr12;hu42;CR contains HU
tr2;cr16;TR loads CR
cr14;hu58;CR contains HU
cr11;hu46;CR contains HU
cr16;hu61;CR contains HU
cr16;hu59;CR contains HU
cr16;hu63;CR contains HU
tr5;cr17;TR loads CR
co9;td7;TD for CO
cr1;hu56;CR contains HU
cr1;hu52;CR contains HU
cr1;hu55;CR contains HU
cr1;hu54;CR contains HU
cr17;hu67;CR contains HU
cr16;hu60;CR contains HU
td7;vh5;Regular VH for TD
cr16;hu62;CR contains HU
cr17;hu66;CR contains HU
cr17;hu65;CR contains HU
cr17;hu69;CR contains HU
cr17;hu68;CR contains HU
cr17;hu64;CR contains HU
cr1;hu57;CR contains HU
cr1;hu53;CR contains HU
co8;td8;TD for CO
cr19;td7;CR for TD
cr20;td7;CR for TD
co5;td9;TD for CO
td8;vh9;Regular VH for TD
co16;td10;TD for CO
td9;vh7;Regular VH for TD
td10;vh3;Regular VH for TD
co11;td11;TD for CO
td11;vh7;Regular VH for TD
cr24;td9;CR for TD
cr25;td9;CR for TD
cr21;td8;CR for TD
cr22;td8;CR for TD
cr23;td8;CR for TD
co12;td12;TD for CO
co4;td13;TD for CO
cr26;td10;CR for TD
cr27;td10;CR for TD
cr28;td10;CR for TD
cr29;td10;CR for TD
tr3;cr28;TR loads CR
cr30;td11;CR for TD
cr31;td11;CR for TD
td12;vh2;High-Prio VH for TD
td12;vh7;Regular VH for TD
td13;vh9;Regular VH for TD
cr28;hu70;CR contains HU
cr28;hu71;CR contains HU
cr28;hu75;CR contains HU
cr28;hu72;CR contains HU
cr28;hu74;CR contains HU
cr28;hu73;CR contains HU
cr33;td12;CR for TD
cr32;td12;CR for TD
cr34;td12;CR for TD
tr6;cr33;TR loads CR
cr33;hu80;CR contains HU
cr35;td13;CR for TD
cr36;td13;CR for TD
cr33;hu77;CR contains HU
cr33;hu79;CR contains HU
tr5;cr22;TR loads CR
tr2;cr32;TR loads CR
tr1;cr26;TR loads CR
tr3;cr19;TR loads CR
cr33;hu76;CR contains HU
cr33;hu78;CR contains HU
cr33;hu81;CR contains HU
co6;td14;TD for CO
cr26;hu96;CR contains HU
cr26;hu99;CR contains HU
cr22;hu85;CR contains HU
cr22;hu87;CR contains HU
cr22;hu84;CR contains HU
td14;vh9;Regular VH for TD
cr19;hu100;CR contains HU
cr26;hu98;CR contains HU
cr22;hu83;CR contains HU
cr32;hu90;CR contains HU
cr19;hu104;CR contains HU
cr19;hu103;CR contains HU
cr26;hu95;CR contains HU
cr22;hu86;CR contains HU
cr26;hu97;CR contains HU
cr32;hu88;CR contains HU
cr26;hu94;CR contains HU
cr22;hu82;CR contains HU
cr32;hu92;CR contains HU
cr32;hu89;CR contains HU
cr19;hu105;CR contains HU
cr19;hu102;CR contains HU
cr32;hu91;CR contains HU
cr19;hu101;CR contains HU
cr32;hu93;CR contains HU
cr37;td14;CR for TD
cr38;td14;CR for TD
cr39;td14;CR for TD
cr40;td14;CR for TD
co10;td15;TD for CO
co21;td16;TD for CO
td15;vh5;Regular VH for TD
cr41;td15;CR for TD
cr42;td15;CR for TD
cr43;td15;CR for TD
cr44;td15;CR for TD
td16;vh8;Regular VH for TD
co15;td17;TD for CO
td17;vh3;High-Prio VH for TD
td17;vh7;Regular VH for TD
cr45;td16;CR for TD
cr46;td16;CR for TD
cr47;td16;CR for TD
cr48;td17;CR for TD
cr49;td17;CR for TD
cr50;td17;CR for TD
tr5;cr48;TR loads CR
tr6;cr27;TR loads CR
co24;td18;TD for CO
cr27;hu112;CR contains HU
cr27;hu114;CR contains HU
cr27;hu113;CR contains HU
cr27;hu117;CR contains HU
cr48;hu109;CR contains HU
