ocel_id;ocel_time
book_vehs_td1;2023-05-22 16:39:56
book_vehs_td2;2023-05-23 08:40:17
book_vehs_td4;2023-05-24 09:04:20
book_vehs_td3;2023-05-24 09:07:34
book_vehs_td5;2023-05-24 09:41:47
book_vehs_td6;2023-05-24 10:55:40
book_vehs_td7;2023-05-24 13:37:39
book_vehs_td8;2023-05-25 13:36:59
book_vehs_td9;2023-05-26 08:02:18
book_vehs_td10;2023-05-26 10:51:53
book_vehs_td11;2023-05-26 13:40:09
book_vehs_td12;2023-05-26 15:51:18
book_vehs_td13;2023-05-26 16:18:27
book_vehs_td14;2023-05-26 19:07:50
book_vehs_td15;2023-05-29 09:27:32
book_vehs_td16;2023-05-29 11:25:11
book_vehs_td18;2023-05-29 17:57:52
book_vehs_td17;2023-05-30 08:31:44
book_vehs_td19;2023-05-30 09:47:11
book_vehs_td20;2023-05-30 11:16:00
book_vehs_td21;2023-05-30 14:02:31
book_vehs_td22;2023-05-30 16:51:18
book_vehs_td23;2023-05-30 19:44:00
book_vehs_td24;2023-05-31 11:38:57
book_vehs_td25;2023-05-31 18:34:49
book_vehs_td26;2023-06-01 09:38:54
book_vehs_td28;2023-06-01 11:23:15
book_vehs_td29;2023-06-01 11:58:28
book_vehs_td27;2023-06-01 14:38:08
book_vehs_td32;2023-06-02 07:49:18
book_vehs_td31;2023-06-02 08:35:57
book_vehs_td30;2023-06-02 08:53:33
book_vehs_td33;2023-06-02 14:47:17
book_vehs_td34;2023-06-02 15:36:36
book_vehs_td35;2023-06-05 11:47:27
book_vehs_td36;2023-06-05 13:41:52
book_vehs_td37;2023-06-05 14:32:32
book_vehs_td38;2023-06-05 15:18:28
book_vehs_td39;2023-06-05 15:21:46
book_vehs_td40;2023-06-06 07:51:57
book_vehs_td41;2023-06-06 08:13:14
book_vehs_td42;2023-06-06 10:17:16
book_vehs_td43;2023-06-06 10:41:13
book_vehs_td44;2023-06-06 13:49:32
book_vehs_td45;2023-06-06 15:25:34
book_vehs_td47;2023-06-07 08:17:24
book_vehs_td46;2023-06-07 08:50:43
book_vehs_td48;2023-06-07 09:46:16
book_vehs_td49;2023-06-07 11:47:24
book_vehs_td51;2023-06-07 13:56:40
book_vehs_td50;2023-06-07 14:56:18
book_vehs_td52;2023-06-08 10:11:03
book_vehs_td53;2023-06-08 11:22:05
book_vehs_td54;2023-06-08 16:07:20
book_vehs_td55;2023-06-08 16:52:08
book_vehs_td56;2023-06-08 17:39:30
book_vehs_td57;2023-06-09 10:36:18
book_vehs_td58;2023-06-09 13:34:19
book_vehs_td59;2023-06-09 14:39:00
book_vehs_td60;2023-06-09 16:51:13
book_vehs_td62;2023-06-12 08:06:17
