ocel_id;ocel_time
to_bay_cr16;2023-05-29 07:44:02
to_bay_cr25;2023-05-29 07:45:09
to_bay_cr48;2023-06-01 07:11:24
to_bay_cr69;2023-06-01 07:11:39
to_bay_cr66;2023-06-01 07:11:56
to_bay_cr58;2023-06-01 07:25:03
to_bay_cr40;2023-06-01 07:28:14
to_bay_cr39;2023-06-01 07:44:13
to_bay_cr64;2023-06-01 11:42:42
to_bay_cr84;2023-06-02 08:50:59
to_bay_cr87;2023-06-05 07:33:09
to_bay_cr42;2023-06-05 07:37:42
to_bay_cr22;2023-06-05 07:43:15
to_bay_cr8;2023-06-05 07:55:24
to_bay_cr51;2023-06-05 08:57:46
to_bay_cr38;2023-06-05 08:59:02
to_bay_cr26;2023-06-05 09:00:38
to_bay_cr41;2023-06-05 10:05:06
to_bay_cr19;2023-06-05 10:06:30
to_bay_cr7;2023-06-05 10:10:11
to_bay_cr33;2023-06-05 10:18:50
to_bay_cr37;2023-06-05 10:20:58
to_bay_cr27;2023-06-05 10:22:59
to_bay_cr24;2023-06-05 10:27:16
to_bay_cr34;2023-06-05 10:33:19
to_bay_cr52;2023-06-05 10:39:26
to_bay_cr32;2023-06-05 10:40:40
to_bay_cr17;2023-06-05 10:41:57
to_bay_cr50;2023-06-05 10:45:21
to_bay_cr6;2023-06-05 10:48:59
to_bay_cr18;2023-06-05 10:53:17
to_bay_cr35;2023-06-05 10:56:32
to_bay_cr23;2023-06-05 11:23:58
to_bay_cr88;2023-06-05 15:42:40
to_bay_cr104;2023-06-06 10:48:10
to_bay_cr117;2023-06-06 13:15:44
to_bay_cr94;2023-06-06 15:12:31
to_bay_cr103;2023-06-07 07:43:51
to_bay_cr112;2023-06-07 10:56:06
to_bay_cr5;2023-06-08 07:10:21
to_bay_cr4;2023-06-08 07:12:46
to_bay_cr3;2023-06-08 07:12:48
to_bay_cr1;2023-06-08 07:19:09
to_bay_cr2;2023-06-08 07:28:18
to_bay_cr36;2023-06-08 09:12:00
to_bay_cr132;2023-06-08 09:38:21
to_bay_cr111;2023-06-12 07:16:21
to_bay_cr11;2023-06-12 07:20:32
to_bay_cr161;2023-06-12 07:28:49
to_bay_cr170;2023-06-12 08:50:10
to_bay_cr49;2023-06-12 08:54:48
to_bay_cr110;2023-06-12 09:02:18
to_bay_cr168;2023-06-12 09:55:57
to_bay_cr78;2023-06-12 10:58:10
to_bay_cr102;2023-06-12 11:08:25
to_bay_cr162;2023-06-12 11:15:39
to_bay_cr77;2023-06-12 11:21:14
to_bay_cr9;2023-06-12 11:28:04
to_bay_cr10;2023-06-12 11:28:36
to_bay_cr148;2023-06-13 07:37:23
to_bay_cr208;2023-06-13 10:19:56
to_bay_cr169;2023-06-14 09:48:23
to_bay_cr150;2023-06-14 10:58:19
to_bay_cr60;2023-06-15 07:07:48
to_bay_cr115;2023-06-15 07:13:46
to_bay_cr118;2023-06-15 07:18:43
to_bay_cr107;2023-06-15 07:40:36
to_bay_cr109;2023-06-15 07:54:20
to_bay_cr108;2023-06-15 09:01:24
to_bay_cr83;2023-06-15 09:02:12
to_bay_cr30;2023-06-15 09:03:37
to_bay_cr31;2023-06-15 09:06:27
to_bay_cr95;2023-06-15 09:13:13
to_bay_cr106;2023-06-15 09:15:11
to_bay_cr29;2023-06-15 09:17:38
to_bay_cr20;2023-06-15 09:22:11
to_bay_cr105;2023-06-15 09:23:25
to_bay_cr71;2023-06-15 09:24:51
to_bay_cr85;2023-06-15 09:28:30
to_bay_cr189;2023-06-15 09:35:30
to_bay_cr96;2023-06-15 09:36:54
to_bay_cr61;2023-06-15 09:39:53
to_bay_cr62;2023-06-15 09:42:10
to_bay_cr21;2023-06-15 09:46:08
to_bay_cr188;2023-06-15 09:50:21
to_bay_cr82;2023-06-15 09:52:02
to_bay_cr73;2023-06-15 09:56:00
to_bay_cr72;2023-06-15 09:58:55
to_bay_cr116;2023-06-15 10:58:22
to_bay_cr159;2023-06-15 13:59:47
to_bay_cr114;2023-06-15 14:07:01
to_bay_cr171;2023-06-15 14:09:54
to_bay_cr28;2023-06-15 14:10:57
to_bay_cr225;2023-06-16 09:01:04
to_bay_cr75;2023-06-19 07:46:49
to_bay_cr67;2023-06-19 07:47:35
to_bay_cr184;2023-06-19 08:53:09
to_bay_cr63;2023-06-19 09:52:19
to_bay_cr55;2023-06-19 10:01:44
to_bay_cr57;2023-06-19 10:01:48
to_bay_cr74;2023-06-19 10:12:21
to_bay_cr147;2023-06-19 10:20:25
to_bay_cr133;2023-06-19 10:22:28
to_bay_cr70;2023-06-19 10:26:18
to_bay_cr54;2023-06-19 10:29:21
to_bay_cr99;2023-06-19 10:29:30
to_bay_cr65;2023-06-19 10:36:03
to_bay_cr193;2023-06-19 10:37:40
to_bay_cr79;2023-06-19 10:43:12
to_bay_cr130;2023-06-19 10:43:28
to_bay_cr143;2023-06-19 10:51:02
to_bay_cr97;2023-06-19 10:59:00
to_bay_cr56;2023-06-19 11:02:49
to_bay_cr134;2023-06-19 13:58:44
to_bay_cr80;2023-06-19 15:00:00
to_bay_cr76;2023-06-19 15:10:22
to_bay_cr100;2023-06-19 15:12:56
to_bay_cr191;2023-06-19 15:18:22
to_bay_cr214;2023-06-19 15:24:47
to_bay_cr81;2023-06-19 15:36:20
to_bay_cr266;2023-06-19 15:41:53
to_bay_cr198;2023-06-19 15:48:18
to_bay_cr146;2023-06-19 15:55:04
to_bay_cr131;2023-06-19 16:01:31
to_bay_cr53;2023-06-19 16:02:10
to_bay_cr180;2023-06-19 17:07:29
to_bay_cr185;2023-06-19 18:48:15
to_bay_cr151;2023-06-20 09:41:00
to_bay_cr160;2023-06-20 09:43:14
to_bay_cr234;2023-06-20 10:10:09
to_bay_cr68;2023-06-20 10:58:06
to_bay_cr129;2023-06-20 14:53:28
to_bay_cr260;2023-06-21 09:11:44
to_bay_cr183;2023-06-21 11:44:24
to_bay_cr47;2023-06-22 07:32:02
to_bay_cr157;2023-06-22 07:34:52
to_bay_cr207;2023-06-22 07:41:24
to_bay_cr101;2023-06-22 07:43:07
to_bay_cr155;2023-06-22 09:03:05
to_bay_cr186;2023-06-22 09:12:55
to_bay_cr44;2023-06-22 09:20:32
to_bay_cr213;2023-06-22 09:20:33
to_bay_cr92;2023-06-22 09:26:54
to_bay_cr45;2023-06-22 09:35:31
to_bay_cr194;2023-06-22 09:35:52
to_bay_cr178;2023-06-22 09:36:34
to_bay_cr167;2023-06-22 09:45:34
to_bay_cr90;2023-06-22 09:49:37
to_bay_cr12;2023-06-22 09:52:18
to_bay_cr46;2023-06-22 09:55:29
to_bay_cr165;2023-06-22 11:03:51
to_bay_cr158;2023-06-22 11:04:39
to_bay_cr164;2023-06-22 11:12:11
to_bay_cr267;2023-06-22 11:15:29
to_bay_cr204;2023-06-22 11:19:30
to_bay_cr43;2023-06-22 11:27:36
to_bay_cr156;2023-06-22 11:33:16
to_bay_cr91;2023-06-22 11:33:34
to_bay_cr205;2023-06-22 11:41:01
to_bay_cr187;2023-06-22 11:50:23
to_bay_cr154;2023-06-22 11:55:47
to_bay_cr163;2023-06-22 14:00:25
to_bay_cr59;2023-06-22 14:08:20
to_bay_cr15;2023-06-22 14:11:25
to_bay_cr209;2023-06-22 14:13:21
to_bay_cr13;2023-06-22 14:18:03
to_bay_cr246;2023-06-22 14:26:05
