ocel_id;ocel_time
create_td1;2023-05-22 15:37:34
create_td2;2023-05-22 16:51:49
create_td3;2023-05-24 07:13:36
create_td4;2023-05-24 07:36:49
create_td5;2023-05-24 09:31:24
create_td6;2023-05-24 10:30:50
create_td7;2023-05-24 12:01:43
create_td8;2023-05-25 12:17:18
create_td9;2023-05-25 16:21:04
create_td10;2023-05-26 09:46:42
create_td11;2023-05-26 13:23:15
create_td12;2023-05-26 14:24:12
create_td13;2023-05-26 14:45:59
create_td14;2023-05-26 14:50:00
create_td15;2023-05-29 08:09:30
create_td16;2023-05-29 11:05:19
create_td17;2023-05-29 16:46:30
create_td18;2023-05-29 17:26:16
create_td19;2023-05-30 08:17:00
create_td20;2023-05-30 11:07:30
create_td21;2023-05-30 11:16:04
create_td22;2023-05-30 16:39:16
create_td23;2023-05-30 17:56:38
create_td24;2023-05-31 11:21:51
create_td25;2023-05-31 15:47:15
create_td26;2023-05-31 16:48:32
create_td27;2023-06-01 10:56:07
create_td28;2023-06-01 11:07:03
create_td29;2023-06-01 11:24:44
create_td30;2023-06-01 16:17:51
create_td31;2023-06-01 17:39:24
create_td32;2023-06-02 07:31:41
create_td33;2023-06-02 11:32:37
create_td34;2023-06-02 15:00:49
create_td35;2023-06-05 10:15:32
create_td36;2023-06-05 11:39:10
create_td37;2023-06-05 14:18:57
create_td38;2023-06-05 15:05:25
create_td39;2023-06-05 15:06:38
create_td40;2023-06-05 15:48:22
create_td41;2023-06-05 18:00:18
create_td42;2023-06-05 18:58:10
create_td43;2023-06-06 10:15:50
create_td44;2023-06-06 12:04:30
create_td45;2023-06-06 14:06:28
create_td46;2023-06-06 16:41:39
create_td47;2023-06-06 17:17:28
create_td48;2023-06-07 09:27:52
create_td49;2023-06-07 11:28:56
create_td50;2023-06-07 12:20:59
create_td51;2023-06-07 13:47:39
create_td52;2023-06-08 08:51:29
create_td53;2023-06-08 09:58:36
create_td54;2023-06-08 13:48:12
create_td55;2023-06-08 14:25:33
create_td56;2023-06-08 16:32:14
create_td57;2023-06-09 10:02:36
