ocel_id;ocel_time
depart_vh1;2023-05-30 11:00:00
depart_vh2;2023-06-02 11:00:00
depart_vh3;2023-06-06 11:00:00
depart_vh4;2023-06-09 11:00:00
depart_vh5;2023-06-13 11:00:00
depart_vh6;2023-06-16 11:00:00
depart_vh7;2023-06-20 11:00:00
depart_vh8;2023-06-23 11:00:00
depart_vh9;2023-06-27 11:00:00
depart_vh10;2023-06-30 11:00:00
depart_vh11;2023-07-04 11:00:00
depart_vh12;2023-07-07 11:00:00
depart_vh13;2023-07-11 11:00:00
depart_vh14;2023-07-14 11:00:00
depart_vh15;2023-07-18 11:00:00
depart_vh16;2023-07-21 11:00:00
depart_vh17;2023-07-25 11:00:00
depart_vh18;2023-07-28 11:00:00
depart_vh19;2023-08-01 11:00:00
depart_vh20;2023-08-04 11:00:00
depart_vh21;2023-08-08 11:00:00
depart_vh22;2023-08-11 11:00:00
depart_vh23;2023-08-15 11:00:00
depart_vh24;2023-08-18 11:00:00
depart_vh25;2023-08-22 11:00:00
depart_vh26;2023-08-25 11:00:00
depart_vh27;2023-08-29 11:00:00
depart_vh28;2023-09-01 11:00:00
depart_vh29;2023-09-05 11:00:00
depart_vh30;2023-09-08 11:00:00
depart_vh31;2023-09-12 11:00:00
depart_vh32;2023-09-15 11:00:00
depart_vh33;2023-09-19 11:00:00
depart_vh34;2023-09-22 11:00:00
depart_vh35;2023-09-26 11:00:00
depart_vh36;2023-09-29 11:00:00
depart_vh37;2023-10-03 11:00:00
depart_vh38;2023-10-06 11:00:00
depart_vh39;2023-10-10 11:00:00
depart_vh40;2023-10-13 11:00:00
depart_vh41;2023-10-17 11:00:00
depart_vh42;2023-10-20 11:00:00
depart_vh43;2023-10-24 11:00:00
depart_vh44;2023-10-27 11:00:00
depart_vh45;2023-10-31 11:00:00
depart_vh46;2023-11-03 11:00:00
depart_vh47;2023-11-07 11:00:00
depart_vh48;2023-11-10 11:00:00
depart_vh49;2023-11-14 11:00:00
depart_vh50;2023-11-17 11:00:00
depart_vh51;2023-11-21 11:00:00
depart_vh52;2023-11-24 11:00:00
depart_vh53;2023-11-28 11:00:00
depart_vh54;2023-12-01 11:00:00
depart_vh55;2023-12-05 11:00:00
depart_vh56;2023-12-08 11:00:00
depart_vh57;2023-12-12 11:00:00
depart_vh58;2023-12-15 11:00:00
