ocel_id;ocel_time
load_veh_cr16;2023-05-29 07:59:34
load_veh_cr25;2023-05-29 09:10:03
load_veh_cr48;2023-06-01 07:17:39
load_veh_cr69;2023-06-01 07:23:25
load_veh_cr66;2023-06-01 07:35:11
load_veh_cr58;2023-06-01 07:40:23
load_veh_cr40;2023-06-01 07:45:18
load_veh_cr39;2023-06-01 08:45:52
load_veh_cr64;2023-06-01 11:47:08
load_veh_cr84;2023-06-02 08:55:45
load_veh_cr87;2023-06-05 07:36:16
load_veh_cr42;2023-06-05 07:51:17
load_veh_cr22;2023-06-05 07:57:06
load_veh_cr8;2023-06-05 07:58:31
load_veh_cr51;2023-06-05 10:02:31
load_veh_cr26;2023-06-05 10:03:47
load_veh_cr38;2023-06-05 10:07:54
load_veh_cr19;2023-06-05 10:16:18
load_veh_cr7;2023-06-05 10:16:56
load_veh_cr41;2023-06-05 10:19:59
load_veh_cr33;2023-06-05 10:23:16
load_veh_cr27;2023-06-05 10:29:54
load_veh_cr24;2023-06-05 10:36:36
load_veh_cr37;2023-06-05 10:38:50
load_veh_cr34;2023-06-05 10:40:19
load_veh_cr52;2023-06-05 10:42:55
load_veh_cr32;2023-06-05 10:45:07
load_veh_cr17;2023-06-05 10:48:05
load_veh_cr50;2023-06-05 10:53:08
load_veh_cr6;2023-06-05 10:56:09
load_veh_cr18;2023-06-05 11:59:25
load_veh_cr35;2023-06-05 13:59:44
load_veh_cr23;2023-06-05 15:02:25
load_veh_cr88;2023-06-05 15:43:26
load_veh_cr104;2023-06-06 10:48:47
load_veh_cr5;2023-06-08 07:12:20
load_veh_cr4;2023-06-08 07:25:21
load_veh_cr1;2023-06-08 07:30:46
load_veh_cr2;2023-06-08 07:40:48
load_veh_cr3;2023-06-08 07:43:54
load_veh_cr132;2023-06-08 09:43:22
load_veh_cr111;2023-06-12 07:25:20
load_veh_cr11;2023-06-12 07:26:32
load_veh_cr36;2023-06-12 07:32:32
load_veh_cr161;2023-06-12 07:34:02
load_veh_cr103;2023-06-12 07:44:14
load_veh_cr94;2023-06-12 08:45:12
load_veh_cr112;2023-06-12 08:48:40
load_veh_cr170;2023-06-12 08:55:17
load_veh_cr49;2023-06-12 09:58:02
load_veh_cr110;2023-06-12 11:04:44
load_veh_cr168;2023-06-12 11:11:46
load_veh_cr78;2023-06-12 11:16:24
load_veh_cr162;2023-06-12 11:22:34
load_veh_cr117;2023-06-12 11:24:49
load_veh_cr77;2023-06-12 11:26:18
load_veh_cr9;2023-06-12 11:31:16
load_veh_cr10;2023-06-12 11:34:17
load_veh_cr148;2023-06-13 07:46:41
load_veh_cr208;2023-06-13 10:25:38
load_veh_cr150;2023-06-15 07:10:47
load_veh_cr60;2023-06-15 07:22:40
load_veh_cr115;2023-06-15 07:36:37
load_veh_cr169;2023-06-15 07:38:17
load_veh_cr102;2023-06-15 07:45:51
load_veh_cr118;2023-06-15 07:56:17
load_veh_cr107;2023-06-15 09:00:10
load_veh_cr109;2023-06-15 09:01:49
load_veh_cr108;2023-06-15 09:04:41
load_veh_cr30;2023-06-15 09:05:12
load_veh_cr83;2023-06-15 09:11:35
load_veh_cr31;2023-06-15 09:15:30
load_veh_cr95;2023-06-15 09:20:28
load_veh_cr106;2023-06-15 09:21:59
load_veh_cr29;2023-06-15 09:23:05
load_veh_cr20;2023-06-15 09:24:29
load_veh_cr105;2023-06-15 09:32:19
load_veh_cr85;2023-06-15 09:34:02
load_veh_cr71;2023-06-15 09:35:52
load_veh_cr189;2023-06-15 09:37:28
load_veh_cr96;2023-06-15 09:42:53
load_veh_cr62;2023-06-15 09:46:25
load_veh_cr21;2023-06-15 09:50:51
load_veh_cr61;2023-06-15 09:52:35
load_veh_cr188;2023-06-15 09:55:12
load_veh_cr82;2023-06-15 10:56:26
load_veh_cr72;2023-06-15 11:58:02
load_veh_cr116;2023-06-15 11:59:16
load_veh_cr73;2023-06-15 14:04:23
load_veh_cr114;2023-06-15 14:12:52
load_veh_cr28;2023-06-15 14:17:08
load_veh_cr225;2023-06-16 09:04:02
load_veh_cr159;2023-06-19 07:45:05
load_veh_cr171;2023-06-19 08:47:52
load_veh_cr67;2023-06-19 08:51:28
load_veh_cr75;2023-06-19 08:57:29
load_veh_cr184;2023-06-19 08:59:51
load_veh_cr63;2023-06-19 09:59:25
load_veh_cr55;2023-06-19 10:08:06
load_veh_cr57;2023-06-19 10:12:16
load_veh_cr74;2023-06-19 10:18:02
load_veh_cr147;2023-06-19 10:21:32
load_veh_cr70;2023-06-19 10:28:03
load_veh_cr54;2023-06-19 10:33:38
load_veh_cr99;2023-06-19 10:35:16
load_veh_cr65;2023-06-19 10:39:14
load_veh_cr193;2023-06-19 10:41:15
load_veh_cr79;2023-06-19 10:47:55
load_veh_cr130;2023-06-19 10:54:31
load_veh_cr143;2023-06-19 11:57:08
load_veh_cr56;2023-06-19 13:57:35
load_veh_cr97;2023-06-19 13:59:07
load_veh_cr134;2023-06-19 14:59:37
load_veh_cr80;2023-06-19 15:05:46
load_veh_cr76;2023-06-19 15:11:29
load_veh_cr100;2023-06-19 15:13:54
load_veh_cr191;2023-06-19 15:23:38
load_veh_cr214;2023-06-19 15:32:56
load_veh_cr81;2023-06-19 15:38:59
load_veh_cr266;2023-06-19 15:42:52
load_veh_cr198;2023-06-19 15:52:13
load_veh_cr146;2023-06-19 15:59:58
load_veh_cr131;2023-06-19 16:02:56
load_veh_cr53;2023-06-19 16:06:07
load_veh_cr185;2023-06-22 07:32:01
load_veh_cr47;2023-06-22 07:38:55
load_veh_cr157;2023-06-22 07:46:30
load_veh_cr207;2023-06-22 07:48:40
load_veh_cr133;2023-06-22 09:09:38
load_veh_cr155;2023-06-22 09:11:08
load_veh_cr151;2023-06-22 09:17:15
load_veh_cr186;2023-06-22 09:17:57
load_veh_cr180;2023-06-22 09:23:38
load_veh_cr92;2023-06-22 09:32:55
load_veh_cr44;2023-06-22 09:34:17
load_veh_cr45;2023-06-22 09:40:44
load_veh_cr178;2023-06-22 09:50:34
load_veh_cr90;2023-06-22 09:53:49
load_veh_cr12;2023-06-22 09:59:58
load_veh_cr46;2023-06-22 11:08:48
load_veh_cr165;2023-06-22 11:12:42
load_veh_cr164;2023-06-22 11:17:45
load_veh_cr158;2023-06-22 11:24:56
load_veh_cr267;2023-06-22 11:29:31
load_veh_cr204;2023-06-22 11:32:28
load_veh_cr43;2023-06-22 11:39:58
load_veh_cr91;2023-06-22 11:47:45
load_veh_cr205;2023-06-22 11:54:21
load_veh_cr156;2023-06-22 11:59:16
load_veh_cr154;2023-06-22 14:05:19
load_veh_cr163;2023-06-22 14:09:20
load_veh_cr187;2023-06-22 14:16:46
load_veh_cr15;2023-06-22 14:19:53
load_veh_cr209;2023-06-22 14:22:36
load_veh_cr13;2023-06-22 14:25:49
load_veh_cr246;2023-06-22 14:26:40
load_veh_cr268;2023-06-22 14:32:34
load_veh_cr93;2023-06-22 14:34:02
load_veh_cr251;2023-06-22 14:59:56
