ocel_id;ocel_time
order_crs_td1;2023-05-23 10:08:45
order_crs_td2;2023-05-23 10:26:12
order_crs_td3;2023-05-24 09:32:46
order_crs_td4;2023-05-24 10:24:18
order_crs_td5;2023-05-24 15:04:24
order_crs_td7;2023-05-24 16:10:43
order_crs_td6;2023-05-24 17:15:00
order_crs_td8;2023-05-25 16:25:45
order_crs_td9;2023-05-26 09:34:41
order_crs_td10;2023-05-26 15:40:42
order_crs_td13;2023-05-26 17:55:09
order_crs_td11;2023-05-29 08:16:18
order_crs_td14;2023-05-29 10:39:20
order_crs_td15;2023-05-29 12:10:08
order_crs_td12;2023-05-29 14:14:39
order_crs_td16;2023-05-29 17:35:42
order_crs_td18;2023-05-30 08:50:30
order_crs_td19;2023-05-30 12:02:51
order_crs_td20;2023-05-30 14:07:13
order_crs_td17;2023-05-30 14:39:31
order_crs_td21;2023-05-30 15:42:01
order_crs_td22;2023-05-30 19:35:32
order_crs_td23;2023-05-31 09:29:04
order_crs_td25;2023-06-01 08:21:20
order_crs_td24;2023-06-01 08:41:51
order_crs_td28;2023-06-01 13:52:44
order_crs_td29;2023-06-01 15:09:43
order_crs_td26;2023-06-01 15:10:22
order_crs_td27;2023-06-01 17:20:21
order_crs_td30;2023-06-02 11:00:56
order_crs_td32;2023-06-02 12:26:55
order_crs_td31;2023-06-02 12:34:18
order_crs_td34;2023-06-02 15:54:07
order_crs_td33;2023-06-02 16:32:59
order_crs_td36;2023-06-05 15:48:19
order_crs_td39;2023-06-05 16:43:21
order_crs_td38;2023-06-05 16:55:37
order_crs_td35;2023-06-05 17:37:32
order_crs_td37;2023-06-06 08:50:51
order_crs_td42;2023-06-06 10:38:28
order_crs_td41;2023-06-06 10:59:02
order_crs_td40;2023-06-06 12:50:51
order_crs_td45;2023-06-06 15:48:21
order_crs_td44;2023-06-06 15:57:03
order_crs_td43;2023-06-06 16:25:00
order_crs_td47;2023-06-07 10:06:20
order_crs_td46;2023-06-07 10:43:03
order_crs_td48;2023-06-07 12:21:06
order_crs_td49;2023-06-07 14:53:02
order_crs_td51;2023-06-08 10:18:59
order_crs_td50;2023-06-08 10:21:13
order_crs_td52;2023-06-08 10:40:59
order_crs_td53;2023-06-08 15:33:11
order_crs_td56;2023-06-09 09:32:23
order_crs_td54;2023-06-09 12:01:17
order_crs_td55;2023-06-09 12:14:07
