ocel_id;ocel_time
pick_cr8;2023-05-24 14:16:12
pick_cr24;2023-05-24 16:10:43
pick_cr16;2023-05-24 23:21:13
pick_cr19;2023-05-25 06:26:06
pick_cr26;2023-05-25 20:11:13
pick_cr25;2023-05-25 23:22:20
pick_cr5;2023-05-27 04:54:01
pick_cr15;2023-05-27 05:59:38
pick_cr7;2023-05-27 07:19:41
pick_cr33;2023-05-27 13:40:55
pick_cr32;2023-05-27 19:05:45
pick_cr4;2023-05-27 19:41:59
pick_cr2;2023-05-29 11:42:25
pick_cr37;2023-05-29 11:54:13
pick_cr17;2023-05-29 14:20:47
pick_cr3;2023-05-29 14:34:01
pick_cr39;2023-05-29 15:44:18
pick_cr41;2023-05-29 15:56:10
pick_cr18;2023-05-29 16:52:38
pick_cr38;2023-05-30 07:48:42
pick_cr48;2023-05-30 09:53:25
pick_cr42;2023-05-30 09:59:17
pick_cr40;2023-05-30 10:38:59
pick_cr11;2023-05-30 10:42:46
pick_cr27;2023-05-30 10:55:00
pick_cr20;2023-05-30 11:10:29
pick_cr9;2023-05-30 13:57:51
pick_cr35;2023-05-30 13:58:23
pick_cr52;2023-05-30 14:16:21
pick_cr66;2023-05-30 14:51:19
pick_cr67;2023-05-30 14:51:50
pick_cr45;2023-05-30 15:02:22
pick_cr30;2023-05-31 08:49:49
pick_cr22;2023-05-31 09:31:17
pick_cr6;2023-05-31 09:35:25
pick_cr69;2023-05-31 09:48:28
pick_cr61;2023-05-31 10:20:24
pick_cr58;2023-05-31 11:23:06
pick_cr77;2023-05-31 11:30:16
pick_cr47;2023-05-31 11:38:13
pick_cr31;2023-05-31 13:42:18
pick_cr57;2023-05-31 15:40:02
pick_cr50;2023-05-31 15:42:03
pick_cr64;2023-05-31 16:39:29
pick_cr43;2023-05-31 17:01:53
pick_cr51;2023-06-01 08:19:44
pick_cr85;2023-06-01 11:11:05
pick_cr34;2023-06-01 11:20:35
pick_cr13;2023-06-01 11:35:22
pick_cr21;2023-06-01 11:38:40
pick_cr80;2023-06-01 11:55:48
pick_cr84;2023-06-01 11:57:03
pick_cr1;2023-06-01 14:03:31
pick_cr29;2023-06-01 14:47:41
pick_cr10;2023-06-01 16:23:49
pick_cr82;2023-06-02 07:36:49
pick_cr46;2023-06-02 07:38:06
pick_cr87;2023-06-02 07:56:49
pick_cr72;2023-06-02 07:58:49
pick_cr28;2023-06-02 08:42:05
pick_cr78;2023-06-02 09:48:36
pick_cr88;2023-06-02 14:13:35
pick_cr49;2023-06-02 14:36:12
pick_cr111;2023-06-02 15:18:26
pick_cr23;2023-06-02 16:03:22
pick_cr110;2023-06-02 17:18:59
pick_cr73;2023-06-02 18:32:32
pick_cr79;2023-06-05 11:13:16
pick_cr81;2023-06-05 13:33:48
pick_cr96;2023-06-05 15:17:56
pick_cr104;2023-06-05 15:28:42
pick_cr105;2023-06-05 15:38:13
pick_cr83;2023-06-05 16:09:32
pick_cr55;2023-06-06 07:41:47
pick_cr74;2023-06-06 09:13:55
pick_cr117;2023-06-06 09:17:18
pick_cr75;2023-06-06 10:41:16
pick_cr53;2023-06-06 10:44:34
pick_cr112;2023-06-06 10:45:39
pick_cr103;2023-06-06 10:54:16
pick_cr94;2023-06-06 13:12:34
pick_cr62;2023-06-06 14:43:56
pick_cr91;2023-06-06 15:00:02
pick_cr115;2023-06-06 15:06:54
pick_cr71;2023-06-06 17:08:57
pick_cr54;2023-06-07 07:40:31
pick_cr92;2023-06-07 08:44:25
pick_cr60;2023-06-07 09:17:22
pick_cr56;2023-06-07 09:53:29
pick_cr116;2023-06-07 11:26:21
pick_cr97;2023-06-07 14:40:27
pick_cr63;2023-06-07 14:43:07
pick_cr132;2023-06-07 14:44:31
pick_cr161;2023-06-07 14:54:19
pick_cr118;2023-06-07 14:56:48
pick_cr36;2023-06-07 15:34:55
pick_cr124;2023-06-08 07:44:06
pick_cr76;2023-06-08 08:08:38
pick_cr108;2023-06-08 08:44:07
pick_cr107;2023-06-08 09:01:51
pick_cr138;2023-06-08 09:16:17
pick_cr125;2023-06-08 09:36:27
pick_cr99;2023-06-08 14:40:15
pick_cr109;2023-06-08 14:50:55
pick_cr140;2023-06-08 15:21:18
pick_cr65;2023-06-08 16:14:29
pick_cr44;2023-06-08 16:32:03
