ocel_id;ocel_time
stock_cr8;2023-05-24 14:54:52
stock_cr24;2023-05-25 08:31:40
stock_cr19;2023-05-25 09:47:23
stock_cr16;2023-05-25 09:58:30
stock_cr25;2023-05-26 08:49:41
stock_cr26;2023-05-26 11:55:24
stock_cr5;2023-05-29 11:49:30
stock_cr7;2023-05-29 13:58:15
stock_cr32;2023-05-29 14:28:15
stock_cr15;2023-05-29 14:38:48
stock_cr4;2023-05-29 15:51:05
stock_cr2;2023-05-29 16:56:10
stock_cr33;2023-05-29 16:59:28
stock_cr17;2023-05-30 07:56:36
stock_cr39;2023-05-30 09:56:03
stock_cr38;2023-05-30 10:42:54
stock_cr41;2023-05-30 10:52:05
stock_cr3;2023-05-30 10:59:16
stock_cr37;2023-05-30 11:08:31
stock_cr18;2023-05-30 11:16:56
stock_cr40;2023-05-30 14:18:33
stock_cr42;2023-05-30 14:53:42
stock_cr48;2023-05-30 14:57:36
stock_cr27;2023-05-30 15:00:31
stock_cr20;2023-05-30 15:01:50
stock_cr11;2023-05-30 15:05:15
stock_cr35;2023-05-31 08:54:40
stock_cr66;2023-05-31 09:37:17
stock_cr67;2023-05-31 09:41:53
stock_cr52;2023-05-31 09:50:35
stock_cr45;2023-05-31 10:23:43
stock_cr22;2023-05-31 11:26:05
stock_cr6;2023-05-31 11:34:14
stock_cr9;2023-05-31 11:43:18
stock_cr30;2023-05-31 13:53:59
stock_cr61;2023-05-31 15:46:00
stock_cr47;2023-05-31 15:46:37
stock_cr69;2023-05-31 16:48:36
stock_cr58;2023-05-31 17:09:14
stock_cr31;2023-06-01 08:23:55
stock_cr50;2023-06-01 11:14:29
stock_cr57;2023-06-01 11:24:58
stock_cr51;2023-06-01 11:41:11
stock_cr77;2023-06-01 13:58:00
stock_cr34;2023-06-01 14:04:46
stock_cr43;2023-06-01 14:51:17
stock_cr85;2023-06-01 15:02:00
stock_cr13;2023-06-01 16:31:45
stock_cr29;2023-06-02 07:49:42
stock_cr80;2023-06-02 07:49:46
stock_cr21;2023-06-02 09:05:07
stock_cr10;2023-06-02 09:51:35
stock_cr1;2023-06-02 10:01:34
stock_cr82;2023-06-02 14:16:48
stock_cr28;2023-06-02 14:38:51
stock_cr87;2023-06-02 15:23:38
stock_cr78;2023-06-02 16:16:28
stock_cr72;2023-06-02 17:30:39
stock_cr49;2023-06-05 07:56:42
stock_cr111;2023-06-05 13:44:20
stock_cr110;2023-06-05 15:26:42
stock_cr79;2023-06-05 15:35:02
stock_cr73;2023-06-05 16:20:25
stock_cr46;2023-06-06 07:49:44
stock_cr81;2023-06-06 09:21:47
stock_cr83;2023-06-06 09:23:45
stock_cr105;2023-06-06 10:49:16
stock_cr74;2023-06-06 10:51:49
stock_cr96;2023-06-06 10:56:38
stock_cr75;2023-06-06 14:47:57
stock_cr55;2023-06-06 15:04:47
stock_cr53;2023-06-06 17:29:32
stock_cr62;2023-06-07 08:53:39
stock_cr115;2023-06-07 09:19:39
stock_cr91;2023-06-07 11:31:24
stock_cr116;2023-06-07 14:45:47
stock_cr92;2023-06-07 14:45:57
stock_cr56;2023-06-07 14:49:10
stock_cr71;2023-06-07 14:58:26
stock_cr54;2023-06-07 15:39:37
stock_cr60;2023-06-07 16:58:18
stock_cr118;2023-06-08 07:57:03
stock_cr161;2023-06-08 08:13:51
stock_cr97;2023-06-08 08:56:47
stock_cr63;2023-06-08 09:19:29
stock_cr108;2023-06-08 14:47:48
stock_cr125;2023-06-08 14:56:19
stock_cr124;2023-06-08 15:24:24
stock_cr138;2023-06-08 16:17:06
stock_cr99;2023-06-08 16:35:34
stock_cr107;2023-06-08 16:38:15
stock_cr76;2023-06-08 16:40:10
stock_cr140;2023-06-09 09:37:59
stock_cr44;2023-06-09 11:09:04
stock_cr109;2023-06-09 11:16:11
stock_cr134;2023-06-09 11:26:02
stock_cr137;2023-06-09 11:57:38
stock_cr65;2023-06-09 13:26:16
stock_cr12;2023-06-09 14:21:06
stock_cr100;2023-06-09 16:52:44
stock_cr168;2023-06-09 18:36:31
stock_cr157;2023-06-12 07:59:49
stock_cr70;2023-06-12 11:23:11
stock_cr106;2023-06-12 11:29:20
stock_cr131;2023-06-12 11:44:20
stock_cr158;2023-06-12 13:42:03
stock_cr177;2023-06-12 14:22:23
stock_cr114;2023-06-12 17:17:19
stock_cr189;2023-06-13 09:02:03
stock_cr119;2023-06-13 09:13:44
