ocel_id;ocel_time
reg_co1;2023-05-22 10:18:14
reg_co2;2023-05-22 12:24:42
reg_co3;2023-05-22 14:37:38
reg_co4;2023-05-22 17:03:30
reg_co5;2023-05-22 18:55:14
reg_co6;2023-05-23 10:08:42
reg_co7;2023-05-23 12:05:38
reg_co8;2023-05-23 13:59:30
reg_co9;2023-05-23 16:47:14
reg_co10;2023-05-23 19:22:42
reg_co11;2023-05-24 09:52:17
reg_co12;2023-05-24 12:32:48
reg_co13;2023-05-24 14:53:50
reg_co14;2023-05-24 17:35:54
reg_co15;2023-05-24 20:24:10
reg_co16;2023-05-25 10:24:29
reg_co17;2023-05-25 12:37:12
reg_co18;2023-05-25 15:02:38
reg_co19;2023-05-25 16:53:30
reg_co20;2023-05-25 19:35:14
reg_co21;2023-05-26 10:39:18
reg_co22;2023-05-26 13:53:13
reg_co23;2023-05-26 17:21:03
reg_co24;2023-05-26 21:12:23
reg_co25;2023-05-29 10:30:37
reg_co26;2023-05-29 12:49:28
reg_co27;2023-05-29 15:27:10
reg_co28;2023-05-29 17:42:34
reg_co29;2023-05-29 20:44:10
reg_co30;2023-05-30 10:54:29
reg_co31;2023-05-30 13:37:12
reg_co32;2023-05-30 16:02:38
reg_co33;2023-05-30 17:53:30
reg_co34;2023-05-30 21:16:58
reg_co35;2023-05-31 10:35:12
reg_co36;2023-05-31 12:58:38
reg_co37;2023-05-31 15:45:30
reg_co38;2023-05-31 18:19:14
reg_co39;2023-06-01 08:34:10
reg_co40;2023-06-01 11:09:29
reg_co41;2023-06-01 13:07:12
reg_co42;2023-06-01 15:02:38
reg_co43;2023-06-01 16:53:30
reg_co44;2023-06-01 19:35:14
reg_co45;2023-06-02 10:39:18
reg_co46;2023-06-02 13:53:13
reg_co47;2023-06-02 17:21:03
reg_co48;2023-06-02 21:12:23
reg_co49;2023-06-05 10:30:37
reg_co50;2023-06-05 12:49:28
reg_co51;2023-06-05 15:27:10
reg_co52;2023-06-05 17:42:34
reg_co53;2023-06-05 20:44:10
reg_co54;2023-06-06 10:54:29
reg_co55;2023-06-06 13:37:12
reg_co56;2023-06-06 16:02:38
reg_co57;2023-06-06 17:53:30
reg_co58;2023-06-06 21:16:58
reg_co59;2023-06-07 10:35:12
reg_co60;2023-06-07 12:58:38
reg_co61;2023-06-07 15:45:30
reg_co62;2023-06-07 18:19:14
reg_co63;2023-06-08 08:34:10
reg_co64;2023-06-08 11:09:29
reg_co65;2023-06-08 13:07:12
reg_co66;2023-06-08 15:02:38
reg_co67;2023-06-08 16:53:30
reg_co68;2023-06-08 19:35:14
reg_co69;2023-06-09 10:39:18
reg_co70;2023-06-09 13:53:13
reg_co71;2023-06-09 17:21:03
reg_co72;2023-06-09 21:12:23
reg_co73;2023-06-12 10:30:37
reg_co74;2023-06-12 12:49:28
reg_co75;2023-06-12 15:27:10
reg_co76;2023-06-12 17:42:34
reg_co77;2023-06-12 20:44:10
reg_co78;2023-06-13 10:54:29
reg_co79;2023-06-13 13:37:12
reg_co80;2023-06-13 16:02:38
reg_co81;2023-06-13 17:53:30
reg_co82;2023-06-13 21:16:58
reg_co83;2023-06-14 10:35:12
reg_co84;2023-06-14 12:58:38
reg_co85;2023-06-14 15:45:30
reg_co86;2023-06-14 18:19:14
reg_co87;2023-06-15 08:34:10
reg_co88;2023-06-15 11:09:29
reg_co89;2023-06-15 13:07:12
reg_co90;2023-06-15 15:02:38
reg_co91;2023-06-15 16:53:30
reg_co92;2023-06-15 19:35:14
reg_co93;2023-06-16 10:39:18
reg_co94;2023-06-16 13:53:13
reg_co95;2023-06-16 17:21:03
reg_co96;2023-06-16 21:12:23
reg_co97;2023-06-19 10:30:37
reg_co98;2023-06-19 12:49:28
reg_co99;2023-06-19 15:27:10
reg_co100;2023-06-19 17:42:34
reg_co101;2023-06-19 20:44:10
reg_co102;2023-06-20 10:54:29
reg_co103;2023-06-20 13:37:12
reg_co104;2023-06-20 16:02:38
reg_co105;2023-06-20 17:53:30
reg_co106;2023-06-20 21:16:58
