ocel_id;ocel_time
resch_cr_cr117;2023-06-06 13:17:14
resch_cr_cr94;2023-06-06 15:19:02
resch_cr_cr103;2023-06-07 07:46:01
resch_cr_cr112;2023-06-07 10:58:52
resch_cr_cr36;2023-06-08 09:17:11
resch_cr_cr102;2023-06-12 11:17:03
resch_cr_cr169;2023-06-14 09:50:18
resch_cr_cr150;2023-06-14 10:59:53
resch_cr_cr159;2023-06-15 14:07:35
resch_cr_cr171;2023-06-15 14:20:26
resch_cr_cr133;2023-06-19 10:26:54
resch_cr_cr180;2023-06-19 17:17:51
resch_cr_cr185;2023-06-20 07:56:29
resch_cr_cr151;2023-06-20 09:41:38
resch_cr_cr160;2023-06-20 09:45:32
resch_cr_cr234;2023-06-20 10:13:46
resch_cr_cr68;2023-06-20 12:00:08
resch_cr_cr129;2023-06-20 14:54:12
resch_cr_cr260;2023-06-21 09:16:20
resch_cr_cr183;2023-06-21 11:45:08
resch_cr_cr101;2023-06-22 07:57:21
resch_cr_cr213;2023-06-22 09:30:38
resch_cr_cr194;2023-06-22 09:47:21
resch_cr_cr167;2023-06-22 11:03:38
resch_cr_cr59;2023-06-22 14:10:35
resch_cr_cr182;2023-06-22 14:46:52
resch_cr_cr190;2023-06-22 16:58:18
resch_cr_cr113;2023-06-23 09:28:44
resch_cr_cr252;2023-06-23 10:37:39
resch_cr_cr98;2023-06-23 14:54:00
resch_cr_cr196;2023-06-23 15:13:11
resch_cr_cr264;2023-06-26 11:58:45
resch_cr_cr254;2023-06-27 09:44:26
resch_cr_cr253;2023-06-27 11:43:46
resch_cr_cr195;2023-06-27 16:52:27
resch_cr_cr139;2023-06-28 09:40:46
resch_cr_cr89;2023-06-28 13:11:18
resch_cr_cr283;2023-06-28 16:20:03
resch_cr_cr355;2023-06-28 16:57:34
resch_cr_cr245;2023-06-28 18:12:25
resch_cr_cr142;2023-06-29 09:57:41
resch_cr_cr235;2023-06-29 14:08:12
resch_cr_cr357;2023-06-29 14:11:41
resch_cr_cr197;2023-06-29 14:18:39
resch_cr_cr331;2023-06-30 08:10:43
