ocel_id;ocel_time
weigh_cr8;2023-05-24 14:52:04
weigh_cr24;2023-05-25 08:30:01
weigh_cr19;2023-05-25 09:42:34
weigh_cr16;2023-05-25 09:57:58
weigh_cr25;2023-05-26 08:41:39
weigh_cr26;2023-05-26 10:55:00
weigh_cr5;2023-05-29 11:45:19
weigh_cr7;2023-05-29 13:54:34
weigh_cr32;2023-05-29 14:24:24
weigh_cr15;2023-05-29 14:36:29
weigh_cr4;2023-05-29 15:47:25
weigh_cr33;2023-05-29 15:59:14
weigh_cr2;2023-05-29 16:53:43
weigh_cr17;2023-05-30 07:51:33
weigh_cr39;2023-05-30 09:55:01
weigh_cr38;2023-05-30 10:41:24
weigh_cr41;2023-05-30 10:48:46
weigh_cr3;2023-05-30 10:58:40
weigh_cr37;2023-05-30 11:03:46
weigh_cr18;2023-05-30 11:14:53
weigh_cr20;2023-05-30 13:59:41
weigh_cr27;2023-05-30 13:59:55
weigh_cr40;2023-05-30 14:17:49
weigh_cr42;2023-05-30 14:52:32
weigh_cr48;2023-05-30 14:54:08
weigh_cr11;2023-05-30 15:04:02
weigh_cr35;2023-05-31 08:52:33
weigh_cr66;2023-05-31 09:33:46
weigh_cr67;2023-05-31 09:40:44
weigh_cr52;2023-05-31 09:49:00
weigh_cr45;2023-05-31 10:23:09
weigh_cr22;2023-05-31 11:23:37
weigh_cr6;2023-05-31 11:32:04
weigh_cr9;2023-05-31 11:39:52
weigh_cr30;2023-05-31 13:49:37
weigh_cr61;2023-05-31 15:43:11
weigh_cr47;2023-05-31 15:44:56
weigh_cr69;2023-05-31 16:43:37
weigh_cr58;2023-05-31 17:04:06
weigh_cr31;2023-06-01 08:21:59
weigh_cr50;2023-06-01 11:13:24
weigh_cr57;2023-06-01 11:24:26
weigh_cr64;2023-06-01 11:39:32
weigh_cr51;2023-06-01 11:40:17
weigh_cr77;2023-06-01 11:57:50
weigh_cr85;2023-06-01 13:59:48
weigh_cr34;2023-06-01 14:04:07
weigh_cr43;2023-06-01 14:48:52
weigh_cr13;2023-06-01 16:29:44
weigh_cr80;2023-06-02 07:43:06
weigh_cr29;2023-06-02 07:46:02
weigh_cr84;2023-06-02 08:45:58
weigh_cr1;2023-06-02 08:58:56
weigh_cr21;2023-06-02 09:01:18
weigh_cr10;2023-06-02 09:49:38
weigh_cr82;2023-06-02 14:15:10
weigh_cr28;2023-06-02 14:38:11
weigh_cr87;2023-06-02 15:21:56
weigh_cr78;2023-06-02 16:09:53
weigh_cr72;2023-06-02 17:26:40
weigh_cr49;2023-06-02 18:51:28
weigh_cr23;2023-06-05 11:15:21
weigh_cr111;2023-06-05 13:42:08
weigh_cr110;2023-06-05 15:22:57
weigh_cr79;2023-06-05 15:29:53
weigh_cr88;2023-06-05 15:39:16
weigh_cr73;2023-06-05 16:17:06
weigh_cr46;2023-06-06 07:45:12
weigh_cr83;2023-06-06 09:18:48
weigh_cr81;2023-06-06 09:19:26
weigh_cr105;2023-06-06 10:45:33
weigh_cr104;2023-06-06 10:47:00
weigh_cr74;2023-06-06 10:47:53
weigh_cr96;2023-06-06 10:54:52
weigh_cr117;2023-06-06 13:13:30
weigh_cr75;2023-06-06 14:47:09
weigh_cr55;2023-06-06 15:02:48
weigh_cr94;2023-06-06 15:11:08
weigh_cr53;2023-06-06 17:25:38
weigh_cr103;2023-06-07 07:41:39
weigh_cr62;2023-06-07 08:49:46
weigh_cr115;2023-06-07 09:18:06
weigh_cr112;2023-06-07 09:54:20
weigh_cr91;2023-06-07 11:30:14
weigh_cr116;2023-06-07 14:41:24
