ocel_event_id;ocel_object_id;ocel_qualifier
reg_co1;co1;registered CO
reg_co2;co2;registered CO
reg_co3;co3;registered CO
create_td1;co2;TD created for CO
create_td1;td1;created TD
book_vehs_td1;td1;VHs booked for TD
book_vehs_td1;vh4;booked VHs
create_td2;co3;TD created for CO
create_td2;td2;created TD
reg_co4;co4;registered CO
reg_co5;co5;registered CO
book_vehs_td2;td2;VHs booked for TD
book_vehs_td2;vh3;booked VHs
reg_co6;co6;registered CO
order_crs_td1;td1;ordered for TD
order_crs_td1;cr1;CRs ordered
order_crs_td1;cr2;CRs ordered
order_crs_td1;cr3;CRs ordered
order_crs_td1;cr4;CRs ordered
order_crs_td1;cr5;CRs ordered
order_crs_td2;td2;ordered for TD
order_crs_td2;cr6;CRs ordered
order_crs_td2;cr7;CRs ordered
order_crs_td2;cr8;CRs ordered
reg_co7;co7;registered CO
reg_co8;co8;registered CO
reg_co9;co9;registered CO
reg_co10;co10;registered CO
create_td3;co6;TD created for CO
create_td3;td3;created TD
create_td4;co7;TD created for CO
create_td4;td4;created TD
book_vehs_td4;td4;VHs booked for TD
book_vehs_td4;vh1;booked VHs
book_vehs_td4;vh8;booked VHs
book_vehs_td3;td3;VHs booked for TD
book_vehs_td3;vh5;booked VHs
create_td5;co5;TD created for CO
create_td5;td5;created TD
order_crs_td3;td3;ordered for TD
order_crs_td3;cr9;CRs ordered
order_crs_td3;cr10;CRs ordered
order_crs_td3;cr11;CRs ordered
book_vehs_td5;td5;VHs booked for TD
book_vehs_td5;vh3;booked VHs
reg_co11;co11;registered CO
order_crs_td4;td4;ordered for TD
order_crs_td4;cr16;CRs ordered
order_crs_td4;cr12;CRs ordered
order_crs_td4;cr13;CRs ordered
order_crs_td4;cr14;CRs ordered
order_crs_td4;cr15;CRs ordered
create_td6;co4;TD created for CO
create_td6;td6;created TD
book_vehs_td6;td6;VHs booked for TD
book_vehs_td6;vh6;booked VHs
create_td7;co11;TD created for CO
create_td7;td7;created TD
reg_co12;co12;registered CO
book_vehs_td7;td7;VHs booked for TD
book_vehs_td7;vh1;booked VHs
book_vehs_td7;vh3;booked VHs
pick_cr8;cr8;CR picked
collect_hu1;hu1;HU collected
load_truck_hu1;hu1;HU loaded
load_truck_hu1;cr8;CR laded
load_truck_hu1;tr5;TR laded
drive_term_cr8;cr8;CR moved
drive_term_cr8;tr5;TR moved
weigh_cr8;cr8;CR weighted
weigh_cr8;fl1;FL weighing
reg_co13;co13;registered CO
stock_cr8;cr8;CR stored
stock_cr8;fl1;FL moved
order_crs_td5;td5;ordered for TD
order_crs_td5;cr17;CRs ordered
order_crs_td5;cr18;CRs ordered
order_crs_td5;cr19;CRs ordered
order_crs_td7;td7;ordered for TD
order_crs_td7;cr25;CRs ordered
order_crs_td7;cr22;CRs ordered
order_crs_td7;cr23;CRs ordered
order_crs_td7;cr24;CRs ordered
collect_hu6;hu6;HU collected
pick_cr24;cr24;CR picked
collect_hu3;hu3;HU collected
collect_hu5;hu5;HU collected
collect_hu2;hu2;HU collected
collect_hu4;hu4;HU collected
collect_hu7;hu7;HU collected
load_truck_hu5;hu5;HU loaded
load_truck_hu5;cr24;CR laded
load_truck_hu5;tr1;TR laded
load_truck_hu4;hu4;HU loaded
load_truck_hu4;cr24;CR laded
load_truck_hu4;tr1;TR laded
load_truck_hu2;hu2;HU loaded
load_truck_hu2;cr24;CR laded
load_truck_hu2;tr1;TR laded
load_truck_hu6;hu6;HU loaded
load_truck_hu6;cr24;CR laded
load_truck_hu6;tr1;TR laded
load_truck_hu3;hu3;HU loaded
load_truck_hu3;cr24;CR laded
load_truck_hu3;tr1;TR laded
load_truck_hu7;hu7;HU loaded
load_truck_hu7;cr24;CR laded
load_truck_hu7;tr1;TR laded
order_crs_td6;td6;ordered for TD
order_crs_td6;cr20;CRs ordered
order_crs_td6;cr21;CRs ordered
reg_co14;co14;registered CO
reg_co15;co15;registered CO
pick_cr16;cr16;CR picked
collect_hu8;hu8;HU collected
pick_cr19;cr19;CR picked
collect_hu11;hu11;HU collected
collect_hu14;hu14;HU collected
collect_hu13;hu13;HU collected
collect_hu9;hu9;HU collected
collect_hu10;hu10;HU collected
collect_hu15;hu15;HU collected
collect_hu12;hu12;HU collected
load_truck_hu13;hu13;HU loaded
load_truck_hu13;cr19;CR laded
load_truck_hu13;tr3;TR laded
load_truck_hu15;hu15;HU loaded
load_truck_hu15;cr19;CR laded
load_truck_hu15;tr3;TR laded
load_truck_hu12;hu12;HU loaded
load_truck_hu12;cr19;CR laded
load_truck_hu12;tr3;TR laded
load_truck_hu14;hu14;HU loaded
load_truck_hu14;cr19;CR laded
load_truck_hu14;tr3;TR laded
load_truck_hu11;hu11;HU loaded
load_truck_hu11;cr19;CR laded
load_truck_hu11;tr3;TR laded
drive_term_cr24;cr24;CR moved
drive_term_cr24;tr1;TR moved
weigh_cr24;cr24;CR weighted
weigh_cr24;fl3;FL weighing
stock_cr24;cr24;CR stored
stock_cr24;fl3;FL moved
load_truck_hu8;hu8;HU loaded
load_truck_hu8;cr16;CR laded
load_truck_hu8;tr6;TR laded
load_truck_hu9;hu9;HU loaded
load_truck_hu9;cr16;CR laded
load_truck_hu9;tr6;TR laded
drive_term_cr19;cr19;CR moved
drive_term_cr19;tr3;TR moved
weigh_cr19;cr19;CR weighted
weigh_cr19;fl2;FL weighing
load_truck_hu10;hu10;HU loaded
load_truck_hu10;cr16;CR laded
load_truck_hu10;tr6;TR laded
stock_cr19;cr19;CR stored
stock_cr19;fl2;FL moved
drive_term_cr16;cr16;CR moved
drive_term_cr16;tr6;TR moved
weigh_cr16;cr16;CR weighted
weigh_cr16;fl1;FL weighing
stock_cr16;cr16;CR stored
stock_cr16;fl1;FL moved
reg_co16;co16;registered CO
create_td8;co14;TD created for CO
create_td8;td8;created TD
reg_co17;co17;registered CO
book_vehs_td8;td8;VHs booked for TD
book_vehs_td8;vh3;booked VHs
reg_co18;co18;registered CO
create_td9;co18;TD created for CO
create_td9;td9;created TD
order_crs_td8;td8;ordered for TD
order_crs_td8;cr26;CRs ordered
order_crs_td8;cr27;CRs ordered
reg_co19;co19;registered CO
reg_co20;co20;registered CO
pick_cr26;cr26;CR picked
collect_hu18;hu18;HU collected
pick_cr25;cr25;CR picked
collect_hu20;hu20;HU collected
collect_hu19;hu19;HU collected
collect_hu17;hu17;HU collected
collect_hu21;hu21;HU collected
collect_hu22;hu22;HU collected
collect_hu16;hu16;HU collected
load_truck_hu18;hu18;HU loaded
load_truck_hu18;cr26;CR laded
load_truck_hu18;tr2;TR laded
book_vehs_td9;td9;VHs booked for TD
book_vehs_td9;vh6;booked VHs
load_truck_hu20;hu20;HU loaded
load_truck_hu20;cr26;CR laded
load_truck_hu20;tr2;TR laded
load_truck_hu22;hu22;HU loaded
load_truck_hu22;cr25;CR laded
load_truck_hu22;tr4;TR laded
load_truck_hu21;hu21;HU loaded
load_truck_hu21;cr26;CR laded
load_truck_hu21;tr2;TR laded
load_truck_hu17;hu17;HU loaded
load_truck_hu17;cr26;CR laded
load_truck_hu17;tr2;TR laded
load_truck_hu19;hu19;HU loaded
load_truck_hu19;cr26;CR laded
load_truck_hu19;tr2;TR laded
drive_term_cr25;cr25;CR moved
drive_term_cr25;tr4;TR moved
weigh_cr25;cr25;CR weighted
weigh_cr25;fl3;FL weighing
stock_cr25;cr25;CR stored
stock_cr25;fl3;FL moved
load_truck_hu16;hu16;HU loaded
load_truck_hu16;cr26;CR laded
load_truck_hu16;tr2;TR laded
order_crs_td9;td9;ordered for TD
order_crs_td9;cr28;CRs ordered
order_crs_td9;cr29;CRs ordered
order_crs_td9;cr30;CRs ordered
order_crs_td9;cr31;CRs ordered
create_td10;co9;TD created for CO
create_td10;td10;created TD
reg_co21;co21;registered CO
book_vehs_td10;td10;VHs booked for TD
book_vehs_td10;vh3;booked VHs
drive_term_cr26;cr26;CR moved
drive_term_cr26;tr2;TR moved
weigh_cr26;cr26;CR weighted
weigh_cr26;fl3;FL weighing
stock_cr26;cr26;CR stored
stock_cr26;fl3;FL moved
create_td11;co1;TD created for CO
create_td11;td11;created TD
book_vehs_td11;td11;VHs booked for TD
book_vehs_td11;vh3;booked VHs
reg_co22;co22;registered CO
create_td12;co13;TD created for CO
create_td12;td12;created TD
create_td13;co16;TD created for CO
create_td13;td13;created TD
create_td14;co21;TD created for CO
create_td14;td14;created TD
order_crs_td10;td10;ordered for TD
order_crs_td10;cr32;CRs ordered
order_crs_td10;cr33;CRs ordered
order_crs_td10;cr34;CRs ordered
book_vehs_td12;td12;VHs booked for TD
book_vehs_td12;vh2;booked VHs
book_vehs_td13;td13;VHs booked for TD
book_vehs_td13;vh3;booked VHs
reg_co23;co23;registered CO
order_crs_td13;td13;ordered for TD
order_crs_td13;cr41;CRs ordered
order_crs_td13;cr42;CRs ordered
book_vehs_td14;td14;VHs booked for TD
book_vehs_td14;vh8;booked VHs
reg_co24;co24;registered CO
pick_cr5;cr5;CR picked
collect_hu24;hu24;HU collected
pick_cr15;cr15;CR picked
pick_cr7;cr7;CR picked
pick_cr33;cr33;CR picked
pick_cr32;cr32;CR picked
pick_cr4;cr4;CR picked
to_bay_cr16;cr16;CR brought to bay
to_bay_cr16;fl2;FL moved
to_bay_cr25;cr25;CR brought to bay
to_bay_cr25;fl3;FL moved
load_veh_cr16;cr16;CR loaded
load_veh_cr16;fl2;FL moved
load_veh_cr16;vh1;VH laded
collect_hu39;hu39;HU collected
collect_hu44;hu44;HU collected
create_td15;co15;TD created for CO
create_td15;td15;created TD
collect_hu26;hu26;HU collected
order_crs_td11;td11;ordered for TD
order_crs_td11;cr35;CRs ordered
order_crs_td11;cr36;CRs ordered
order_crs_td11;cr37;CRs ordered
order_crs_td11;cr38;CRs ordered
collect_hu41;hu41;HU collected
collect_hu27;hu27;HU collected
collect_hu25;hu25;HU collected
load_truck_hu24;hu24;HU loaded
load_truck_hu24;cr5;CR laded
load_truck_hu24;tr2;TR laded
collect_hu43;hu43;HU collected
load_truck_hu26;hu26;HU loaded
load_truck_hu26;cr15;CR laded
load_truck_hu26;tr6;TR laded
collect_hu30;hu30;HU collected
load_truck_hu25;hu25;HU loaded
load_truck_hu25;cr15;CR laded
load_truck_hu25;tr6;TR laded
load_truck_hu27;hu27;HU loaded
load_truck_hu27;cr15;CR laded
load_truck_hu27;tr6;TR laded
collect_hu45;hu45;HU collected
collect_hu53;hu53;HU collected
load_truck_hu30;hu30;HU loaded
load_truck_hu30;cr15;CR laded
load_truck_hu30;tr6;TR laded
load_veh_cr25;cr25;CR loaded
load_veh_cr25;fl3;FL moved
load_veh_cr25;vh1;VH laded
book_vehs_td15;td15;VHs booked for TD
book_vehs_td15;vh2;booked VHs
book_vehs_td15;vh5;booked VHs
load_truck_hu44;hu44;HU loaded
load_truck_hu44;cr32;CR laded
load_truck_hu44;tr5;TR laded
load_truck_hu45;hu45;HU loaded
load_truck_hu45;cr32;CR laded
load_truck_hu45;tr5;TR laded
load_truck_hu43;hu43;HU loaded
load_truck_hu43;cr32;CR laded
load_truck_hu43;tr5;TR laded
collect_hu36;hu36;HU collected
load_truck_hu53;hu53;HU loaded
load_truck_hu53;cr4;CR laded
load_truck_hu53;tr4;TR laded
load_truck_hu39;hu39;HU loaded
load_truck_hu39;cr33;CR laded
load_truck_hu39;tr1;TR laded
load_truck_hu41;hu41;HU loaded
load_truck_hu41;cr33;CR laded
load_truck_hu41;tr1;TR laded
reg_co25;co25;registered CO
order_crs_td14;td14;ordered for TD
order_crs_td14;cr43;CRs ordered
order_crs_td14;cr44;CRs ordered
order_crs_td14;cr45;CRs ordered
order_crs_td14;cr46;CRs ordered
order_crs_td14;cr47;CRs ordered
load_truck_hu36;hu36;HU loaded
load_truck_hu36;cr7;CR laded
load_truck_hu36;tr3;TR laded
collect_hu35;hu35;HU collected
load_truck_hu35;hu35;HU loaded
load_truck_hu35;cr7;CR laded
load_truck_hu35;tr3;TR laded
collect_hu50;hu50;HU collected
create_td16;co10;TD created for CO
create_td16;td16;created TD
collect_hu52;hu52;HU collected
load_truck_hu50;hu50;HU loaded
load_truck_hu50;cr4;CR laded
load_truck_hu50;tr4;TR laded
collect_hu47;hu47;HU collected
load_truck_hu52;hu52;HU loaded
load_truck_hu52;cr4;CR laded
load_truck_hu52;tr4;TR laded
load_truck_hu47;hu47;HU loaded
load_truck_hu47;cr32;CR laded
load_truck_hu47;tr5;TR laded
collect_hu34;hu34;HU collected
load_truck_hu34;hu34;HU loaded
load_truck_hu34;cr7;CR laded
load_truck_hu34;tr3;TR laded
collect_hu40;hu40;HU collected
collect_hu31;hu31;HU collected
load_truck_hu40;hu40;HU loaded
load_truck_hu40;cr33;CR laded
load_truck_hu40;tr1;TR laded
load_truck_hu31;hu31;HU loaded
load_truck_hu31;cr7;CR laded
load_truck_hu31;tr3;TR laded
collect_hu29;hu29;HU collected
load_truck_hu29;hu29;HU loaded
load_truck_hu29;cr15;CR laded
load_truck_hu29;tr6;TR laded
collect_hu32;hu32;HU collected
book_vehs_td16;td16;VHs booked for TD
book_vehs_td16;vh3;booked VHs
collect_hu23;hu23;HU collected
load_truck_hu32;hu32;HU loaded
load_truck_hu32;cr7;CR laded
load_truck_hu32;tr3;TR laded
collect_hu48;hu48;HU collected
load_truck_hu23;hu23;HU loaded
load_truck_hu23;cr5;CR laded
load_truck_hu23;tr2;TR laded
collect_hu38;hu38;HU collected
load_truck_hu48;hu48;HU loaded
load_truck_hu48;cr32;CR laded
load_truck_hu48;tr5;TR laded
load_truck_hu38;hu38;HU loaded
load_truck_hu38;cr33;CR laded
load_truck_hu38;tr1;TR laded
collect_hu49;hu49;HU collected
collect_hu46;hu46;HU collected
load_truck_hu49;hu49;HU loaded
load_truck_hu49;cr4;CR laded
load_truck_hu49;tr4;TR laded
collect_hu33;hu33;HU collected
load_truck_hu46;hu46;HU loaded
load_truck_hu46;cr32;CR laded
load_truck_hu46;tr5;TR laded
collect_hu28;hu28;HU collected
load_truck_hu33;hu33;HU loaded
load_truck_hu33;cr7;CR laded
load_truck_hu33;tr3;TR laded
drive_term_cr5;cr5;CR moved
drive_term_cr5;tr2;TR moved
pick_cr2;cr2;CR picked
weigh_cr5;cr5;CR weighted
weigh_cr5;fl3;FL weighing
collect_hu58;hu58;HU collected
load_truck_hu28;hu28;HU loaded
load_truck_hu28;cr15;CR laded
load_truck_hu28;tr6;TR laded
collect_hu56;hu56;HU collected
stock_cr5;cr5;CR stored
stock_cr5;fl3;FL moved
collect_hu54;hu54;HU collected
drive_term_cr7;cr7;CR moved
drive_term_cr7;tr3;TR moved
pick_cr37;cr37;CR picked
collect_hu65;hu65;HU collected
load_truck_hu54;hu54;HU loaded
load_truck_hu54;cr4;CR laded
load_truck_hu54;tr4;TR laded
collect_hu63;hu63;HU collected
order_crs_td15;td15;ordered for TD
order_crs_td15;cr48;CRs ordered
order_crs_td15;cr49;CRs ordered
reg_co26;co26;registered CO
load_truck_hu58;hu58;HU loaded
load_truck_hu58;cr2;CR laded
load_truck_hu58;tr2;TR laded
load_truck_hu56;hu56;HU loaded
load_truck_hu56;cr2;CR laded
load_truck_hu56;tr2;TR laded
weigh_cr7;cr7;CR weighted
weigh_cr7;fl2;FL weighing
stock_cr7;cr7;CR stored
stock_cr7;fl2;FL moved
collect_hu66;hu66;HU collected
load_truck_hu65;hu65;HU loaded
load_truck_hu65;cr37;CR laded
load_truck_hu65;tr3;TR laded
order_crs_td12;td12;ordered for TD
order_crs_td12;cr39;CRs ordered
order_crs_td12;cr40;CRs ordered
load_truck_hu63;hu63;HU loaded
load_truck_hu63;cr37;CR laded
load_truck_hu63;tr3;TR laded
drive_term_cr32;cr32;CR moved
drive_term_cr32;tr5;TR moved
pick_cr17;cr17;CR picked
weigh_cr32;cr32;CR weighted
weigh_cr32;fl1;FL weighing
stock_cr32;cr32;CR stored
stock_cr32;fl1;FL moved
drive_term_cr15;cr15;CR moved
drive_term_cr15;tr6;TR moved
pick_cr3;cr3;CR picked
weigh_cr15;cr15;CR weighted
weigh_cr15;fl2;FL weighing
stock_cr15;cr15;CR stored
stock_cr15;fl2;FL moved
load_truck_hu66;hu66;HU loaded
load_truck_hu66;cr37;CR laded
load_truck_hu66;tr3;TR laded
collect_hu59;hu59;HU collected
load_truck_hu59;hu59;HU loaded
load_truck_hu59;cr2;CR laded
load_truck_hu59;tr2;TR laded
collect_hu37;hu37;HU collected
collect_hu78;hu78;HU collected
load_truck_hu37;hu37;HU loaded
load_truck_hu37;cr33;CR laded
load_truck_hu37;tr1;TR laded
load_truck_hu78;hu78;HU loaded
load_truck_hu78;cr3;CR laded
load_truck_hu78;tr6;TR laded
collect_hu67;hu67;HU collected
collect_hu61;hu61;HU collected
load_truck_hu61;hu61;HU loaded
load_truck_hu61;cr37;CR laded
load_truck_hu61;tr3;TR laded
collect_hu73;hu73;HU collected
collect_hu68;hu68;HU collected
load_truck_hu73;hu73;HU loaded
load_truck_hu73;cr3;CR laded
load_truck_hu73;tr6;TR laded
reg_co27;co27;registered CO
collect_hu51;hu51;HU collected
collect_hu70;hu70;HU collected
load_truck_hu51;hu51;HU loaded
load_truck_hu51;cr4;CR laded
load_truck_hu51;tr4;TR laded
collect_hu64;hu64;HU collected
load_truck_hu64;hu64;HU loaded
load_truck_hu64;cr37;CR laded
load_truck_hu64;tr3;TR laded
collect_hu57;hu57;HU collected
collect_hu42;hu42;HU collected
load_truck_hu57;hu57;HU loaded
load_truck_hu57;cr2;CR laded
load_truck_hu57;tr2;TR laded
collect_hu71;hu71;HU collected
load_truck_hu42;hu42;HU loaded
load_truck_hu42;cr33;CR laded
load_truck_hu42;tr1;TR laded
collect_hu55;hu55;HU collected
collect_hu72;hu72;HU collected
load_truck_hu55;hu55;HU loaded
load_truck_hu55;cr2;CR laded
load_truck_hu55;tr2;TR laded
drive_term_cr4;cr4;CR moved
drive_term_cr4;tr4;TR moved
pick_cr39;cr39;CR picked
collect_hu77;hu77;HU collected
load_truck_hu77;hu77;HU loaded
load_truck_hu77;cr3;CR laded
load_truck_hu77;tr6;TR laded
collect_hu60;hu60;HU collected
weigh_cr4;cr4;CR weighted
weigh_cr4;fl3;FL weighing
load_truck_hu60;hu60;HU loaded
load_truck_hu60;cr2;CR laded
load_truck_hu60;tr2;TR laded
collect_hu79;hu79;HU collected
stock_cr4;cr4;CR stored
stock_cr4;fl3;FL moved
collect_hu82;hu82;HU collected
collect_hu74;hu74;HU collected
drive_term_cr33;cr33;CR moved
drive_term_cr33;tr1;TR moved
pick_cr41;cr41;CR picked
load_truck_hu74;hu74;HU loaded
load_truck_hu74;cr3;CR laded
load_truck_hu74;tr6;TR laded
collect_hu80;hu80;HU collected
collect_hu69;hu69;HU collected
weigh_cr33;cr33;CR weighted
weigh_cr33;fl3;FL weighing
load_truck_hu71;hu71;HU loaded
load_truck_hu71;cr17;CR laded
load_truck_hu71;tr5;TR laded
load_truck_hu70;hu70;HU loaded
load_truck_hu70;cr17;CR laded
load_truck_hu70;tr5;TR laded
load_truck_hu72;hu72;HU loaded
load_truck_hu72;cr17;CR laded
load_truck_hu72;tr5;TR laded
load_truck_hu68;hu68;HU loaded
load_truck_hu68;cr17;CR laded
load_truck_hu68;tr5;TR laded
load_truck_hu67;hu67;HU loaded
load_truck_hu67;cr17;CR laded
load_truck_hu67;tr5;TR laded
create_td17;co19;TD created for CO
create_td17;td17;created TD
load_truck_hu80;hu80;HU loaded
load_truck_hu80;cr39;CR laded
load_truck_hu80;tr4;TR laded
drive_term_cr2;cr2;CR moved
drive_term_cr2;tr2;TR moved
pick_cr18;cr18;CR picked
weigh_cr2;cr2;CR weighted
weigh_cr2;fl1;FL weighing
load_truck_hu82;hu82;HU loaded
load_truck_hu82;cr39;CR laded
load_truck_hu82;tr4;TR laded
load_truck_hu79;hu79;HU loaded
load_truck_hu79;cr39;CR laded
load_truck_hu79;tr4;TR laded
stock_cr2;cr2;CR stored
stock_cr2;fl1;FL moved
stock_cr33;cr33;CR stored
stock_cr33;fl3;FL moved
collect_hu91;hu91;HU collected
load_truck_hu69;hu69;HU loaded
load_truck_hu69;cr17;CR laded
load_truck_hu69;tr5;TR laded
collect_hu89;hu89;HU collected
collect_hu86;hu86;HU collected
load_truck_hu89;hu89;HU loaded
load_truck_hu89;cr41;CR laded
load_truck_hu89;tr1;TR laded
create_td18;co20;TD created for CO
create_td18;td18;created TD
load_truck_hu86;hu86;HU loaded
load_truck_hu86;cr41;CR laded
load_truck_hu86;tr1;TR laded
collect_hu84;hu84;HU collected
order_crs_td16;td16;ordered for TD
order_crs_td16;cr50;CRs ordered
order_crs_td16;cr51;CRs ordered
order_crs_td16;cr52;CRs ordered
collect_hu85;hu85;HU collected
reg_co28;co28;registered CO
collect_hu93;hu93;HU collected
load_truck_hu85;hu85;HU loaded
load_truck_hu85;cr41;CR laded
load_truck_hu85;tr1;TR laded
collect_hu96;hu96;HU collected
book_vehs_td18;td18;VHs booked for TD
