ocel_id;ocel_type
fl3;Forklift
tr5;Truck
tr4;Truck
fl1;Forklift
fl2;Forklift
tr1;Truck
tr3;Truck
tr6;Truck
tr2;Truck
co1;Customer Order
co2;Customer Order
co3;Customer Order
td1;Transport Document
td2;Transport Document
co4;Customer Order
co5;Customer Order
co6;Customer Order
co7;Customer Order
co8;Customer Order
co9;Customer Order
co10;Customer Order
td3;Transport Document
td4;Transport Document
td5;Transport Document
co11;Customer Order
td6;Transport Document
td7;Transport Document
co12;Customer Order
cr8;Container
hu1;Handling Unit
co13;Customer Order
hu6;Handling Unit
cr24;Container
hu3;Handling Unit
hu5;Handling Unit
hu2;Handling Unit
hu4;Handling Unit
hu7;Handling Unit
co14;Customer Order
co15;Customer Order
cr16;Container
hu8;Handling Unit
cr19;Container
hu11;Handling Unit
hu14;Handling Unit
hu13;Handling Unit
hu9;Handling Unit
hu10;Handling Unit
hu15;Handling Unit
hu12;Handling Unit
co16;Customer Order
td8;Transport Document
co17;Customer Order
co18;Customer Order
td9;Transport Document
co19;Customer Order
co20;Customer Order
cr26;Container
hu18;Handling Unit
cr25;Container
hu20;Handling Unit
hu19;Handling Unit
hu17;Handling Unit
hu21;Handling Unit
hu22;Handling Unit
hu16;Handling Unit
td10;Transport Document
co21;Customer Order
td11;Transport Document
co22;Customer Order
td12;Transport Document
td13;Transport Document
td14;Transport Document
co23;Customer Order
co24;Customer Order
cr5;Container
hu24;Handling Unit
cr15;Container
cr7;Container
cr33;Container
cr32;Container
cr4;Container
hu39;Handling Unit
hu44;Handling Unit
td15;Transport Document
hu26;Handling Unit
hu41;Handling Unit
hu27;Handling Unit
hu25;Handling Unit
hu43;Handling Unit
hu30;Handling Unit
hu45;Handling Unit
hu53;Handling Unit
hu36;Handling Unit
co25;Customer Order
hu35;Handling Unit
hu50;Handling Unit
td16;Transport Document
hu52;Handling Unit
hu47;Handling Unit
hu34;Handling Unit
hu40;Handling Unit
hu31;Handling Unit
hu29;Handling Unit
hu32;Handling Unit
hu23;Handling Unit
hu48;Handling Unit
hu38;Handling Unit
hu49;Handling Unit
hu46;Handling Unit
hu33;Handling Unit
hu28;Handling Unit
cr2;Container
hu58;Handling Unit
hu56;Handling Unit
hu54;Handling Unit
cr37;Container
hu65;Handling Unit
hu63;Handling Unit
co26;Customer Order
hu66;Handling Unit
cr17;Container
cr3;Container
hu59;Handling Unit
hu37;Handling Unit
hu78;Handling Unit
hu67;Handling Unit
hu61;Handling Unit
hu73;Handling Unit
hu68;Handling Unit
co27;Customer Order
hu51;Handling Unit
hu70;Handling Unit
hu64;Handling Unit
hu57;Handling Unit
hu42;Handling Unit
hu71;Handling Unit
hu55;Handling Unit
hu72;Handling Unit
cr39;Container
hu77;Handling Unit
hu60;Handling Unit
hu79;Handling Unit
hu82;Handling Unit
hu74;Handling Unit
cr41;Container
hu80;Handling Unit
hu69;Handling Unit
td17;Transport Document
cr18;Container
hu91;Handling Unit
hu89;Handling Unit
hu86;Handling Unit
td18;Transport Document
hu84;Handling Unit
hu85;Handling Unit
co28;Customer Order
hu93;Handling Unit
hu96;Handling Unit
hu76;Handling Unit
co29;Customer Order
hu90;Handling Unit
cr38;Container
hu92;Handling Unit
hu83;Handling Unit
td19;Transport Document
hu81;Handling Unit
hu62;Handling Unit
hu87;Handling Unit
hu95;Handling Unit
hu97;Handling Unit
hu88;Handling Unit
hu94;Handling Unit
hu75;Handling Unit
hu102;Handling Unit
cr48;Container
hu100;Handling Unit
hu98;Handling Unit
cr42;Container
hu99;Handling Unit
cr40;Container
cr11;Container
co30;Customer Order
cr27;Container
hu105;Handling Unit
vh1;Vehicle
td20;Transport Document
cr20;Container
td21;Transport Document
hu109;Handling Unit
hu108;Handling Unit
hu106;Handling Unit
hu114;Handling Unit
hu115;Handling Unit
hu112;Handling Unit
hu116;Handling Unit
hu103;Handling Unit
hu101;Handling Unit
hu104;Handling Unit
hu111;Handling Unit
hu107;Handling Unit
hu110;Handling Unit
co31;Customer Order
hu113;Handling Unit
cr9;Container
hu117;Handling Unit
cr35;Container
cr52;Container
cr66;Container
cr67;Container
hu130;Handling Unit
cr45;Container
hu146;Handling Unit
co32;Customer Order
td22;Transport Document
hu126;Handling Unit
hu132;Handling Unit
hu136;Handling Unit
hu134;Handling Unit
hu125;Handling Unit
co33;Customer Order
td23;Transport Document
hu139;Handling Unit
hu124;Handling Unit
co34;Customer Order
hu142;Handling Unit
hu119;Handling Unit
hu128;Handling Unit
hu127;Handling Unit
hu118;Handling Unit
hu122;Handling Unit
hu123;Handling Unit
hu140;Handling Unit
hu147;Handling Unit
hu144;Handling Unit
hu138;Handling Unit
hu143;Handling Unit
cr30;Container
hu149;Handling Unit
hu129;Handling Unit
hu148;Handling Unit
hu135;Handling Unit
hu145;Handling Unit
hu141;Handling Unit
hu151;Handling Unit
hu120;Handling Unit
hu153;Handling Unit
hu137;Handling Unit
hu152;Handling Unit
hu133;Handling Unit
hu131;Handling Unit
cr22;Container
hu158;Handling Unit
cr6;Container
hu163;Handling Unit
hu156;Handling Unit
hu155;Handling Unit
hu160;Handling Unit
hu159;Handling Unit
hu161;Handling Unit
cr69;Container
hu165;Handling Unit
hu170;Handling Unit
hu167;Handling Unit
hu169;Handling Unit
hu162;Handling Unit
hu154;Handling Unit
cr61;Container
co35;Customer Order
hu176;Handling Unit
hu175;Handling Unit
hu168;Handling Unit
hu157;Handling Unit
hu171;Handling Unit
hu164;Handling Unit
hu172;Handling Unit
hu173;Handling Unit
hu121;Handling Unit
td24;Transport Document
cr58;Container
hu166;Handling Unit
hu150;Handling Unit
hu174;Handling Unit
cr77;Container
hu184;Handling Unit
cr47;Container
hu179;Handling Unit
hu185;Handling Unit
hu186;Handling Unit
hu191;Handling Unit
hu178;Handling Unit
hu190;Handling Unit
co36;Customer Order
cr31;Container
hu182;Handling Unit
hu192;Handling Unit
hu198;Handling Unit
hu181;Handling Unit
hu183;Handling Unit
hu189;Handling Unit
hu187;Handling Unit
hu194;Handling Unit
hu193;Handling Unit
hu177;Handling Unit
hu195;Handling Unit
hu180;Handling Unit
hu196;Handling Unit
cr57;Container
cr50;Container
hu200;Handling Unit
hu206;Handling Unit
hu201;Handling Unit
hu207;Handling Unit
co37;Customer Order
td25;Transport Document
hu202;Handling Unit
hu209;Handling Unit
hu210;Handling Unit
hu197;Handling Unit
cr64;Container
td26;Transport Document
hu204;Handling Unit
cr43;Container
hu211;Handling Unit
co38;Customer Order
hu203;Handling Unit
hu208;Handling Unit
hu222;Handling Unit
hu217;Handling Unit
cr51;Container
hu224;Handling Unit
hu228;Handling Unit
hu227;Handling Unit
co39;Customer Order
hu213;Handling Unit
hu215;Handling Unit
hu205;Handling Unit
hu226;Handling Unit
td27;Transport Document
hu216;Handling Unit
hu220;Handling Unit
hu218;Handling Unit
hu199;Handling Unit
td28;Transport Document
hu225;Handling Unit
co40;Customer Order
cr85;Container
hu212;Handling Unit
hu230;Handling Unit
hu233;Handling Unit
hu229;Handling Unit
hu214;Handling Unit
cr34;Container
hu236;Handling Unit
hu237;Handling Unit
hu219;Handling Unit
td29;Transport Document
hu223;Handling Unit
hu231;Handling Unit
hu232;Handling Unit
cr13;Container
hu243;Handling Unit
hu235;Handling Unit
cr21;Container
hu188;Handling Unit
hu242;Handling Unit
hu239;Handling Unit
hu234;Handling Unit
hu221;Handling Unit
cr80;Container
hu241;Handling Unit
cr84;Container
hu245;Handling Unit
hu251;Handling Unit
co41;Customer Order
hu247;Handling Unit
cr1;Container
cr29;Container
co42;Customer Order
hu238;Handling Unit
hu265;Handling Unit
hu250;Handling Unit
hu270;Handling Unit
hu260;Handling Unit
hu240;Handling Unit
hu257;Handling Unit
hu254;Handling Unit
hu252;Handling Unit
hu248;Handling Unit
hu253;Handling Unit
hu256;Handling Unit
hu267;Handling Unit
hu261;Handling Unit
hu255;Handling Unit
hu271;Handling Unit
hu264;Handling Unit
hu263;Handling Unit
hu268;Handling Unit
hu259;Handling Unit
hu269;Handling Unit
td30;Transport Document
cr10;Container
co43;Customer Order
hu272;Handling Unit
td31;Transport Document
hu266;Handling Unit
co44;Customer Order
hu275;Handling Unit
hu249;Handling Unit
hu273;Handling Unit
hu246;Handling Unit
hu277;Handling Unit
hu274;Handling Unit
hu276;Handling Unit
hu262;Handling Unit
hu244;Handling Unit
hu258;Handling Unit
td32;Transport Document
hu278;Handling Unit
cr82;Container
cr46;Container
hu289;Handling Unit
hu285;Handling Unit
cr87;Container
cr72;Container
cr28;Container
hu292;Handling Unit
hu282;Handling Unit
cr78;Container
hu297;Handling Unit
hu310;Handling Unit
hu299;Handling Unit
hu283;Handling Unit
hu295;Handling Unit
hu294;Handling Unit
hu280;Handling Unit
hu305;Handling Unit
hu307;Handling Unit
co45;Customer Order
hu300;Handling Unit
hu303;Handling Unit
hu302;Handling Unit
hu288;Handling Unit
hu281;Handling Unit
hu291;Handling Unit
hu279;Handling Unit
hu309;Handling Unit
vh2;Vehicle
td33;Transport Document
hu290;Handling Unit
co46;Customer Order
hu306;Handling Unit
hu293;Handling Unit
hu284;Handling Unit
hu304;Handling Unit
cr88;Container
hu311;Handling Unit
hu286;Handling Unit
