ocel_id;ocel_time;ocel_changed_field
hu1;2023-05-24 14:16:12;
hu6;2023-05-24 16:10:43;
hu3;2023-05-24 16:20:00;
hu5;2023-05-24 16:22:21;
hu2;2023-05-24 16:25:33;
hu4;2023-05-24 16:32:13;
hu7;2023-05-24 16:34:06;
hu8;2023-05-24 23:21:13;
hu11;2023-05-25 07:26:09;
hu14;2023-05-25 07:27:35;
hu13;2023-05-25 07:28:56;
hu9;2023-05-25 07:36:53;
hu10;2023-05-25 07:38:19;
hu15;2023-05-25 07:45:44;
hu12;2023-05-25 07:46:46;
hu18;2023-05-25 20:11:13;
hu20;2023-05-26 07:21:51;
hu19;2023-05-26 07:23:57;
hu17;2023-05-26 07:28:28;
hu21;2023-05-26 07:32:20;
hu22;2023-05-26 07:40:51;
hu16;2023-05-26 07:56:40;
hu24;2023-05-27 04:54:01;
hu39;2023-05-29 08:00:34;
hu44;2023-05-29 08:01:52;
hu26;2023-05-29 08:11:07;
hu41;2023-05-29 08:21:05;
hu27;2023-05-29 08:32:52;
hu25;2023-05-29 08:38:04;
hu43;2023-05-29 08:39:59;
hu30;2023-05-29 08:43:49;
hu45;2023-05-29 08:56:15;
hu53;2023-05-29 08:57:37;
hu36;2023-05-29 09:58:37;
hu35;2023-05-29 11:03:26;
hu50;2023-05-29 11:04:47;
hu52;2023-05-29 11:07:05;
hu47;2023-05-29 11:07:49;
hu34;2023-05-29 11:10:10;
hu40;2023-05-29 11:11:34;
hu31;2023-05-29 11:19:31;
hu29;2023-05-29 11:20:08;
hu32;2023-05-29 11:22:20;
hu23;2023-05-29 11:26:06;
hu48;2023-05-29 11:27:07;
hu38;2023-05-29 11:30:35;
hu49;2023-05-29 11:32:35;
hu46;2023-05-29 11:36:19;
hu33;2023-05-29 11:39:24;
hu28;2023-05-29 11:40:30;
hu58;2023-05-29 11:46:26;
hu56;2023-05-29 11:47:33;
hu54;2023-05-29 11:52:57;
hu65;2023-05-29 11:56:18;
hu63;2023-05-29 11:58:33;
hu66;2023-05-29 13:59:11;
hu59;2023-05-29 15:05:28;
hu37;2023-05-29 15:08:14;
hu78;2023-05-29 15:08:49;
hu67;2023-05-29 15:12:08;
hu61;2023-05-29 15:13:14;
hu73;2023-05-29 15:19:26;
hu68;2023-05-29 15:23:10;
hu51;2023-05-29 15:29:40;
hu70;2023-05-29 15:31:25;
hu64;2023-05-29 15:35:38;
hu57;2023-05-29 15:36:12;
hu42;2023-05-29 15:37:41;
hu71;2023-05-29 15:39:58;
hu55;2023-05-29 15:42:02;
hu72;2023-05-29 15:43:52;
hu77;2023-05-29 15:45:28;
hu60;2023-05-29 15:47:03;
hu79;2023-05-29 15:47:38;
hu82;2023-05-29 15:53:52;
hu74;2023-05-29 15:55:22;
hu80;2023-05-29 15:56:48;
hu69;2023-05-29 15:58:29;
hu91;2023-05-29 17:01:48;
hu89;2023-05-29 17:07:37;
hu86;2023-05-29 17:23:51;
hu84;2023-05-29 17:33:18;
hu85;2023-05-29 17:41:22;
hu93;2023-05-29 17:49:16;
hu96;2023-05-29 17:53:18;
hu76;2023-05-29 19:40:41;
hu90;2023-05-30 07:42:00;
hu92;2023-05-30 07:55:40;
hu83;2023-05-30 07:59:55;
hu81;2023-05-30 09:12:18;
hu62;2023-05-30 09:12:49;
hu87;2023-05-30 09:15:17;
hu95;2023-05-30 09:22:36;
hu97;2023-05-30 09:25:31;
hu88;2023-05-30 09:28:57;
hu94;2023-05-30 09:30:37;
hu75;2023-05-30 09:32:26;
hu102;2023-05-30 09:53:25;
hu100;2023-05-30 09:55:15;
hu98;2023-05-30 09:56:30;
hu99;2023-05-30 09:59:19;
hu105;2023-05-30 10:59:58;
hu109;2023-05-30 12:01:02;
hu108;2023-05-30 13:04:38;
hu106;2023-05-30 13:09:13;
hu114;2023-05-30 13:12:03;
hu115;2023-05-30 13:18:01;
hu112;2023-05-30 13:19:12;
hu116;2023-05-30 13:22:53;
hu103;2023-05-30 13:24:52;
hu101;2023-05-30 13:27:36;
hu104;2023-05-30 13:29:28;
hu111;2023-05-30 13:31:44;
hu107;2023-05-30 13:35:49;
hu110;2023-05-30 13:36:40;
hu113;2023-05-30 13:39:03;
hu117;2023-05-30 13:57:51;
hu130;2023-05-30 14:58:09;
hu146;2023-05-30 15:59:27;
hu126;2023-05-30 17:00:28;
hu132;2023-05-30 17:02:19;
hu136;2023-05-30 17:07:59;
hu134;2023-05-30 17:32:39;
hu125;2023-05-30 17:35:18;
hu139;2023-05-30 17:58:14;
hu124;2023-05-30 19:01:47;
hu142;2023-05-31 07:04:02;
hu119;2023-05-31 07:06:41;
hu128;2023-05-31 07:08:08;
hu127;2023-05-31 07:09:12;
hu118;2023-05-31 07:11:36;
hu122;2023-05-31 07:21:48;
hu123;2023-05-31 07:36:14;
hu140;2023-05-31 07:38:31;
hu147;2023-05-31 07:40:16;
hu144;2023-05-31 07:44:27;
hu138;2023-05-31 07:46:53;
hu143;2023-05-31 07:58:03;
hu149;2023-05-31 09:05:07;
hu129;2023-05-31 09:13:04;
hu148;2023-05-31 09:14:15;
hu135;2023-05-31 09:15:26;
hu145;2023-05-31 09:16:51;
hu141;2023-05-31 09:17:44;
hu151;2023-05-31 09:18:35;
hu120;2023-05-31 09:20:07;
hu153;2023-05-31 09:22:03;
hu137;2023-05-31 09:23:48;
hu152;2023-05-31 09:24:47;
hu133;2023-05-31 09:25:31;
hu131;2023-05-31 09:26:53;
hu158;2023-05-31 09:34:25;
hu163;2023-05-31 09:35:46;
hu156;2023-05-31 09:38:25;
hu155;2023-05-31 09:39:04;
hu160;2023-05-31 09:40:46;
hu159;2023-05-31 09:41:30;
hu161;2023-05-31 09:43:15;
hu165;2023-05-31 09:49:18;
hu170;2023-05-31 09:49:48;
