ocel_source_id;ocel_target_id;ocel_qualifier
co2;td1;TD for CO
td1;vh4;Regular VH for TD
co3;td2;TD for CO
td2;vh3;Regular VH for TD
cr1;td1;CR for TD
cr2;td1;CR for TD
cr3;td1;CR for TD
cr4;td1;CR for TD
cr5;td1;CR for TD
cr6;td2;CR for TD
cr7;td2;CR for TD
cr8;td2;CR for TD
co6;td3;TD for CO
co7;td4;TD for CO
td4;vh1;High-Prio VH for TD
td4;vh8;Regular VH for TD
td3;vh5;Regular VH for TD
co5;td5;TD for CO
cr9;td3;CR for TD
cr10;td3;CR for TD
cr11;td3;CR for TD
td5;vh3;Regular VH for TD
cr16;td4;CR for TD
cr12;td4;CR for TD
cr13;td4;CR for TD
cr14;td4;CR for TD
cr15;td4;CR for TD
co4;td6;TD for CO
td6;vh6;Regular VH for TD
co11;td7;TD for CO
td7;vh1;High-Prio VH for TD
td7;vh3;Regular VH for TD
tr5;cr8;TR loads CR
cr8;hu1;CR contains HU
cr17;td5;CR for TD
cr18;td5;CR for TD
cr19;td5;CR for TD
cr25;td7;CR for TD
cr22;td7;CR for TD
cr23;td7;CR for TD
cr24;td7;CR for TD
tr1;cr24;TR loads CR
cr24;hu5;CR contains HU
cr24;hu4;CR contains HU
cr24;hu2;CR contains HU
cr24;hu6;CR contains HU
cr24;hu3;CR contains HU
cr24;hu7;CR contains HU
cr20;td6;CR for TD
cr21;td6;CR for TD
tr6;cr16;TR loads CR
tr3;cr19;TR loads CR
cr19;hu13;CR contains HU
cr19;hu15;CR contains HU
cr19;hu12;CR contains HU
cr19;hu14;CR contains HU
cr19;hu11;CR contains HU
cr16;hu8;CR contains HU
cr16;hu9;CR contains HU
cr16;hu10;CR contains HU
co14;td8;TD for CO
td8;vh3;Regular VH for TD
co18;td9;TD for CO
cr26;td8;CR for TD
cr27;td8;CR for TD
tr2;cr26;TR loads CR
tr4;cr25;TR loads CR
cr26;hu18;CR contains HU
td9;vh6;Regular VH for TD
cr26;hu20;CR contains HU
cr25;hu22;CR contains HU
cr26;hu21;CR contains HU
cr26;hu17;CR contains HU
cr26;hu19;CR contains HU
cr26;hu16;CR contains HU
cr28;td9;CR for TD
cr29;td9;CR for TD
cr30;td9;CR for TD
cr31;td9;CR for TD
co9;td10;TD for CO
td10;vh3;Regular VH for TD
co1;td11;TD for CO
td11;vh3;Regular VH for TD
co13;td12;TD for CO
co16;td13;TD for CO
co21;td14;TD for CO
cr32;td10;CR for TD
cr33;td10;CR for TD
cr34;td10;CR for TD
td12;vh2;Regular VH for TD
td13;vh3;Regular VH for TD
cr41;td13;CR for TD
cr42;td13;CR for TD
td14;vh8;Regular VH for TD
tr2;cr5;TR loads CR
tr6;cr15;TR loads CR
tr3;cr7;TR loads CR
tr1;cr33;TR loads CR
tr5;cr32;TR loads CR
tr4;cr4;TR loads CR
co15;td15;TD for CO
cr35;td11;CR for TD
cr36;td11;CR for TD
cr37;td11;CR for TD
cr38;td11;CR for TD
cr5;hu24;CR contains HU
cr15;hu26;CR contains HU
cr15;hu25;CR contains HU
cr15;hu27;CR contains HU
cr15;hu30;CR contains HU
td15;vh2;High-Prio VH for TD
td15;vh5;Regular VH for TD
cr32;hu44;CR contains HU
cr32;hu45;CR contains HU
cr32;hu43;CR contains HU
cr4;hu53;CR contains HU
cr33;hu39;CR contains HU
cr33;hu41;CR contains HU
cr43;td14;CR for TD
cr44;td14;CR for TD
cr45;td14;CR for TD
cr46;td14;CR for TD
cr47;td14;CR for TD
cr7;hu36;CR contains HU
cr7;hu35;CR contains HU
co10;td16;TD for CO
cr4;hu50;CR contains HU
cr4;hu52;CR contains HU
cr32;hu47;CR contains HU
cr7;hu34;CR contains HU
cr33;hu40;CR contains HU
cr7;hu31;CR contains HU
cr15;hu29;CR contains HU
td16;vh3;Regular VH for TD
cr7;hu32;CR contains HU
cr5;hu23;CR contains HU
cr32;hu48;CR contains HU
cr33;hu38;CR contains HU
cr4;hu49;CR contains HU
cr32;hu46;CR contains HU
cr7;hu33;CR contains HU
tr2;cr2;TR loads CR
cr15;hu28;CR contains HU
tr3;cr37;TR loads CR
cr4;hu54;CR contains HU
cr48;td15;CR for TD
cr49;td15;CR for TD
cr2;hu58;CR contains HU
cr2;hu56;CR contains HU
cr37;hu65;CR contains HU
cr39;td12;CR for TD
cr40;td12;CR for TD
cr37;hu63;CR contains HU
tr5;cr17;TR loads CR
tr6;cr3;TR loads CR
cr37;hu66;CR contains HU
cr2;hu59;CR contains HU
cr33;hu37;CR contains HU
cr3;hu78;CR contains HU
cr37;hu61;CR contains HU
cr3;hu73;CR contains HU
cr4;hu51;CR contains HU
cr37;hu64;CR contains HU
cr2;hu57;CR contains HU
cr33;hu42;CR contains HU
cr2;hu55;CR contains HU
tr4;cr39;TR loads CR
cr3;hu77;CR contains HU
cr2;hu60;CR contains HU
tr1;cr41;TR loads CR
cr3;hu74;CR contains HU
cr17;hu71;CR contains HU
cr17;hu70;CR contains HU
cr17;hu72;CR contains HU
cr17;hu68;CR contains HU
cr17;hu67;CR contains HU
co19;td17;TD for CO
cr39;hu80;CR contains HU
tr2;cr18;TR loads CR
cr39;hu82;CR contains HU
cr39;hu79;CR contains HU
cr17;hu69;CR contains HU
cr41;hu89;CR contains HU
co20;td18;TD for CO
cr41;hu86;CR contains HU
cr50;td16;CR for TD
cr51;td16;CR for TD
cr52;td16;CR for TD
cr41;hu85;CR contains HU
td18;vh2;High-Prio VH for TD
td18;vh6;Regular VH for TD
cr39;hu84;CR contains HU
cr18;hu91;CR contains HU
cr3;hu76;CR contains HU
tr5;cr38;TR loads CR
cr18;hu96;CR contains HU
cr41;hu90;CR contains HU
co27;td19;TD for CO
td17;vh7;Regular VH for TD
cr58;td18;CR for TD
cr59;td18;CR for TD
cr60;td18;CR for TD
cr61;td18;CR for TD
cr62;td18;CR for TD
cr18;hu93;CR contains HU
cr18;hu92;CR contains HU
cr39;hu83;CR contains HU
cr39;hu81;CR contains HU
cr37;hu62;CR contains HU
cr41;hu87;CR contains HU
cr38;hu97;CR contains HU
cr41;hu88;CR contains HU
cr3;hu75;CR contains HU
td19;vh2;High-Prio VH for TD
td19;vh7;Regular VH for TD
tr4;cr48;TR loads CR
cr18;hu95;CR contains HU
cr18;hu94;CR contains HU
tr3;cr42;TR loads CR
tr5;cr40;TR loads CR
tr1;cr11;TR loads CR
tr6;cr27;TR loads CR
